Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
MPPO	14.12±5.80%	39.74±6.35%	53.86±6.60%	46.14±6.60%	0.00±0.00%	34.26±10.27	0	645.70±79.02	300.38±119.32	230.39±86.70	415.31±105.94	79.72±12.09%	35.91±13.24%	24.07±2.03	48.67±4.10%	87.35±3.16%	0.60±0.76	2222.04±334.59	"[2360.82537674 2568.45732576 2364.11420588 2185.76872188 2530.34786912
 1624.20914702 2271.22660254 2231.54453218 2641.17593131 2227.43211133
 2907.24391681 1805.13770326 2621.73289507 2557.68306205 2555.00059149
 2438.11288505 1837.61204033 2385.99019297 2320.85687542 2546.67176492
 2258.61655741 2332.55700976 2325.26705193 2568.96711751 1498.26383518
 2215.16722599 1922.05319251 2762.12820368 2323.03971744 2723.89373512
 2662.41306525 2573.24104179 2776.63092307 2476.35135675 1997.2215355
 1838.20577282 2419.37384291 2741.68693113 2256.84424273 2329.63437423
 1807.21312551 2315.55097508 2355.58555327 2163.90665695 2578.6151181
 2158.9343051  2118.85481239 2204.83698632 1946.6801159  2481.68653846
 2411.64490079 1735.08392498 1552.7742461  1778.77432772 2338.26098266
 2089.5673931  2126.02669508 2235.3689363  2221.1904953  2124.41260616
 2644.15277656 1805.19181897 2295.61026698 1804.6705364  2058.26659046
 1528.65134167 2266.57713546 2651.87302543 2176.84093732 2271.12163355
 1692.62888005 2424.28093175 2305.52530303 2220.30301301 1651.6470919
 1887.22485064 2750.53063137 2670.97044368 2593.97838293 2979.70835015
 2136.08590336 2260.97521103 1990.15605639 2131.73483048 2433.93797672
 2130.3886431  2146.64590884 2158.78964862 1399.99793223 2066.58241544
 2304.66378997 2002.15530166 2192.01421819 1903.90872739 1913.26257271
 2198.39900013 2047.69342431 2085.97939149 1842.99126464 1450.14057458]"	"[262.59110577 215.17484938 262.54793438 319.03473807 287.56839851
 252.50774312 290.521453   274.70124234 168.02841438 256.47400312
 314.63926915 198.24085875 272.1        326.88117749 388.09737754
 194.72401688 216.59098313 302.5219025  319.90087404 285.75481694
 323.30714188 219.81243846 286.29023933 292.55574199 182.30030492
 150.3679725  203.79866439 346.98236146  66.96210125  65.217515
  34.2567     257.0037278  251.61573283 358.55253144 214.73386764
 270.61388346 284.12536089 282.45096677 252.97162188  72.68302813
 297.3490169  304.37066868 296.03148125 309.07649818 234.91781313
 185.50240931  83.237245   268.36715    291.91355212 118.791565
  71.64818375 248.1088526   70.23699851 315.67224116 155.96676125
 182.03799743  69.54579938  53.10885312 170.02545584  88.87207
 258.87920963 156.02027903 194.91719662 278.8787054  199.11692061
 276.3787043  312.35888778 394.29515305 206.34422875 259.57394664
 243.52711842 168.41975375  85.13915688 299.13486844 140.13388812
 163.06696687 299.62156228 246.57293859 361.14187514 352.41366697
 224.79732854 300.32034134 226.28528119 293.32023438 308.952775
 251.29406604 345.16874475 172.25699375 108.42014242 291.28577063
  67.1204375  255.07690709 213.21069171  59.8874325  320.74833585
 278.56992132 270.42247311  73.3357175  261.43120558 180.96346812]"	"[654.33733834 630.60159175 678.48882015 738.16370466 752.7244642
 664.75685606 671.85866306 613.30045916 656.26910123 530.68602522
 713.70490904 612.79038996 723.44040469 730.4441369  624.41574313
 654.73222179 622.85932889 678.32356294 711.33211985 695.55470014
 587.29014695 678.77410382 633.61971999 800.36679484 499.66195315
 665.20915086 583.26673929 798.96285144 630.64478442 597.77321329
 801.50808962 702.87565721 783.44205904 695.03896398 518.52713656
 568.70626907 656.56211497 665.58165544 624.3542256  670.91511408
 578.1893365  648.86091784 603.00048392 646.90094113 670.16515814
 598.78696024 667.22369517 619.99728679 576.64079417 705.59490668
 655.19917586 635.34269018 442.49453755 527.92896396 763.57968507
 532.08781091 715.68674258 678.89960295 582.17585233 653.96964629
 700.26788936 573.24329364 603.58418782 565.31376409 588.85998657
 517.34416038 705.83112455 775.56489873 622.60271558 685.56979798
 555.58941827 726.37025569 687.81854554 670.43889315 589.94788388
 569.3348333  659.14515141 734.91740456 721.35804584 748.0289294
 662.41775451 890.56823107 554.89439959 575.9719296  669.57300777
 599.56896689 664.75936595 730.99732845 529.11918638 694.41684802
 720.7448375  579.04205175 678.68816754 595.72970372 588.12260874
 594.57991998 674.10582853 563.2839199  562.93259961 414.9555221 ]"	"[464.26438 302.78104 366.27292 362.96974 389.76472 327.73923 366.27292
 388.63609 181.84273 356.34821 361.41683 279.61332 345.21749 449.80009
 432.61256 236.54082 425.55841 328.01703 432.58295 355.07917 422.0412
 281.24063 360.00585 338.55119 414.1051  162.42222 291.25789 427.41642
  70.51185  68.3343   34.2567  311.58089 326.622   427.21227 329.65497
 407.51698 360.91133 423.15238 326.83298  79.41114 457.61552 376.06325
 400.65639 398.71863 242.46331 251.62064  93.6993  343.20764 395.03749
 118.98919  77.01043 350.56844  75.33532 373.33463 159.94482 204.43893
  71.96383  54.73909 193.79319  88.87207 292.72351 204.19529 221.94983
 354.04315 252.93218 346.35144 349.65764 419.77331 279.61332 338.3531
 419.03403 183.04654  86.01898 431.19324 149.32414 338.88592 402.67303
 379.15162 426.22328 436.61703 282.21139 307.27962 338.55119 366.27292
 356.34821 408.7511  423.97968 236.54082 172.80609 338.3531   67.85458
 303.21368 261.94836  66.13244 436.73772 410.0915  356.34821  90.50012
 432.13438 325.75143]"
MPPO_eval	7.26±3.91%	68.80±6.20%	76.06±6.43%	23.94±6.43%	0.00±0.00%	57.44±12.67	0	978.12±67.22	300.38±119.32	285.05±109.45	693.08±126.37	95.90±4.78%	29.24±11.30%	25.79±1.51	52.16±3.05%	93.66±2.00%	1.04±0.53	3762.86±332.81	"[3950.89989654 3949.55031316 3623.18684081 3412.40941934 3600.63879261
 2964.39798732 3769.28471569 3722.06988132 3814.96483356 4278.98544279
 4681.85280742 3730.25621008 3711.89784005 3857.86997991 4381.8915607
 3518.624663   3149.02423794 3957.30058025 3698.8325344  3608.59364889
 3553.99859924 3320.76217537 4149.30659556 3806.38399773 3836.30427962
 3819.78306997 3807.70199176 3735.69945069 3419.40866691 4781.93540221
 3255.01794521 3836.13652995 4031.11575461 3414.26836851 3598.71724379
 3535.94391208 3805.10286322 3733.57177358 3752.60124319 4244.74933674
 3912.30360395 3483.77992089 3528.49268663 3532.11235049 4262.36051931
 3743.20357402 3612.05556711 3073.99644288 4156.48851804 4013.67587242
 3996.78393888 3928.84835293 3898.15780257 3584.14746705 3586.84166848
 4341.0941012  2739.05418323 4012.15722243 3937.46186286 4024.95625205
 4026.56206528 3821.68101053 4021.14451223 3538.75854006 4171.75469377
 4019.35910874 3375.53562635 3913.22929495 3866.62468702 4053.19335284
 3424.88426841 3715.55099147 3714.1581764  3700.90758188 3378.08132153
 3198.7344237  4263.95592215 3611.26422241 3960.91674908 3753.81547814
 3178.03272541 3579.07301177 3944.64358399 4177.50103877 3916.57975385
 3397.06843287 3957.72213528 3496.74379744 3830.69243717 3858.49967455
 3853.2330311  3834.87892427 3482.80860868 3488.59727033 3931.01377996
 3900.54252959 3504.7535035  3484.78343105 3609.54275181 4139.8869082 ]"	"[402.44516138 252.80573875 333.13019    328.45709863 353.1527233
 318.43410316 354.29486812 373.00507079 180.08531375 343.59911415
 357.38226113 270.49961966 325.91992438 334.35438913 426.03398428
 225.3163075  339.74796375 325.37595404 371.46124509 351.11505813
 375.13917937 274.03614189 358.8358525  337.77240623 365.81636069
 162.42222    289.07657153 407.69411145  70.40027688  68.3343
  34.2567     304.15037342 319.09454743 402.547373   309.33745801
 348.12289427 337.65788372 379.73728185 299.7311375   79.41114
 422.6806156  351.87469316 362.41847778 395.197232   242.46331
 248.62672148  93.6993     336.52399312 387.91658415 115.16610205
  76.899425   346.51243937  75.33532    366.04942142 158.715525
 204.43893     71.96383     54.73909    191.52458938  88.87207
 290.21820732 204.19529    219.89886164 353.41986813 250.785735
 337.09887298 333.34905053 410.24276075 272.71747585 329.65164562
 394.23248318 182.085735    86.01898    422.54189269 149.32414
 311.6161922  362.32750354 334.38600363 415.66687172 425.27535953
 280.48898312 303.38183557 322.69485566 356.71191928 344.61398975
 376.22734129 413.907202   227.74661938 156.2822925  316.96628399
  67.85458    276.68957028 253.58369206  66.13244    430.6727525
 389.62257125 348.57282721  90.4292975  394.0940718  321.26775616]"	"[ 993.44619596  957.30260719  965.3730066   948.76504535  963.82169025
  845.13492994  972.41023977  962.13453698  930.4369781  1039.73289885
 1048.63293108  998.56842811  998.43447087  976.09698264 1037.71331333
  911.07441135  836.50416115 1019.29745612  983.13590105  970.3884901
  914.681445    905.4103859  1065.76989692  960.83911477 1002.77356449
  996.36320322 1012.05665392 1056.00835507  986.6423157  1088.37585563
  891.26485721  966.64876549 1035.57900128  859.86368788  937.24842756
  953.62978403  999.26243275  944.01954607  952.08316535 1073.61654848
 1026.60167695  914.07548427  866.10202554 1005.55967814 1074.50561187
  941.71598127  997.77685634  796.55956428 1003.35279567  934.34243556
 1009.06003618  987.25387778  993.75729434 1024.57475094 1024.94164421
 1116.931055    773.95820031 1041.11125781  990.65470835 1047.88136685
 1045.4116567   973.64343357 1038.40204665  966.17698197 1020.2961936
 1047.3709279   867.2360036   977.9498113   971.93838405 1063.78966448
  978.27523606  977.3606515  1060.06378009 1052.85139989  853.30219636
  915.98145638 1053.44091413  939.43172401 1006.4993809  1005.90276119
  915.67407677 1012.6517179  1036.92268802 1081.70153161  978.81645126
  897.38424861 1071.53646346  931.42060051 1000.15562927  986.21985591
 1071.9378896   964.07122232  928.57631219  888.96206868 1020.53495292
  984.19727537  898.86396136  827.12067438  916.07323903 1053.08775959]"	"[464.26438 302.78104 366.27292 362.96974 389.76472 327.73923 366.27292
 388.63609 181.84273 356.34821 361.41683 279.61332 345.21749 449.80009
 432.61256 236.54082 425.55841 328.01703 432.58295 355.07917 422.0412
 281.24063 360.00585 338.55119 414.1051  162.42222 291.25789 427.41642
  70.51185  68.3343   34.2567  311.58089 326.622   427.21227 329.65497
 407.51698 360.91133 423.15238 326.83298  79.41114 457.61552 376.06325
 400.65639 398.71863 242.46331 251.62064  93.6993  343.20764 395.03749
 118.98919  77.01043 350.56844  75.33532 373.33463 159.94482 204.43893
  71.96383  54.73909 193.79319  88.87207 292.72351 204.19529 221.94983
 354.04315 252.93218 346.35144 349.65764 419.77331 279.61332 338.3531
 419.03403 183.04654  86.01898 431.19324 149.32414 338.88592 402.67303
 379.15162 426.22328 436.61703 282.21139 307.27962 338.55119 366.27292
 356.34821 408.7511  423.97968 236.54082 172.80609 338.3531   67.85458
 303.21368 261.94836  66.13244 436.73772 410.0915  356.34821  90.50012
 432.13438 325.75143]"
