Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
MPPO	20.33±6.28%	32.81±4.93%	53.14±5.33%	46.86±5.33%	0.26±1.04%	44.39±12.40	0	804.02±76.06	316.46±121.40	268.56±97.31	535.46±116.42	86.79±8.40%	33.59±12.22%	21.70±1.76	43.87±3.55%	83.16±3.48%	2.18±1.30	2624.61±353.93	"[2290.05491292 2685.97229469 2397.19860417 2619.58938713 2802.94584717
 2122.46451355 3060.72345958 2600.74755284 2510.57693262 2702.04061389
 2900.64006396 2198.18261435 2490.56797671 2913.3287757  2092.54770789
 2336.51880439 1978.80375137 2987.97090703 2305.99300139 2882.3415044
 2690.79204789 2769.5516528  2647.20075563 3152.53373807 2285.87754184
 2804.91209614 1791.44357392 3005.91751718 2631.60958483 2707.07489024
 1873.90013982 3009.85083816 2262.43671006 2583.03729164 2607.03181714
 2497.48206093 2842.53622476 2800.71182347 2746.78194727 2875.00334883
 2926.87701378 3036.88155473 2219.98283684 2988.95690141 3047.07647637
 2622.46244572 2381.78537275 2637.26133509 3068.60949848 2665.68750953
 2415.05644008 2911.87552036 3218.23731347 2280.96452484 2200.60669475
 3224.96559454 2808.68073915 2631.11874202 2366.53328995 2319.50669081
 2381.48208845 2383.27937159 3236.71211141 2749.15397567 2698.21856508
 1814.51383254 1779.42407542 2270.58570735 2514.92868616 2678.9969542
 2956.18038596 3416.06761087 2496.08313537 2834.66117374 2232.24513152
 2420.32550202 3016.95071611 2820.28143245 2460.61151457 3341.61827212
 2453.65533935 2767.23207262 2614.73683662 3076.1887253  3091.51415172
 2303.90369449 2920.76020512 2239.94217429 1892.30141644 2832.98764884
 2756.01797561 2627.16352636 2687.67245048 2709.87846489 2617.64449874
 2468.7360597  2953.08444311 3007.64389699 2415.27392973 2084.5633924 ]"	"[291.07961057 367.90351457 407.52247932 333.53167319 359.10398752
  67.23586438 389.44184431 385.83770122 188.07959625 312.14725563
 242.80098521 334.31832095 102.35640858 218.16485269 266.44749062
 347.21463532 343.38879184 366.82797104 345.64531953 379.41883983
 262.57412557  52.9260275  363.19969932 291.83265686 247.94842007
 170.67421375 187.6553629  267.01264845  93.85798562 256.61852938
 231.37013063 259.81821359 298.57850321  60.540505   231.64225312
 362.84215855 347.01580341  54.83699    259.29913937 355.87383533
 343.95546217 231.99183218 268.18175225 212.70422312 351.30377483
 304.41959562 285.18559632 289.09697999 397.8810524  305.52652314
 175.473495   295.05992056 334.41852721 340.4285475   99.4549821
 418.01548431 184.16078499 317.80688442 310.70528542 219.20249563
  33.522      301.25401251 212.59067524 321.05998933 363.23284837
 327.15893548 328.49937084 378.24057746 364.02297653 372.80683312
 277.18164937 308.18053797 211.48030979  97.03891    242.43882687
 148.9402325  315.91699872 354.37298686 332.19113924 175.75604125
 111.72926359 152.55067    300.253942   422.74875917 326.77030063
 289.35313375 170.51707287 320.09579179 293.84733688 331.61434133
 374.20075035 184.70773782 271.88291125 340.62123567 358.84601669
 301.60519531 167.642515    86.89853437 180.2899775   14.81417   ]"	"[655.30639502 918.28328334 814.46595418 983.55061176 829.61786957
 779.18522204 868.87910865 878.36217282 789.096051   891.74111675
 910.00981061 752.49217748 784.07924064 784.87709569 712.90339752
 782.02659146 726.7092309  784.27301586 761.48447551 865.4707078
 848.7395376  872.90949948 875.30114151 866.49527615 777.17711717
 821.55325235 673.21962367 935.69666954 844.66635487 853.83720406
 675.62383552 747.64234645 645.14396497 830.16758864 825.96921926
 788.02154924 801.50831093 835.55657357 816.7749286  805.84034707
 850.2858365  901.3185961  768.35338389 723.13520906 754.61903905
 751.37952989 780.46196035 682.60304274 907.74913322 837.83964219
 854.53428327 779.97007903 849.27666513 704.5076122  793.09751636
 880.60898287 807.05233502 799.26188665 846.33373451 724.13558754
 679.35062446 764.41919079 883.62866508 829.52023259 772.04575657
 635.75547141 692.80535284 840.82467198 775.74171053 897.50728237
 830.79299039 844.295015   747.30344788 849.90744128 682.67561016
 640.53349713 846.4098376  734.56858268 931.73765863 859.57332
 775.17587011 984.34836766 890.74185055 860.86150615 799.31326539
 750.3161889  799.60733458 780.39931535 626.61789811 812.54998127
 914.02099429 849.24736698 806.00334697 841.83658679 876.05780734
 682.65296732 862.2030177  807.8320875  759.7413499  772.30524596]"	"[395.4132  422.84495 447.27339 394.85078 415.64661  70.51185 462.56571
 443.54064 221.0504  345.21749 253.64111 414.85953 114.06327 230.36487
 373.19955 430.00539 469.00964 489.41608 436.73772 405.62783 363.51167
  54.73909 405.91928 360.2844  278.41485 197.71268 236.32148 294.17018
  97.34478 277.66649 302.78104 316.17285 423.10303  61.48508 247.47423
 443.38654 378.94442  54.83699 349.1104  403.19978 415.33163 253.83919
 282.21139 220.02501 413.11308 327.73923 388.63609 347.82009 424.13755
 330.1225  181.84273 464.26438 427.41642 424.59219 114.06327 476.1708
 206.09734 418.94372 335.34671 233.10637  33.522   329.65497 216.89107
 354.82036 424.45634 376.06325 459.53275 415.58667 407.46307 414.8011
 300.39096 356.34821 274.02784  97.03891 251.38382 202.62644 350.56844
 424.13755 379.15162 180.26858 115.87198 152.55067 390.85768 462.56571
 397.36306 427.21303 228.73451 340.85021 329.10619 420.82831 432.13438
 206.09734 296.83883 431.27291 403.49806 402.67303 181.18848  90.64586
 204.43893  14.81417]"
MPPO_eval	9.77±3.75%	56.24±5.48%	66.01±6.11%	33.99±6.11%	0.06±0.35%	66.12±14.78	0	1105.25±71.33	316.46±121.40	309.37±116.97	795.88±119.03	98.12±2.35%	27.92±10.42%	24.02±1.51	48.57±3.06%	91.07±2.09%	1.93±0.58	4332.98±416.24	"[4376.27873655 4313.09014523 4180.66460206 4101.49218623 4322.52888807
 3427.2951769  4503.56900487 3616.81971012 4136.46431395 3503.90694979
 4818.82680012 3957.68329158 4126.55169059 4582.94016047 3740.13288411
 3852.97986526 4937.51944808 4858.50704546 4038.23891005 3847.40576229
 4417.70900903 3545.63941779 4306.70521595 5290.87659642 3956.96676024
 4222.46101209 4155.32876797 3751.30282534 3872.94459161 4013.04369877
 4252.35200571 4668.3565807  4294.01250258 4382.17419819 4376.65107878
 4509.73235777 4401.93885073 4250.2168689  4814.19997365 4232.4898943
 4510.38467982 4825.36336697 3924.75999731 5013.12506107 5204.89005736
 4843.69704736 4059.50626256 4429.68928761 4620.97549731 4169.42405907
 4266.50537558 5060.50208512 4959.30098223 4307.99798353 4598.4447934
 4837.8434169  4826.90721385 4733.72217859 3775.7339974  4398.05661226
 4394.56594568 3962.65920876 5065.22269706 4610.57107091 4817.39052618
 4131.11529912 4124.24550565 4319.66996353 4617.99080076 4296.80573061
 4952.00587479 4557.56664824 4309.79851783 4349.12473304 3989.58763755
 5011.78806418 4283.60071392 4433.18379151 4275.6763318  4796.30157704
 4198.61322477 3913.18855312 3720.25679201 4954.68228403 4651.42189876
 4392.79654771 4086.48257814 3983.88203143 3606.46484678 3858.27267805
 3927.08978455 3838.71244339 4422.78411676 4711.35541857 4383.34893442
 4204.56098178 4595.90675017 4828.05311071 3973.96521945 3422.30773059]"	"[390.68240875 409.54651278 442.3005725  369.88237127 414.39136875
  67.43026188 418.710906   407.39462333 215.561175   337.23290911
 249.06803625 396.97113237 114.06327    227.7902475  345.92944375
 413.10942755 457.49253437 469.22130431 431.06630108 394.00996094
 327.83823901  54.013865   389.55564975 357.69105711 274.2038275
 195.7121     236.32148    293.08833335  97.34478    271.03923423
 301.76967125 310.59743125 414.20284474  61.48508    247.47423
 437.03120045 367.38764788  54.83699    348.724215   399.26195187
 408.22095245 247.67037812 282.0221125  220.02501    412.72038648
 327.73923    375.40079563 340.01859651 423.49717306 329.74892875
 181.72223938 448.41854985 414.17149611 388.39074563 114.06327
 473.91506325 206.09734    403.78628344 332.97692996 231.58086505
  33.522      329.31278423 216.89107    350.50869287 424.45634
 368.47150123 444.5202775  413.83088677 389.9985257  406.705615
 300.39096    350.40324813 274.02784     97.03891    246.13059375
 202.62644    346.25655402 421.68598497 377.9894025  180.26858
 115.87198    152.55067    353.52431814 460.64298489 380.09668244
 427.10588846 219.45735375 336.78657312 326.32236241 396.3870124
 405.17569626 199.32018625 295.255175   428.7042675  403.1776225
 398.18719625 181.18848     90.64586    203.092465    14.81417   ]"	"[1048.9382271  1175.81383386 1054.43188059 1140.4787928  1143.7924774
  958.3499649  1107.03530825 1039.19752211 1096.6410796   998.16341124
 1151.88866818 1020.13821661 1079.75532011 1098.38864281  950.12200989
  983.31077497 1155.33949949 1135.1566916  1162.48640467 1058.68230603
 1136.43585361  912.30610125 1126.21164395 1248.92509293 1047.72968239
 1071.10197907 1083.03380027 1035.40642231 1086.1534846  1142.22900758
 1155.41296779 1135.88195825 1055.76020688 1139.74309814 1111.11823409
 1139.70762271 1090.46914777 1074.24824797 1175.5231836  1074.36300891
 1149.42539617 1208.61413968 1034.42213942 1188.7743993  1237.32722663
 1196.73292274  995.93119798 1090.35253755 1192.78105119 1051.9578938
 1149.68445917 1167.59512239 1226.97339126 1042.31754313 1183.05179906
 1256.11473269 1184.81141097 1209.06904587 1036.47023742 1051.01474244
 1100.91245528 1069.90864803 1156.75248693 1144.79798376 1252.32894568
 1117.52324588 1067.94043199 1111.43859347 1100.59871444 1116.26467546
 1152.89959343 1178.23830348 1141.72818342 1052.80013692 1027.549817
 1116.6060434  1110.24941481 1102.46724681 1161.79565396 1117.25280961
 1129.73973229 1041.40370194 1015.33105438 1213.82014462 1111.25270836
 1199.14041136 1065.92857804 1084.71783577  979.24145873 1036.98310062
 1034.27785074  961.83189345 1063.07815205 1215.15008178 1145.43530371
 1090.13871843 1099.576967   1137.46264965 1041.56154724 1005.80813613]"	"[395.4132  422.84495 447.27339 394.85078 415.64661  70.51185 462.56571
 443.54064 221.0504  345.21749 253.64111 414.85953 114.06327 230.36487
 373.19955 430.00539 469.00964 489.41608 436.73772 405.62783 363.51167
  54.73909 405.91928 360.2844  278.41485 197.71268 236.32148 294.17018
  97.34478 277.66649 302.78104 316.17285 423.10303  61.48508 247.47423
 443.38654 378.94442  54.83699 349.1104  403.19978 415.33163 253.83919
 282.21139 220.02501 413.11308 327.73923 388.63609 347.82009 424.13755
 330.1225  181.84273 464.26438 427.41642 424.59219 114.06327 476.1708
 206.09734 418.94372 335.34671 233.10637  33.522   329.65497 216.89107
 354.82036 424.45634 376.06325 459.53275 415.58667 407.46307 414.8011
 300.39096 356.34821 274.02784  97.03891 251.38382 202.62644 350.56844
 424.13755 379.15162 180.26858 115.87198 152.55067 390.85768 462.56571
 397.36306 427.21303 228.73451 340.85021 329.10619 420.82831 432.13438
 206.09734 296.83883 431.27291 403.49806 402.67303 181.18848  90.64586
 204.43893  14.81417]"
