Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
MPPO	16.97±5.99%	36.43±5.64%	53.40±6.10%	46.60±6.10%	0.03±0.33%	42.64±12.72	0	734.80±84.76	258.27±119.57	217.66±95.02	517.14±118.46	86.59±9.58%	29.80±12.70%	23.00±1.86	46.52±3.76%	85.60±3.36%	1.22±1.09	2463.76±354.27	"[2144.94862679 2256.62964237 2500.64099388 2695.67502726 2270.27388023
 2185.32102292 2952.20233971 2680.81392133 2705.80635613 2267.79605192
 2159.25226342 2248.76834359 2220.44419849 2498.55300483 2591.45471295
 2550.99669738 2629.41667452 2708.80877445 2677.1530182  2593.01538396
 2533.24755803 2241.41432802 2270.93149514 2644.97026871 2464.23925076
 2218.65192503 1978.83728579 2478.79879196 2448.05174921 3296.98044108
 2479.75342796 2495.61431312 2246.5336414  2787.58731523 2058.50413214
 2449.81023916 2607.92537452 2155.71027938 2595.46878033 2209.40591494
 2010.37506215 2132.87818161 2620.67937109 2189.99554409 2871.92301955
 2612.78375313 2055.21663897 2506.96826808 2486.2843862  2967.20835236
 2326.8273166  1997.21188402 1999.36628582 1564.46046891 2397.68038857
 2869.78355722 2642.74127567 2455.54024616 2572.97589853 2112.85801894
 2478.39407301 2370.50649425 2795.73567745 2788.16838361 2676.13655054
 2284.68473269 2660.49635547 2781.70294399 2388.16220413 2442.16757459
 1716.89376119 2055.76567727 2869.80262228 2901.3545276  2493.42682197
 1973.31845289 3420.14759623 2978.84169976 2157.7273195  2534.78358235
 1559.44666588 2493.86804315 2712.50459627 2536.08138814 2183.33766144
 2098.25268718 2064.0079401  2724.21642759 2378.33577048 2867.41838675
 3093.95767278 2910.15122326 1672.7604878  2884.29132224 2810.35936945
 2648.7598184  3323.68778155 1968.50931755 2799.78108466 2284.0246495 ]"	"[344.18617689 172.9470475   31.84014625 201.78210625 222.69869538
 130.28306156  29.50186567 334.77785351 205.73591812 156.69165994
 266.51593218 251.41629982 230.06418955 339.93240558  97.54971
 283.12167079 244.55760569 291.06515    349.80407878 161.65071314
 168.40750125  97.33462875 202.79223188 223.70485748 289.76255046
  72.81152125 281.88622332 348.43959026 197.2615638  162.429795
 271.64134188 262.47882101 138.98723045 285.23873292 307.45853821
  29.09721375 233.70842736 263.26623518 295.51784043 277.03228228
 174.95188486 206.16376062 167.8627425  146.11006907  92.06975
 201.11353813  53.74325625  39.80987125 288.64033813 333.53164053
 209.99944516 315.53788583 153.64040375 114.38310562 194.76458563
  33.522       93.50991812 162.17682388 327.91878352 196.86936636
 271.7644125  321.38202035 321.77306077 298.50277688 273.67250197
  90.89439188 153.82128563  77.33604    229.47075521 348.2784664
  89.46622562  68.55407188 339.63786938 200.97319312 264.83105573
 347.79263169 280.73394062 221.07774557  92.59660634 169.114885
  77.96619688 103.51488812 361.96056577 371.9120129  183.13293375
 248.92925135 175.52748    285.05678604 243.63988361 259.3396025
 284.00796809 368.27668604 213.5576338  354.91759302 168.14246319
 301.14224055 357.20620687 267.87226438 352.62304281  63.6101875 ]"	"[654.20018717 696.45695794 825.43020742 745.03183364 699.32382742
 668.19687259 833.87192568 726.63864018 758.23530762 687.15392746
 643.55120574 623.95369156 825.62220466 740.66997928 790.0705551
 790.4284433  753.34692322 802.97740553 718.55364815 711.97544166
 767.64598137 745.98732914 779.1535542  634.2606031  724.24401536
 723.50836791 684.66223655 733.55083469 734.31596087 831.87631942
 674.10706231 792.08411308 743.25715394 809.36558066 719.03180613
 744.25035255 897.00817857 664.24728831 699.73618626 793.45971638
 671.20126333 617.13894955 781.808833   758.4634355  764.44210094
 767.65744099 713.12357397 775.35566384 725.79647616 852.83394182
 600.10991118 709.74497117 559.97754556 404.26233289 732.5047074
 857.4955567  778.61429575 763.2891605  770.76765507 628.53300944
 685.42085646 657.94842474 781.01664235 668.25196461 812.30699661
 744.04706496 648.85773096 860.30660006 762.55988095 826.1498628
 559.82270139 710.89729917 841.61164653 787.42791711 715.43198361
 664.31843221 921.44066555 867.64284857 720.42650978 719.62220762
 553.14137989 764.83445667 808.42140221 776.7054926  749.75631934
 618.94196784 635.44807903 758.14462565 660.2821788  660.60082337
 863.06975121 847.37001335 635.45275576 801.54701151 892.4472976
 713.54405659 820.32839136 655.61654525 854.81219617 629.62074515]"	"[423.15238 214.53744  33.32162 228.73451 236.04293 175.54532  31.36113
 399.71142 241.63146 240.5491  418.94372 273.25366 274.02784 410.77232
  97.54971 350.56844 266.35893 318.21608 386.30445 178.8333  182.89548
  97.34478 211.48093 280.30098 320.52874  73.99945 372.23637 406.39974
 240.16887 188.1022  353.19305 295.53411 143.85631 370.31914 443.54064
  32.17249 237.28693 355.45033 366.2266  341.72305 245.01811 253.83919
 176.09864 149.32414  92.06975 278.36477  67.85458  39.87709 335.34671
 396.95928 343.08849 415.33163 180.26858 164.66504 236.32148  33.522
  95.9771  172.80609 400.33605 229.62635 279.61332 416.41699 420.82831
 362.72155 349.23032  92.06975 197.71268  77.33604 234.88775 414.87472
  97.03891  78.63089 372.23637 212.70823 331.15096 417.50618 291.25789
 232.887    95.23629 172.80609 116.31903 112.07318 423.66546 423.80053
 188.1022  309.31983 178.87505 342.90632 306.67851 280.83911 345.35336
 420.51485 223.54294 393.17261 175.54532 355.57025 398.83097 428.03882
 373.33463  64.48617]"
MPPO_eval	9.12±4.42%	61.27±5.32%	70.38±5.84%	29.62±5.84%	0.02±0.17%	65.56±14.62	0	1047.23±68.60	258.27±119.57	252.01±115.48	795.22±119.14	97.95±2.64%	23.98±10.95%	24.87±1.45	50.30±2.94%	92.14±2.15%	1.51±0.59	4032.74±342.96	"[3738.11799389 3837.81928997 3268.20030273 4190.23907451 4351.47863854
 4560.14413186 3911.88116959 4372.54379067 4281.11827303 4106.17547787
 3686.83520176 3996.76124694 3635.19600226 4203.45853382 3622.72097923
 3962.41313122 4130.78382226 4127.74453135 3956.03395164 3893.70668304
 3824.77224221 3304.20743119 3515.34368331 3974.96338916 4573.00732274
 3688.96063201 4389.85754565 4206.43296708 4660.02951786 4384.50873054
 4268.34063164 3961.34960396 3822.90890484 4280.8931051  3784.25474623
 3512.24190679 3373.06549488 3852.56941157 4092.73415929 3844.1517649
 4024.93633967 4334.98518168 4051.24612797 3702.13568012 4377.53996606
 4304.04789457 3508.59200715 3952.98644701 4270.76343916 4077.47567365
 4398.16041364 3632.28549065 4232.43069567 3955.08404551 4601.93031118
 4128.54868531 3719.59042952 4144.74320058 4099.01932299 3859.33147101
 4827.83933847 4161.45929991 3952.3504994  4593.18462306 4137.30445882
 3524.88227644 4583.96236462 4436.23648262 4056.29768978 3967.63372266
 3927.34945953 3910.57867617 3824.92968132 4360.96165994 4105.59550339
 3676.42018189 4475.86812445 4369.14981821 4465.96118599 4205.77177885
 3616.75305262 3525.13804383 3416.02546424 3764.83779611 3579.3988631
 4167.39633855 3208.10625247 4171.91581008 4315.45210295 4608.93413291
 4024.73332921 4368.26317899 3593.4304925  4388.21882086 4133.02243726
 4368.08961499 4271.24817604 3862.38826074 3888.04601445 3915.25112503]"	"[409.60472406 201.42671125  33.32162    214.50602421 236.04293
 175.54532     31.36113    392.19690186 240.8876545  238.55763202
 399.12789938 266.51154455 241.96120447 404.15035326  97.54971
 349.61115375 262.88661048 317.59185125 374.64940078 176.18899375
 182.89548     97.34478    209.453455   272.68571453 287.52874889
  73.96401438 358.12324918 403.75331255 238.84115139 185.89693
 323.29383552 293.60060812 143.85631    350.5759776  422.66735184
  32.17249    230.73131331 344.37893641 360.54438603 334.57995455
 245.01811    241.20400926 176.09864    145.60006     92.06975
 267.77567938  64.03092875  39.87709    330.01820125 386.32493498
 343.08849    403.83044773 180.26858    153.70764625 235.13241358
  33.522       95.8675175  172.80609    390.7532575  218.51865325
 278.02841156 414.96194125 407.82434735 360.15945313 336.12576931
  92.06975    197.0865075   77.33604    234.88775    406.89339971
  95.8325275   78.63089    368.71688644 212.70823    324.9216125
 382.12136572 289.91237562 230.77331679  95.23629    170.22274502
 102.3006375  110.85399    408.17968216 418.06762538 187.6304825
 306.66171688 173.139335   337.03468993 301.82126871 280.623365
 341.64375598 408.08571625 223.13921221 389.532745   175.54532
 347.37095461 390.10088821 387.04853731 367.12432419  64.48617   ]"	"[1056.16423575  963.10460248  951.31859267 1112.11527916 1133.60498237
 1116.07513811 1047.33687845 1066.75899515 1114.13337683 1076.77502271
  960.75978118 1048.67337696  990.00118185 1113.6108537   991.31571028
 1094.2174822  1075.23564175 1040.14653779 1018.50301019 1045.64737292
 1016.91480566  941.03474709  999.09055364 1033.31702649 1079.78194343
  949.14780441 1135.05383245 1078.08226636 1145.23543264 1047.8923328
 1039.88751913 1061.51265618 1038.04026823 1141.64492658 1097.05633788
  984.93074969  965.32113718 1007.12961901 1012.14441914 1060.19837427
 1095.65471329 1112.18130668 1059.21320167 1009.36449632 1162.02729711
 1075.91762079  950.34112271 1005.54258286 1022.38380967 1073.08049763
 1144.04412014  949.54488667 1055.96162334  933.18871956 1115.52182918
 1116.64769235 1024.41729025 1098.67380188 1157.88185219 1058.45157823
 1201.77879424 1023.96404114 1000.75990368 1076.21044671 1063.08118113
 1043.24698563 1057.4628613  1114.97121383 1058.75519934 1081.08428706
  895.24006249  972.84412831 1019.42007329 1103.09163064 1100.05237986
 1001.60031264 1159.43794935 1121.96985537 1104.17978999 1120.78552163
  865.66245734  959.47355167  938.15328283  994.45738064  993.64185154
  982.83689909  892.07681035 1078.43594213 1047.30023922 1129.68689367
 1015.71673557 1088.88189435  853.18141138 1147.16142526 1089.74491419
 1066.47480475 1077.61912779 1013.6257854  1086.6641797  1013.49030845]"	"[423.15238 214.53744  33.32162 228.73451 236.04293 175.54532  31.36113
 399.71142 241.63146 240.5491  418.94372 273.25366 274.02784 410.77232
  97.54971 350.56844 266.35893 318.21608 386.30445 178.8333  182.89548
  97.34478 211.48093 280.30098 320.52874  73.99945 372.23637 406.39974
 240.16887 188.1022  353.19305 295.53411 143.85631 370.31914 443.54064
  32.17249 237.28693 355.45033 366.2266  341.72305 245.01811 253.83919
 176.09864 149.32414  92.06975 278.36477  67.85458  39.87709 335.34671
 396.95928 343.08849 415.33163 180.26858 164.66504 236.32148  33.522
  95.9771  172.80609 400.33605 229.62635 279.61332 416.41699 420.82831
 362.72155 349.23032  92.06975 197.71268  77.33604 234.88775 414.87472
  97.03891  78.63089 372.23637 212.70823 331.15096 417.50618 291.25789
 232.887    95.23629 172.80609 116.31903 112.07318 423.66546 423.80053
 188.1022  309.31983 178.87505 342.90632 306.67851 280.83911 345.35336
 420.51485 223.54294 393.17261 175.54532 355.57025 398.83097 428.03882
 373.33463  64.48617]"
