Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
MPPO	27.67±3.77%	18.90±3.03%	46.57±3.53%	53.42±3.53%	9.06±5.70%	56.71±14.04	0	953.39±67.32	284.89±127.98	262.89±112.49	690.50±128.59	93.97±5.61%	27.69±12.12%	17.10±1.11	34.59±2.23%	74.96±2.38%	5.54±1.00	2770.09±379.25	"[2564.9490663  2446.16460329 3013.27947984 3067.70307778 2526.45967696
 2889.0582639  3219.56906115 3242.47855855 2822.13764662 2284.0312727
 2675.95436536 2774.86888907 2685.48504847 3010.56189971 2559.0175358
 2545.67211508 2110.66686842 2932.21892316 2464.82495772 3540.41044827
 2914.56114859 2355.64514948 2580.0342471  2121.96244828 2036.00004367
 3188.3315616  2503.26616855 2849.60366423 3009.84954603 2818.83638605
 2399.87619148 2305.95912396 2908.78808582 3140.04235976 2620.88234065
 3033.20016735 2235.97616814 3212.53664691 3176.79187396 2893.35259824
 2284.13490276 3077.06241315 2807.48712508 2769.73939703 2808.28268988
 3129.15879848 2420.08416426 2775.72704153 2924.08044141 2488.17133865
 2805.17941742 2737.1521349  1961.27098146 3059.10212715 3034.92192558
 2295.68526315 2552.83098972 3336.83624213 2700.0605084  2662.1593433
 2861.7475919  2621.35328625 3412.21802613 2528.18867547 2434.09156893
 3308.52987411 2085.11723554 2272.69130346 2503.74713119 2183.72904238
 3623.31457716 3151.08201279 3110.38387437 2865.55766705 2442.6693083
 2631.92743893 3271.11535303 2616.30073128 3429.33227408 2701.85384938
 3346.8408278  2589.84602504 2893.05219597 2592.25208114 3086.53787771
 2457.01097055 2408.22452468 2431.17525994 2292.65481832 3563.26296127
 2741.53107835 2671.41851785 3236.13734531 2818.59198329 2597.52725358
 2196.96554148 3335.06745378 3412.92732433 2701.1276732  3272.11044473]"	"[368.4367121  332.64563685 425.70188345 400.20093107 409.60189556
 207.60250812  78.3159     362.35448763 115.35233875 260.2469325
 128.41747    296.87527501 217.82201437 241.61429922 289.10420562
 201.68627813 366.5020325  244.1461997  333.12541852 397.38406014
  50.36193    236.069205    46.9556325  105.02767    390.98539656
 261.11977125  54.73909    302.76164938  71.96383     76.52693
 378.28915705 291.53646062 293.06482433 310.21350609 367.1692815
 324.67964915  95.23629    289.58070938 236.96425175 326.59726708
 283.22666622 405.67301519 223.84063687  39.87709    341.26416575
 181.36982044 321.90001375 320.58364164 275.26853    233.33119455
 314.00613444 313.65673063 116.85953312 300.60903062 153.10034875
 113.09557    112.07318    282.63495188 387.24865313 326.38393492
  60.70331    400.46088328 409.12923552  42.7938375  410.95421017
 248.93880058 327.18411301 195.074575   277.53125707 366.03736887
 357.9797646  278.105375   339.29974439 419.50298063 332.760855
  77.93701875 331.24580375 396.04127715 225.23099562 337.72806338
 396.2634225  274.8174575   86.01898    355.77206688 390.79471625
 197.2468875  334.11497215 153.79620063 358.20065538 331.23551708
 329.57414766 365.14624344 197.71268    411.13434591 354.87756363
 108.8090225  216.63652764  39.87709    110.31687    208.675395  ]"	"[ 918.94604907  870.99960395  992.90708504 1023.17015327  955.04399439
  903.8672929  1008.96153427 1037.5689021   993.97587258  943.90700693
  851.34732296  992.79360816  962.97152971 1023.72098706  829.84517085
  944.96512734  849.87471915 1021.95696806  979.25946677 1045.60149717
  878.93994086  938.53147889  981.36316154  865.85269988  827.05951485
  977.80415524  913.70382457 1006.72500705  890.04253487  988.16306949
  836.5019537   847.6706812   959.56280344  909.78990848  864.34815069
 1062.2082886  1035.47460858 1026.30982583 1023.83119749  901.17342176
  941.87763867  935.04888373  906.5747715   933.4971604   957.43151845
  989.78183564 1043.25736892  863.31322636  981.43336247  951.61780803
  963.07459776  942.13538167 1016.86228082  916.27061708 1009.07901663
  983.53258127  956.34153165 1062.54520993  884.38597919  941.93825576
  933.92601318 1023.10054861 1023.86993047  832.4062581   981.4982644
  882.78111398  876.01175764  968.16154038  965.6675361   803.84035996
 1036.71782288 1038.31933276  984.40232826  983.63027051  903.91985485
  872.42189199 1025.31817879  924.1772769   991.43648306  957.21913434
 1094.74173084  976.35720707  929.59520347  850.32445889 1086.41230125
 1001.05397485  970.36971494  867.16860121  830.98727987 1031.23392997
  943.04016401  844.16409013 1026.50238575  908.21154927  979.60502782
  950.55344211 1073.16200333 1014.50541165  909.04013801  975.92208778]"	"[418.94372 424.96714 453.08959 437.17869 430.00539 219.24096  78.3159
 428.03882 117.30648 278.36477 128.41747 321.8585  221.94983 254.09498
 380.7903  206.44269 395.03749 257.16743 347.80947 427.41642  50.36193
 240.6751   50.36193 106.59472 423.87721 274.02784  54.73909 333.23895
  71.96383  76.52693 447.86389 354.9266  338.03508 388.29302 423.66546
 340.85021  95.23629 302.78104 242.46331 343.20764 311.58089 447.86389
 253.64111  39.87709 394.85078 185.61499 347.03149 414.23033 282.21139
 241.74151 332.36533 362.72155 117.17822 314.33075 153.57681 113.09557
 112.07318 289.85678 420.79872 334.51939  60.70331 421.19416 434.12219
  43.52409 436.61703 266.35893 349.74871 195.51916 311.58089 400.44688
 390.34383 280.31463 345.21749 455.34991 366.67063  79.57812 354.58659
 412.89981 230.36487 390.85768 419.58505 281.16701  86.01898 415.57375
 402.82708 204.19529 347.80947 156.88604 443.54064 344.47443 370.31914
 422.0412  197.71268 432.61256 380.38879 110.31687 223.54294  39.87709
 110.31687 218.4015 ]"
MPPO_eval	14.68±3.71%	36.18±3.01%	50.87±3.76%	49.12±3.76%	1.42±2.38%	77.53±15.36	0	1224.93±68.39	284.89±127.98	281.75±125.50	943.18±116.93	99.17±1.80%	22.85±10.01%	20.13±1.22	40.70±2.46%	85.19±1.90%	3.33±0.45	4874.87±381.19	"[5402.34496002 4922.81306261 5075.74371426 5543.58812541 4794.6216033
 4793.17404747 4821.63764758 5241.03034931 4371.34183028 4198.10887372
 4108.37848126 5110.74202058 4614.47095613 4973.36977504 4397.79685743
 4641.18119025 4826.8514155  5586.26598908 4812.64457313 5507.39149095
 4766.80182115 4634.59077267 4781.60544524 4155.707638   4690.60829105
 5204.41519803 4456.38290745 5257.03764906 5303.80453017 4682.72754074
 5059.52858728 4876.48909957 4724.06748982 4844.31861703 5081.14675679
 5746.99094775 4664.17776591 4991.70178814 5238.90284604 4847.36530118
 4920.05833159 4953.21420509 4856.75920587 4560.56351598 3807.31898534
 5011.91653812 4687.03997116 4631.28990431 5245.89069239 4993.59529237
 4913.66292751 4961.37617672 4357.15880366 5313.4741087  4980.77366087
 4819.48897188 4543.53158841 4977.93259642 5688.81708995 5141.71398789
 4698.43634971 4686.00911981 5224.18660616 4972.70275968 4856.49035382
 5211.2055489  4591.62971078 4640.30444037 4702.7626025  5115.7433893
 5313.22631884 5034.29927742 4078.5986648  5558.11693118 4568.0874984
 4619.89085553 5236.25347763 5047.37362764 5067.75969262 4538.05744006
 5072.73189557 5051.70439807 4822.46232479 4855.73052091 5320.36131805
 4786.05743066 4703.51194879 4479.96302428 5052.10722147 4713.31787464
 4684.57206279 3764.8588958  5021.49832111 5069.13603813 4856.91606074
 4033.29259322 5029.24764494 4600.0791388  4910.57862573 5780.68162616]"	"[418.51830625 394.12526732 451.363395   433.72079437 428.14077323
 219.24096     78.3159     421.1459104  116.11001125 275.20297438
 128.2273425  319.77001744 221.73797625 254.09498    349.27173887
 206.44269    384.24778563 257.16743    347.80947    425.89031125
  50.36193    240.6751      50.36193    106.59472    423.87721
 274.02784     54.73909    330.920495    71.96383     76.52693
 443.39793688 350.77993865 337.97820375 384.95826125 422.02071688
 340.85021     95.23629    298.8216225  242.46331    340.994065
 311.58089    446.16842998 240.08011291  39.87709    381.22440556
 185.61499    347.03087313 372.31817    280.42749812 241.74151
 330.74505813 355.74221375 117.17822    311.87813542 153.57681
 113.09557    112.07318    289.85678    419.51634187 334.31365687
  60.70331    421.19416    433.85346375  43.52409    426.44178113
 265.98862937 349.19810688 195.074575   311.58089    390.02314299
 389.7354975  280.31463    339.80872    452.63041875 364.30682188
  79.35677625 354.58659    412.82286625 230.36487    388.280455
 419.58505    280.99196375  86.01898    400.00353375 401.18990074
 204.19529    346.94895125 156.88604    410.16679988 344.47443
 370.31914    406.35987813 196.39989625 429.30446375 379.69511875
 108.5067975  223.54294     39.87709    110.31687    218.4015    ]"	"[1295.06870605 1165.99464123 1293.92625238 1297.83954024 1241.69580225
 1213.74194416 1222.40824392 1310.84241733 1202.69170844 1136.66803546
 1036.84967966 1301.12988802 1177.02841492 1253.03351937 1068.3508457
 1194.63078745 1168.42489899 1394.50753922 1231.72379311 1385.63544283
 1146.8323512  1126.66338515 1211.76374147 1099.02097897 1140.49289514
 1229.87585966 1169.14608593 1260.54400439 1183.27962376 1149.2515226
 1250.3712705  1159.17373526 1228.03064272 1241.7720909  1315.60226547
 1314.32904773 1253.45863088 1291.2996784  1310.20212245 1208.96605322
 1210.99757409 1214.02637909 1164.06635034 1233.05342961 1146.61599214
 1266.44960883 1223.35841675 1159.41912694 1265.10168405 1205.78858631
 1232.12809948 1241.98044651 1190.23959802 1272.03395054 1291.53281566
 1172.68926018 1127.69673661 1286.39381584 1290.56812559 1275.06759835
 1153.63482682 1246.3388608  1281.83909782 1134.58491722 1269.50163744
 1251.69485215 1232.90099907 1192.03017125 1228.68659973 1182.4367029
 1308.01270547 1292.0948263  1186.17084355 1350.50794817 1190.3094094
 1127.69664908 1220.67672565 1234.74197508 1272.83538322 1163.07011892
 1351.42156199 1263.94798303 1253.01836162 1221.32238933 1307.29025253
 1268.64283862 1178.25313097 1124.36953471 1236.73659523 1279.66329675
 1241.44329469 1071.25524169 1261.3291116  1241.29563277 1310.53451133
 1109.63091045 1276.96547391 1182.1365574  1149.68728061 1292.55055406]"	"[418.94372 424.96714 453.08959 437.17869 430.00539 219.24096  78.3159
 428.03882 117.30648 278.36477 128.41747 321.8585  221.94983 254.09498
 380.7903  206.44269 395.03749 257.16743 347.80947 427.41642  50.36193
 240.6751   50.36193 106.59472 423.87721 274.02784  54.73909 333.23895
  71.96383  76.52693 447.86389 354.9266  338.03508 388.29302 423.66546
 340.85021  95.23629 302.78104 242.46331 343.20764 311.58089 447.86389
 253.64111  39.87709 394.85078 185.61499 347.03149 414.23033 282.21139
 241.74151 332.36533 362.72155 117.17822 314.33075 153.57681 113.09557
 112.07318 289.85678 420.79872 334.51939  60.70331 421.19416 434.12219
  43.52409 436.61703 266.35893 349.74871 195.51916 311.58089 400.44688
 390.34383 280.31463 345.21749 455.34991 366.67063  79.57812 354.58659
 412.89981 230.36487 390.85768 419.58505 281.16701  86.01898 415.57375
 402.82708 204.19529 347.80947 156.88604 443.54064 344.47443 370.31914
 422.0412  197.71268 432.61256 380.38879 110.31687 223.54294  39.87709
 110.31687 218.4015 ]"
