Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
MPPO	25.76±3.60%	14.54±2.09%	40.30±3.31%	59.69±3.31%	16.55±5.40%	59.59±13.48	0	989.94±57.90	284.70±123.23	266.33±111.71	723.61±119.89	94.64±3.86%	26.92±11.38%	16.44±1.14	33.25±2.30%	72.74±2.07%	6.71±0.85	2725.91±325.54	"[2297.45410582 2341.85646796 2912.6607069  3147.01030141 2732.09648843
 2518.36790866 2809.06978183 2798.06799887 2894.28087346 2972.25191046
 2833.28313421 3481.25677478 2389.35678743 2885.48417673 2409.78128453
 2664.32125865 2877.18797516 2650.16544986 3012.00282228 2493.26509026
 2556.12983524 3339.10335868 2771.82322215 3073.2457344  2327.2863638
 2195.60871722 1816.07490083 2701.22441141 2415.8693484  2351.09682793
 3180.22944828 2941.30645169 3168.54717028 2134.38786421 3049.04513448
 3151.08928902 2465.28165337 2894.15524066 2889.4306281  2347.7358064
 2688.34711589 3185.37624912 2489.94132865 2991.69423037 2786.78197701
 2765.76808309 2408.37481281 3034.6546375  2609.03819078 2386.69416612
 2496.19725172 2430.95481454 3252.93153186 3201.91505863 2609.8239488
 1873.47942267 2490.09680068 2739.48472228 3071.77421699 2551.19455768
 2423.50839234 2547.59886587 3246.51615291 2138.25397771 2981.83776226
 3185.41559244 2741.21235445 3112.01216413 2254.17946956 2700.13741326
 2859.09306907 2812.66790356 2595.14722026 2880.72393864 2675.21779998
 2421.82861768 2417.96490792 2621.89791107 2911.93519426 2728.70417224
 2733.64800961 2373.54751487 2400.0216889  2941.59663392 2706.39234927
 2421.51938728 2929.79097773 2884.09236884 2169.4586028  2594.72823541
 2975.11303734 2865.77009417 3130.15464055 3252.07335748 2659.00963307
 2900.68174824 3205.21140228 2800.06316437 2848.13101416 2591.26397101]"	"[356.48437478 321.67358938  63.85315    376.541675   193.4674825
 344.24116604 152.9032575   76.07457375 349.45385527 181.63706801
 415.9895839  248.62516786 377.92195767 172.47346375 218.89982225
 157.41728285 225.2110727  398.52355875 406.88030623 391.72371065
 320.58056663 333.0224025  303.55502562 162.72411375 394.67375565
 344.89604687 299.31702266 126.92211125 191.55291437 315.82926915
 368.53147696 222.95280313 393.28196258 242.47106881 367.09280421
 236.35625053 203.62862061 348.20221813  57.24151    320.54604079
 299.25882563 438.57133001 383.11144938 399.56565853 337.35231947
 247.15094188 222.86508437 355.82670675 217.07098209 327.98551688
  59.08218125 345.95002282 390.10218951 412.19265312  74.624695
 194.21938501 343.22395843 252.38595024 431.45973223 207.25001877
  33.32162    317.43663151  39.62507125 366.51349277 319.97155125
 390.58897141 106.1117125  117.57801719 271.89316    313.03099247
 333.84183417 323.71298523  14.81417    227.834109   389.90146126
 191.74618    159.44020311 210.14214625 313.70901013 326.68907063
  93.6993      97.34478     80.08135    266.84970938 385.96889648
 286.86756313 422.64330437 323.75492     43.0066425  267.65634742
 286.31317438 337.88594483  70.00788    336.12166039 314.27447341
 387.36599627 111.84093    324.12500217 267.84234312 239.17171062]"	"[ 882.98023    1003.10890981  937.24608104 1061.19133651 1001.99970067
  996.68707942 1070.05448959  885.29418314 1067.6686558  1038.60550012
 1006.34401992 1079.58043604  892.87968809 1015.23877683 1021.08697691
  984.49612317  992.05319361 1030.95445827  976.03183613  996.38127324
  980.52304285  970.70386319  998.38024548 1100.59094862  927.92671498
  986.41435238  838.56801437  989.13801976 1018.87386562  941.13554962
 1066.23699416 1002.81077963  930.29249425  998.5924267  1037.16618846
 1003.59858606  967.68708692 1079.14942398  962.93522901  999.18875943
  887.22717244 1084.80883881  902.98502845 1007.82922093  998.78254941
  982.57522403  939.11695624 1067.04347417  983.27689748 1061.04385565
  876.84513604  963.25440134 1003.76609314 1033.9500968   976.38520698
  959.42515833  975.63095166 1013.72859087 1013.71756236  995.30444198
  991.95738233  923.66351899  976.13215985  894.64094844  986.14203308
  975.27117217  912.92130164 1043.20637586  979.79661341  926.5471244
  977.11389674 1068.66053373  987.87983707 1041.12499223  985.24701252
  888.96000325  979.7911239  1042.41303554  900.58594     976.75649258
  931.37111502  962.71054965 1015.88799164 1077.79830911 1022.33968782
  954.81466911  938.9507805  1082.8312316   848.42061445 1020.37399336
  984.98585655  980.18500316 1091.3155589  1102.44785746  990.79315497
  998.9656565  1074.20728948 1072.73683206  990.95367715  926.53200052]"	"[397.36306 326.83298  63.85315 383.49007 194.54991 378.04347 153.04552
  79.57812 379.15162 193.79319 447.86389 266.35893 414.85953 172.80609
 223.54294 160.70838 245.02798 412.89981 448.28211 427.49614 365.49568
 347.82009 333.13647 165.79825 414.50964 365.49568 354.23897 129.48464
 204.19529 345.35336 372.23637 246.22644 427.21227 250.93449 395.03749
 252.56181 214.10402 365.5177   57.24151 344.72036 333.73762 468.0032
 414.85953 416.08458 355.07917 254.09498 236.04293 394.48343 233.10637
 344.69456  61.48508 380.7903  430.00539 435.54609  74.62944 228.73451
 356.34821 261.94836 489.41608 229.62635  33.32162 344.72036  40.07976
 428.35682 325.75143 410.0915  106.30706 118.98919 272.55994 348.15331
 362.72155 353.1718   14.81417 246.41162 436.0455  191.74618 159.94482
 216.00684 340.42137 342.90632  93.6993   97.34478  80.08135 280.83911
 416.41699 291.66624 454.96433 340.52535  43.52409 278.19474 311.76304
 386.30445  70.00788 349.92936 345.50516 431.49757 111.84093 342.53063
 280.02774 250.93449]"
MPPO_eval	14.35±3.00%	28.47±2.89%	42.81±2.97%	57.17±2.98%	3.32±3.32%	79.86±14.74	0	1248.12±74.80	284.70±123.23	282.79±121.60	965.33±118.44	99.49±0.93%	22.53±9.59%	19.48±1.14	39.40±2.31%	83.79±1.73%	3.81±0.42	4832.34±456.23	"[4521.86976523 5232.96106481 4566.73534169 5487.11871205 5286.13544409
 4954.56242045 5383.40503171 4173.86727241 5690.13345108 4548.65255334
 3930.05686844 5197.50126119 4644.78312958 5430.65237794 4928.95770626
 4748.09636707 5371.34042144 4537.84875582 5053.69500413 4359.86128719
 4811.28458033 5515.27114032 5074.81835875 4897.87495459 4565.62903347
 5022.5941645  4227.5453054  4684.34905455 5016.25657065 4676.82302925
 5361.33878084 4735.35711513 4849.24054741 4142.85031596 5293.23757817
 5274.78922331 4286.2728928  5409.03388332 4015.38654767 4526.60551089
 4847.07295623 5319.84994364 5132.37481251 5512.21467868 5111.55693429
 5274.01392781 4882.51238708 5864.07130054 4761.12149068 5051.63583375
 4350.8998942  4416.52589965 5497.52542899 5096.12976732 4136.4768776
 4894.20566875 4649.89984743 5258.12919378 4789.46781192 4610.34384211
 4593.8444091  4696.28859156 4181.73979627 4183.66546876 5048.68180713
 5714.72129333 5166.91290831 5200.83192866 4797.85899429 4323.29454697
 4750.21397834 5422.74535571 3725.9442025  4899.46386832 4675.00747049
 4054.82572629 3944.90252875 5061.10945866 4712.87419946 5386.03788181
 4044.84603094 4842.30060724 4893.44662401 5473.95455259 4638.60669739
 4338.60801764 4667.4999457  5116.33386067 4085.5688139  5397.61471936
 4650.54259494 4402.16425906 4935.09659699 5105.48355836 4153.36446262
 4650.41207918 5030.22206654 4748.92068127 4772.77207328 4854.42081066]"	"[396.912925   326.53450375  63.85315    383.30559    194.4545625
 376.04478937 153.04552     77.85058625 379.15162    193.79319
 441.00337376 265.86657687 407.85156432 172.80609    223.54294
 160.70838    245.02798    405.70199898 435.81443892 420.65077438
 365.49568    347.82009    328.66549125 165.79825    414.13877438
 365.49568    352.60038875 128.01070625 204.19529    339.46191936
 365.85564875 246.22644    424.95947125 248.85948437 386.30190415
 252.56181    214.10402    362.6954075   57.24151    344.72036
 329.14621023 467.35292938 412.79705234 416.08458    355.07917
 254.09498    236.04293    389.7634338  233.10637    340.98922
  61.48508    375.64181562 428.15053938 429.40521663  74.62944
 228.73451    353.72757875 261.94836    483.16272912 229.62635
  33.32162    344.72036     40.07976    400.88340188 325.75143
 409.06911581 106.30706    118.98919    272.45306312 346.93284062
 358.59074688 353.1718      14.81417    246.41162    433.42539
 191.74618    159.94482    216.00684    340.19708562 342.90632
  93.6993      97.34478     80.08135    280.83213688 406.68060429
 291.66624    452.34773    340.52535     43.52409    278.19474
 309.285715   385.46272187  70.00788    349.92936    335.54201125
 427.63797062 111.84093    342.53063    280.02774    246.11864169]"	"[1231.2122191  1296.92385562 1196.4997331  1336.01309074 1306.92780904
 1308.87700644 1310.53547874 1079.18691912 1384.95984876 1231.79892931
 1180.80070614 1369.00939407 1142.76258851 1335.74112123 1333.96587737
 1194.97525017 1335.78430966 1241.15661315 1199.79036681 1213.40647408
 1310.73371788 1241.52104534 1230.86717013 1300.34984374 1236.76558057
 1261.90951277 1177.14733472 1211.0863056  1277.34041128 1195.32668128
 1352.46784033 1260.54528845 1207.9350562  1120.35632475 1322.36268174
 1272.27619338 1209.50009198 1328.94205728 1103.37603328 1294.92819212
 1166.04027246 1368.85349302 1239.82459344 1376.29473959 1338.88482706
 1251.77054014 1210.91905916 1345.11535203 1222.96482352 1324.63088246
 1165.65507905 1164.96359589 1340.2321796  1360.73885719 1209.86066405
 1186.67782254 1217.02557896 1290.20988767 1288.48460996 1226.18792891
 1257.72545223 1186.38265128 1149.23699863 1096.92524835 1248.79995169
 1335.07374032 1183.96117324 1304.68142361 1186.79547047 1180.70426658
 1250.23742161 1403.96507798 1142.40595955 1303.82212289 1280.80624355
 1076.96454296 1110.91953254 1289.61564608 1155.35222683 1321.7860909
 1157.25967419 1202.99458388 1248.81558566 1295.12573406 1243.88871939
 1218.73231924 1225.31215867 1277.18674332 1087.83595097 1302.04754639
 1222.68381673 1263.82013132 1296.80583027 1312.4427481  1251.40385591
 1264.64682998 1299.22526233 1357.99683962 1174.05348281 1201.91053508]"	"[397.36306 326.83298  63.85315 383.49007 194.54991 378.04347 153.04552
  79.57812 379.15162 193.79319 447.86389 266.35893 414.85953 172.80609
 223.54294 160.70838 245.02798 412.89981 448.28211 427.49614 365.49568
 347.82009 333.13647 165.79825 414.50964 365.49568 354.23897 129.48464
 204.19529 345.35336 372.23637 246.22644 427.21227 250.93449 395.03749
 252.56181 214.10402 365.5177   57.24151 344.72036 333.73762 468.0032
 414.85953 416.08458 355.07917 254.09498 236.04293 394.48343 233.10637
 344.69456  61.48508 380.7903  430.00539 435.54609  74.62944 228.73451
 356.34821 261.94836 489.41608 229.62635  33.32162 344.72036  40.07976
 428.35682 325.75143 410.0915  106.30706 118.98919 272.55994 348.15331
 362.72155 353.1718   14.81417 246.41162 436.0455  191.74618 159.94482
 216.00684 340.42137 342.90632  93.6993   97.34478  80.08135 280.83911
 416.41699 291.66624 454.96433 340.52535  43.52409 278.19474 311.76304
 386.30445  70.00788 349.92936 345.50516 431.49757 111.84093 342.53063
 280.02774 250.93449]"
