Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
MPPO	25.31±5.06%	25.68±3.56%	50.99±4.65%	49.01±4.65%	2.72±3.76%	52.35±12.09	0	893.40±70.41	297.84±126.64	269.58±108.05	623.81±124.46	92.17±6.51%	30.30±12.29%	19.54±1.37	39.51±2.77%	78.76±3.02%	4.06±1.24	2717.55±330.01	"[2143.12108091 3506.75331798 2720.17656586 2131.62639591 2707.55708331
 2219.16122794 2454.6232952  2593.97718692 2504.91502229 2600.21315906
 2817.04235699 2864.57200046 2653.52882949 2748.14634642 2018.46662074
 2360.67123084 3121.0275931  2458.13394358 2383.37111648 3191.63772809
 2627.97815272 2605.61550387 3216.16209473 2689.63947106 2480.6061954
 2487.64707049 2631.4631927  2769.7251636  2812.4471871  3190.53828766
 2468.2030018  3234.15947664 2561.26612274 2866.09746957 2467.45363685
 3111.5176269  3009.32065105 2291.11323017 3040.92498518 2395.8330425
 2395.79197717 2985.66412876 2597.28835533 2506.78686224 3020.0223999
 2625.40588615 2458.11555884 2805.52817731 2795.03695891 2749.12468256
 3207.0837881  2360.89504058 2611.41820475 2670.77818912 2533.55365057
 2896.63469922 2723.33770184 3023.18779947 3493.99943559 2573.9708813
 2147.20060535 2328.64545971 2891.31555786 2880.91158639 2412.86128521
 2409.50556887 3040.04456538 3374.64138026 2406.73122007 2334.93602467
 2551.725291   2524.85352201 2858.61306467 2985.71010198 2240.61435669
 2722.78604569 2702.2336275  2716.22639555 2947.94964929 2929.06695991
 2947.42951279 2668.29028948 2873.30800006 2643.36985129 2732.66618519
 2164.56728684 3156.78488915 2341.54230108 2794.6261942  2803.1035278
 3182.90264704 2763.79332959 2549.97145646 2517.95545542 2720.85204773
 2421.09936618 3642.91672204 2796.84752497 3575.13320911 2861.55354981]"	"[106.80605875 316.36323331 367.13065684 401.18984438 410.97444045
 344.87882184 179.71835375 312.33031636 314.50984629 230.65040596
 303.58986125 297.31952791  92.755295   352.45005813 331.10958056
 347.24955503 428.89849337 333.90771455 225.73077438 237.3026475
 143.21737187 242.35563563 393.98060931 365.46498235 175.44646
 112.14600375 353.51255929 396.23621361 262.92643125 407.22880071
 193.04026    338.33426533 288.96373083 390.24764006 162.43976812
 191.74618    114.06394813 353.22867257 286.12071625  72.158355
 262.86774282 322.90010125 399.63611638 340.19430563  64.2873
 210.60694188 315.15796857 225.25741    369.67800198 155.87973954
  93.95443125 372.57018841 373.5011272  112.07318    343.60674481
  80.69176687 395.22507731 209.8867625  319.88647868  34.2567
 371.57059813 336.5432701  334.60465852 221.1538767  310.17203162
 370.18505493 229.9923675  132.70356    325.04062468 150.44987312
  32.58463    218.64527938 305.94265437 328.67814577 363.483543
  44.25578     27.40313687 381.12492908  40.07976    220.31038
 305.12948375 379.25890843 372.85386297 275.9928525  291.25103188
 293.5373793  250.48859812 236.42884621 350.4506599  287.73940813
 219.78483687 367.09856056  88.43298875 318.99225851 354.94461825
 359.72056716 408.27423487 344.86829285 377.65208086 150.55684562]"	"[ 779.71895038  930.40164437  865.36499829  874.94901953  900.01040963
  819.53100898  863.06555801  783.24974718  886.53566584  897.47134495
  947.76569264  851.59952335  757.46700014  870.67463517  852.34002909
  740.53724667  918.62256235  832.28372267  756.04750935  977.47529809
  963.43584464  975.44396032  947.91096796  835.50996503  875.28861594
  928.99194296  838.8806323   890.11182649  957.25407715  989.26554488
  911.01024198  996.73949894  746.80209573  952.27273821  827.58783994
  926.48708943  887.28536884  826.21990403  876.87086449  931.19485747
  885.91600173  851.13022511  934.46085842  861.64863164  971.36585102
  896.32423169  860.82414318  892.14564072  897.65795041  930.28259095
  935.46992613  857.13405274  959.31907968  796.78195536 1008.07023915
  852.29202992  926.44617567  927.93358411  884.45803513  866.93153724
  778.87471328  851.61679209  927.0568499   910.60855166  901.30696252
  860.15175768  904.48388751 1002.83204993  882.97243071  910.91446303
  882.7086251   770.11005925  925.63857173  949.97332674  845.6402806
  816.39532306  852.73453378  952.55288109  970.92604086  996.4231958
  809.2093558   996.35601362  939.7738624  1002.5580916  1045.40957859
  719.94584553 1012.31404979  921.00583544  891.15427026  976.38874265
  890.75836646  930.34586986  869.80142799  853.71661493  938.16718286
  748.72690534 1079.10701452  864.80471195  926.31998977  843.58883324]"	"[120.66354 328.01703 390.66793 432.58295 435.28875 420.79872 182.89548
 418.54298 330.94222 266.35893 311.58089 361.41683  93.6993  449.80009
 437.22043 390.66793 482.63746 357.3372  326.83298 241.74151 144.84528
 253.64111 456.45652 419.21618 181.18848 115.87198 414.50964 482.63746
 279.61332 447.86389 193.04026 374.01927 345.65848 431.27291 172.80609
 191.74618 118.98919 388.63609 302.78104  73.99945 282.21139 334.31066
 424.61649 373.88112  64.2873  212.70823 393.17261 241.74151 410.50437
 160.70838  95.55279 424.13755 418.77674 112.07318 363.14737  96.13191
 419.77331 214.53744 338.03508  34.2567  392.74303 370.31914 353.19305
 231.39481 331.05151 392.63526 238.32979 132.70356 391.1886  153.57681
  32.58463 226.03172 340.42137 372.45801 409.11921  44.25578  31.36113
 404.04     40.07976 220.31038 311.1566  411.39394 423.15238 280.30098
 311.58089 341.72305 251.62064 251.62064 423.97968 297.35114 234.88775
 418.77674  88.87207 362.96974 373.33463 405.91928 456.99164 450.45665
 443.75544 153.57681]"
MPPO_eval	12.74±4.26%	45.91±3.57%	58.66±5.03%	41.34±5.03%	0.24±0.81%	73.63±12.52	0	1169.59±70.46	297.84±126.64	293.96±123.52	875.63±115.34	98.96±1.49%	24.96±10.29%	22.25±1.56	45.00±3.15%	88.36±2.27%	2.67±0.53	4586.27±346.45	"[3913.41723032 5037.04029738 4670.83928621 3988.70127473 4565.66867098
 3821.34261266 3810.65311051 4490.15214033 4207.22403637 4256.47408393
 4773.36970165 3949.15465225 4254.60205481 4795.69348757 4447.67002269
 5182.55762902 4329.83654888 4918.32401104 4471.48013461 4734.03549729
 4468.40025196 4655.30776922 4606.24916888 4769.90611118 4358.18391613
 4599.58764618 4384.33062571 4860.05945436 5167.26757807 5001.98485035
 4268.86549568 5260.45493985 4930.20910348 5341.10603715 4690.56203292
 4999.50777986 5424.48684491 4877.35291019 4806.28032191 4153.56548941
 4657.63081888 4686.64349493 4567.54944093 4516.61209767 4532.42753942
 4424.44908996 4601.35172479 4818.90090414 4157.65102027 4399.20255649
 4921.08005333 4771.8283891  4308.02397041 4282.03573743 4620.40134623
 4932.68392835 4755.52990436 4927.23666297 5219.41719981 4409.87830575
 4616.92824335 4552.17607271 5379.55349582 4520.21681077 4801.25468833
 4640.10018161 4789.49495311 4669.70679411 4640.31463127 4263.14710607
 4123.28747975 4265.10861517 4302.0673036  4666.07888616 4250.39671173
 3701.41168179 4460.97945584 4458.30977217 4175.59402041 4504.56396324
 4917.96927514 4606.53545877 4722.06741484 4801.88093005 4693.82125999
 3721.11792235 4752.92365881 4259.60171568 4572.37512179 4331.61562663
 4947.07115157 4619.66942002 4461.05553743 4574.93295266 4732.82286354
 4739.31952609 4891.05876325 4507.37631952 4446.28783983 4794.31994909]"	"[120.66354    328.01703    390.28046812 414.52989686 423.11523118
 407.88437239 182.5619475  401.54636165 329.1859975  262.89954812
 311.58089    356.41037563  93.2272975  435.22365489 407.82101778
 390.66793    472.35574277 357.3372     299.5608875  241.74151
 143.93638    253.64111    440.79659763 414.16717671 181.18848
 115.87198    406.19691939 465.30822435 279.61332    436.90504532
 193.04026    370.24301    342.38210404 426.970995   172.80609
 191.74618    118.98919    373.93395046 300.98372688  73.96401438
 281.36438937 332.91267937 411.24508741 372.83054713  64.2873
 212.70823    391.9850231  241.18062058 405.99678223 160.70838
  95.55279    412.36501069 418.05554136 112.07318    360.38699723
  95.2        416.40174    214.28237    338.03508     34.2567
 387.74904083 366.16676435 347.37968375 231.39481    331.05151
 391.49002625 238.13909    132.70356    382.4182675  152.178355
  32.58463    225.77437125 334.36939062 364.88324124 405.18764375
  44.25578     29.7490625  400.14994187  40.07976    219.88658813
 311.1566     409.98656687 417.9246501  280.30098    307.4341925
 341.1230625  247.29733882 249.0975875  420.53595687 294.5227148
 234.88775    415.29473812  88.87207    362.54067063 373.33463
 395.55552531 450.56486062 448.31357313 434.92550648 153.48402375]"	"[1022.32532355 1273.04679114 1181.88760602 1075.15406202 1182.97949623
 1071.24683497 1038.56033658 1158.61958404 1127.69103999 1138.58140975
 1177.07367037 1064.8638531  1047.20674937 1183.54652265 1165.48112519
 1165.09163984 1173.99025395 1159.57342124 1119.92606294 1205.21018984
 1159.93386041 1224.15531403 1249.25396657 1202.33942213 1134.8590121
 1158.83761184 1162.8906623  1229.17626967 1248.71654054 1242.31042472
 1104.38530325 1365.69361148 1268.14366394 1326.85954005 1195.81566512
 1212.56552436 1265.57243105 1219.68582228 1238.18050776 1088.41839994
 1233.83869152 1200.07078724 1194.71551941 1140.58721677 1200.76734051
 1169.98669409 1181.91348466 1202.93813894 1123.67108109 1080.4350685
 1245.39984171 1218.0575899  1137.81583726 1101.25710623 1256.37353491
 1201.18947389 1162.79013433 1168.23118866 1279.86397268 1066.17864667
 1180.5964162  1091.72464711 1305.35971682 1161.35787928 1248.68578689
 1193.74652412 1161.5953142  1190.48867559 1152.45308091 1035.12610737
 1121.52237015 1074.68821959 1163.94258788 1097.11772816 1100.99257684
 1030.1389621  1013.38591652 1173.72386741 1150.30529818 1170.5565644
 1179.36261968 1244.63197922 1197.25050171 1272.12896192 1174.47639765
 1073.60895821 1145.4019934  1053.08043073 1213.94135367 1132.29835365
 1164.17623426 1201.62735358 1081.79805581 1189.58480838 1197.28348252
 1202.36026441 1339.97722815 1180.04995862 1172.04710822 1130.01797428]"	"[120.66354 328.01703 390.66793 432.58295 435.28875 420.79872 182.89548
 418.54298 330.94222 266.35893 311.58089 361.41683  93.6993  449.80009
 437.22043 390.66793 482.63746 357.3372  326.83298 241.74151 144.84528
 253.64111 456.45652 419.21618 181.18848 115.87198 414.50964 482.63746
 279.61332 447.86389 193.04026 374.01927 345.65848 431.27291 172.80609
 191.74618 118.98919 388.63609 302.78104  73.99945 282.21139 334.31066
 424.61649 373.88112  64.2873  212.70823 393.17261 241.74151 410.50437
 160.70838  95.55279 424.13755 418.77674 112.07318 363.14737  96.13191
 419.77331 214.53744 338.03508  34.2567  392.74303 370.31914 353.19305
 231.39481 331.05151 392.63526 238.32979 132.70356 391.1886  153.57681
  32.58463 226.03172 340.42137 372.45801 409.11921  44.25578  31.36113
 404.04     40.07976 220.31038 311.1566  411.39394 423.15238 280.30098
 311.58089 341.72305 251.62064 251.62064 423.97968 297.35114 234.88775
 418.77674  88.87207 362.96974 373.33463 405.91928 456.99164 450.45665
 443.75544 153.57681]"
