Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
1PHASE_MODEL	4.25±5.94%	13.65±17.98%	17.90±23.52%	82.09±23.51%	2.60±4.39%	22.71±30.29	0	383.87±494.55	284.70±123.23	103.40±144.84	280.47±360.09	32.75±43.24%	19.97±21.99%	11.08±7.25	22.41±14.67%	54.69±32.05%	2.38±2.35	2292.79±3018.38	"[   9.8625     7041.683298    542.3761135   483.2147813   564.647462
 6135.679347      0.            9.8625     7896.93289481 6616.25342106
 1004.225       563.11774671  566.0125     1086.0380435   442.46247787
 1424.18381728 6876.86248525  548.82707653  574.57689625  329.62013433
  976.63555305 7386.27851375 6887.43506135  366.67603912 6228.09666039
  109.8091529  4835.20360563 1020.77430093    0.         1211.1370423
 6685.023637    981.88759755    0.            9.725       881.11415414
 7927.61906874  218.3874495  6929.67384611    0.          552.68012759
  108.35        658.07924688    0.            0.         7384.995417
 6748.05147973 8028.204293      0.         6490.15637308  384.61421531
    9.725         0.         7411.3606865  7083.23858875    0.
    0.            0.         6424.83747361  997.31350613 1319.81623944
    0.         6824.46605003    0.            0.         7358.47445993
 7343.27499875  218.10403412  554.6375      982.94565068    0.
 6662.28981001 2081.85870893    0.            0.          128.58055994
  110.          354.85666344 6329.52994088  365.18475       0.
  118.66226478    0.         6931.33548806  148.06687111    0.
  148.9         219.04625222 6821.952535      0.            0.
 1211.1372974  7736.805445      0.          980.01516142  994.44926574
 1221.49603311    0.         7501.678063   6847.90619116  110.        ]"	"[  0.         326.83298     14.511135     7.821355     9.79205312
 378.04347      0.           0.         379.15162    193.79319
  68.75        14.53543     38.5          6.79713      1.62477875
  41.41621375 245.02798     76.13284125  40.037925    50.01203687
  23.03816313 347.82009    332.82035125   2.2707825  413.2012275
  16.86441125 326.53605625  40.18649125   0.          53.86927875
 372.23637     20.72872      0.           0.           1.420135
 252.56181     12.749495   365.5177       0.          10.64379313
   0.          15.54246875   0.           0.         355.07917
 254.09498    236.04293      0.         233.10428563  20.39215313
   0.           0.         430.00539    434.1028575    0.
   0.           0.         261.94836     65.63506125  31.91239437
   0.         344.43146563   0.           0.         325.20300625
 410.0915       1.66534125   0.          81.336155     0.
 361.90179375  61.2105025    0.           0.           7.14266563
  11.          14.56663437 215.17440875  16.5          0.
   2.3600125    0.          80.08135      3.2473825    0.
  19.25        16.67504437 340.52535      0.           0.
  46.29682688 386.30445      0.          21.43606125  63.56697375
  42.54394625   0.         342.53063    280.02774     22.        ]"	"[   2.75 1210.     90.75  101.75  115.5  1097.25    0.      2.75 1325.5
 1130.25  184.25  104.5   118.25  200.75   77.    258.5  1174.25   96.25
   99.     55.    184.25 1135.75 1094.5    68.75 1075.25   19.25  874.5
  173.25    0.    222.75 1122.    178.75    0.      2.75  178.75 1262.25
   44.   1196.25    0.    112.75   16.5   134.75    0.      0.   1193.5
 1105.5  1254.      0.   1111.     74.25    2.75    0.   1190.75 1188.
    0.      0.      0.   1102.75  192.5   233.75    0.   1020.25    0.
    0.   1152.25 1141.25   33.    107.25  181.5     0.   1091.75  335.5
    0.      0.     30.25   11.     66.   1089.     79.75    0.     24.75
    0.   1141.25   30.25    0.     30.25   35.75 1221.      0.      0.
  222.75 1218.25    0.    170.5   173.25  239.25    0.   1210.   1119.25
   22.  ]"	"[397.36306 326.83298  63.85315 383.49007 194.54991 378.04347 153.04552
  79.57812 379.15162 193.79319 447.86389 266.35893 414.85953 172.80609
 223.54294 160.70838 245.02798 412.89981 448.28211 427.49614 365.49568
 347.82009 333.13647 165.79825 414.50964 365.49568 354.23897 129.48464
 204.19529 345.35336 372.23637 246.22644 427.21227 250.93449 395.03749
 252.56181 214.10402 365.5177   57.24151 344.72036 333.73762 468.0032
 414.85953 416.08458 355.07917 254.09498 236.04293 394.48343 233.10637
 344.69456  61.48508 380.7903  430.00539 435.54609  74.62944 228.73451
 356.34821 261.94836 489.41608 229.62635  33.32162 344.72036  40.07976
 428.35682 325.75143 410.0915  106.30706 118.98919 272.55994 348.15331
 362.72155 353.1718   14.81417 246.41162 436.0455  191.74618 159.94482
 216.00684 340.42137 342.90632  93.6993   97.34478  80.08135 280.83911
 416.41699 291.66624 454.96433 340.52535  43.52409 278.19474 311.76304
 386.30445  70.00788 349.92936 345.50516 431.49757 111.84093 342.53063
 280.02774 250.93449]"
2PHASE_MODEL	5.53±5.45%	24.36±18.97%	29.89±23.46%	70.09±23.48%	4.20±4.55%	39.40±33.02	0	668.33±506.46	284.70±123.23	173.68±148.52	494.65±393.96	60.70±42.02%	27.95±21.00%	14.99±4.35	30.32±8.79%	72.00±17.56%	3.71±2.15	4063.00±3163.29	"[7068.97024556  982.15440938 7092.810315    994.71908537  765.21858113
 2298.54117731 8027.82430906 1210.49580117 7502.57039481 6843.56117106
 7092.56152756  776.2956825  7067.99932494 8175.08675834 7586.954294
  979.97806728 7537.92498525 6624.73709013  687.05189625 7322.03683926
 1212.2484858   984.15799406 7329.05167323 7799.15275525 6883.36656777
  874.9591529   699.14624506 6612.76534531 6680.10560415  987.29036716
 8045.498637   7190.88553924 6808.92125198    0.         7360.40008034
 7878.85656874  990.         7080.19552291  808.56640681  984.40430342
 6936.33310998  334.40424687 1651.0053535   436.70931453 7988.257917
 6549.42647973 8079.304293   7729.860843   6273.64942629 1977.75957919
  219.39589872 7016.20475345 7203.4231865  7013.795412   6506.262944
 6111.398451   6778.009821    989.24804987 7674.641608    577.625
 2177.15329057 7082.26605003  295.0943585   891.723404   7242.98445993
  987.38130656 1197.68166444    0.         1977.631272   1118.77049051
  990.         1090.155         0.         8153.1698184   983.29654495
 6308.149618   6383.694482   6558.9024635   978.48461531 7186.62106601
  680.98969048    0.         7335.69798806  546.81458779 1226.10878177
 6518.21501063 7246.30532156  675.84644338 5861.952409   2069.907348
 7506.4791045   786.14608812  256.68521014    0.          110.
 1007.95902565 6844.15838873 7364.290563   1097.38918864 5667.468449  ]"	"[396.912925    86.54409375  63.85315     93.08373375  58.30724875
 187.91177312 153.04552     21.698525   379.15162    193.79319
 447.86389      0.91365    413.23190688 172.80609    223.54294
  41.41621375 245.02798    412.355325    75.787925   427.49614
  38.84249062  41.11489313 333.13647    165.79825    414.3692275
  16.86441125  37.21245063 126.0618325  204.19529    116.6026725
 372.23637    243.115215   425.94370375   0.         394.68607938
 252.56181    151.25       365.50741     25.91406813  61.99290437
 333.08422     15.54246875 109.06793812  21.2042375  355.07917
 254.09498    236.04293    394.48343    232.96671812 179.09579188
  13.9488075  379.03454687 430.00539    435.54609     74.62944
 228.73451    356.34821     36.976545   489.41608      0.
  22.69149187 344.43146563   6.39823125  25.85904    325.20300625
  91.77957813  11.56664437   0.         156.15495625  65.61234187
 145.75         0.           0.         246.41162    103.42207437
 191.74618    159.94482    215.774635    43.68615312 342.87871375
  16.06722      0.          80.08135     32.67908     94.41439625
 291.66624    454.96433      6.96443375  43.52409    153.82348
 311.34578125  18.21088125   1.31183563   0.          19.25
 121.22241687 111.84093    342.53063     60.16432625 250.93449   ]"	"[1138.5   165.   1135.75  167.75  151.25  376.75 1278.75  198.   1259.5
 1163.25 1166.    156.75 1146.75 1292.5  1254.    181.5  1265.   1171.5
  110.   1226.5   253.    154.   1179.75 1289.75 1135.75  167.75  145.75
 1089.   1102.75  162.25 1317.25 1094.5  1102.75    0.   1232.   1251.25
  151.25 1188.    140.25  154.   1075.25   71.5   286.     85.25 1267.75
 1091.75 1243.   1276.   1064.25  401.5    22.   1177.   1157.75 1171.5
 1012.   1014.75 1141.25  192.5  1243.    123.75  371.25 1042.25   57.75
  189.75 1113.75  140.25  220.      0.    346.5   214.5   145.75  192.5
    0.   1267.75  195.25 1031.25 1023.   1113.75  195.25 1190.75  140.25
    0.   1204.5    93.5   286.   1039.5  1111.    148.5   924.    354.75
 1190.75  156.75   49.5     0.     19.25  151.25 1127.5  1177.    198.
  976.25]"	"[397.36306 326.83298  63.85315 383.49007 194.54991 378.04347 153.04552
  79.57812 379.15162 193.79319 447.86389 266.35893 414.85953 172.80609
 223.54294 160.70838 245.02798 412.89981 448.28211 427.49614 365.49568
 347.82009 333.13647 165.79825 414.50964 365.49568 354.23897 129.48464
 204.19529 345.35336 372.23637 246.22644 427.21227 250.93449 395.03749
 252.56181 214.10402 365.5177   57.24151 344.72036 333.73762 468.0032
 414.85953 416.08458 355.07917 254.09498 236.04293 394.48343 233.10637
 344.69456  61.48508 380.7903  430.00539 435.54609  74.62944 228.73451
 356.34821 261.94836 489.41608 229.62635  33.32162 344.72036  40.07976
 428.35682 325.75143 410.0915  106.30706 118.98919 272.55994 348.15331
 362.72155 353.1718   14.81417 246.41162 436.0455  191.74618 159.94482
 216.00684 340.42137 342.90632  93.6993   97.34478  80.08135 280.83911
 416.41699 291.66624 454.96433 340.52535  43.52409 278.19474 311.76304
 386.30445  70.00788 349.92936 345.50516 431.49757 111.84093 342.53063
 280.02774 250.93449]"
3PHASE_MODEL	13.03±4.99%	34.13±11.79%	47.16±16.03%	52.83±16.03%	10.44±5.56%	59.22±24.62	0	981.80±331.24	284.70±123.23	253.83±141.71	727.97±271.72	88.77±29.10%	25.75±15.33%	13.92±1.81	28.14±3.66%	71.11±3.72%	5.14±1.46	5768.18±1985.05	"[5981.54595963 6461.308298   6194.635315   7590.70390197  891.209962
 6630.316847   1109.04036305 6659.01423806 7007.38289481  997.12622887
 5500.83841613 7389.26529885    9.8625     7484.65125834 6606.579294
 6297.55860402 6832.87498525  583.73112013 5723.18589715  587.68230299
 6831.95687603 6878.89101375 6626.83006135 6412.21525525 6265.98590733
 6046.68613284  688.70353725 6405.01627773 5998.54260415 6326.32664634
 6779.248637   6492.53620269 6411.61482377 5928.118449   7060.49746753
 6982.29406874 6370.522902   6880.44302291 5995.074151   5993.62643268
 6835.23310998 7620.30032    6778.65558519 7325.95589013 7293.27063688
  885.90461022 6486.354293   6540.55266581 6280.80500601 6409.244456
 6375.86455898  893.48371044 7092.8731865  6913.34026038 6451.862944
 6338.6258     6401.997321   6428.15079375 7274.641608   6282.66869881
 6315.9033751  5378.75284965  385.2610909  5249.66107056  676.8
 7023.41249875 6924.380706   7259.736419   5258.20526858 1885.79348279
 5880.14284551 7040.00507984 6480.59363566 7164.60955871 6711.65509776
 6296.087118   6094.244482   6654.663184   5857.6480632  6393.78461889
  897.05444048 7126.38106984 6550.78548806 6521.05344761 6076.62066869
 5338.77501063 6750.59436081 6613.877535   5671.952409   6927.094474
 7017.03466605 6586.155445   6058.73071271 6631.95314671 6404.9452214
 5933.08101705 6635.23088873 6887.453063   6877.90619116 5556.918449  ]"	"[396.17006563 326.83298     63.85315    383.30559      9.79205312
 378.04347      2.75758875  77.85058625 379.15162     20.1579475
 434.00777562 266.35893      0.         172.80609    223.54294
 160.70838    245.02798      3.35345438 445.87652437  65.71185625
 365.4132825  347.82009    332.82035125 165.79825    406.14689813
 364.75585062 102.5353725  128.01070625 204.19529    344.82476625
 372.23637    244.724625   426.39530625 250.93449    394.28495125
 252.56181    214.10402    365.50741     57.24151    342.23939125
 333.08422    468.0032     412.945255   416.08458    354.33136875
  19.35250625 236.04293    394.15165813 232.46369938 344.69456
  60.0682175   84.40579812 430.00539    425.49457375  74.62944
 228.508      356.34821    261.49476812 489.41608    226.68698812
  33.32162    343.74946188   7.79488625 411.73461813   0.
 410.0915     106.30706    118.98919    272.45306312 267.510195
 361.28714875 349.14789187  14.81417    245.85902313 435.29310188
 191.74618    159.94482    216.00684    339.70392875 341.51726188
  16.06722     97.34478     80.08135    280.75713875 413.16278375
 291.66624    453.8547225  340.52535     43.52409    278.19474
 310.5138275  386.30445     70.00788    349.58676938 343.4860025
 429.71450812 111.84093    342.53063    280.02774    250.93449   ]"	"[1001.   1113.75 1017.5  1295.25  184.25 1152.25  209.   1050.5  1207.25
  187.    968.   1251.25    2.75 1177.   1157.75 1080.75 1207.25  126.5
 1006.5   107.25 1196.25 1111.   1097.25 1141.25 1091.75 1014.75  115.5
 1075.25 1003.75 1097.25 1179.75 1067.   1069.75 1069.75 1245.75 1188.
 1050.5  1182.5  1006.5  1086.25 1086.25 1265.   1091.75 1248.5  1215.5
  176.   1072.5  1155.   1105.5  1152.25 1006.5   170.5  1182.5  1174.25
 1056.   1042.25 1100.   1058.75 1243.   1100.   1102.75  869.     66.
  907.5   132.   1146.75 1111.   1201.75  948.75  327.25 1006.5  1185.25
 1094.5  1155.   1201.75 1050.5  1017.5  1155.    981.75 1102.75  189.75
 1166.   1149.5  1116.5  1072.5   937.75 1080.75 1201.75  924.   1207.25
 1182.5  1124.75 1130.25 1105.5  1133.   1020.25 1127.5  1152.25 1119.25
  981.75]"	"[397.36306 326.83298  63.85315 383.49007 194.54991 378.04347 153.04552
  79.57812 379.15162 193.79319 447.86389 266.35893 414.85953 172.80609
 223.54294 160.70838 245.02798 412.89981 448.28211 427.49614 365.49568
 347.82009 333.13647 165.79825 414.50964 365.49568 354.23897 129.48464
 204.19529 345.35336 372.23637 246.22644 427.21227 250.93449 395.03749
 252.56181 214.10402 365.5177   57.24151 344.72036 333.73762 468.0032
 414.85953 416.08458 355.07917 254.09498 236.04293 394.48343 233.10637
 344.69456  61.48508 380.7903  430.00539 435.54609  74.62944 228.73451
 356.34821 261.94836 489.41608 229.62635  33.32162 344.72036  40.07976
 428.35682 325.75143 410.0915  106.30706 118.98919 272.55994 348.15331
 362.72155 353.1718   14.81417 246.41162 436.0455  191.74618 159.94482
 216.00684 340.42137 342.90632  93.6993   97.34478  80.08135 280.83911
 416.41699 291.66624 454.96433 340.52535  43.52409 278.19474 311.76304
 386.30445  70.00788 349.92936 345.50516 431.49757 111.84093 342.53063
 280.02774 250.93449]"
