Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
1PHASE_MODEL	7.10±3.36%	77.14±5.33%	84.24±5.08%	15.76±5.08%	0.56±1.07%	62.96±16.31	0	1087.27±65.03	316.46±121.40	313.73±119.50	773.54±129.46	99.31±2.13%	28.90±11.06%	18.47±1.13	37.35±2.28%	78.61±1.96%	5.28±0.88	5926.74±400.43	"[5997.43076219 6246.15531848 5277.38408042 5801.53993089 5650.28054512
 5238.07932975 5950.50991201 5391.329064   5707.44598031 5289.846749
 6353.41390315 5703.685953   5577.21355976 6024.686487   5074.45278619
 5905.750539   6363.99898058 6060.44051009 5440.19334873 5689.07425194
 5951.1620342  5762.86512525 5802.86552769 6372.17844    5594.1354274
 6003.896268   5281.607148   5512.79659738 5387.00600163 5578.48371444
 5370.41315308 6367.23033454 6131.13707821 5980.648508   5948.58840106
 5917.33597419 5740.95163577 5720.2541937  6473.29854    5742.3939305
 6453.2020326  6369.9036355  5472.32721125 6756.777501   6694.76574567
 6790.50146455 5395.90804475 6017.52378219 5980.19506644 5896.56871431
 5600.89418483 6578.34116215 6489.00518443 5741.61768731 5958.75355976
 6368.30160631 6345.4220967  6371.5917722  5380.56508601 6002.935637
 6256.5946509  5897.12129003 6361.42422189 6158.232036   6238.81266455
 5746.87337883 5438.11911093 6128.85229413 5955.54784729 5722.91856731
 6368.39285047 6682.41149666 5736.102784   5881.566391   5477.59907865
 6428.137644   6121.206844   5762.96072344 5857.65789481 6465.276858
 6007.737198   5489.4543998  5384.4242554  6798.48342238 6079.77199717
 6048.871303   5868.56434849 6102.92302943 5301.55398729 5684.22256231
 5707.438438   5802.4776965  5840.98561324 6346.252291   5717.49670836
 6122.69723177 6029.5751203  6648.28813125 5682.09436103 5277.981417  ]"	"[395.4132     422.43941688 435.61857    394.41568688 415.22091062
  70.40027688 436.70286312 443.54064    221.0504     345.21749
 248.242065   414.85953    114.06327    230.36487    315.10170875
 430.00539    459.11155188 473.2761875  436.3936175  405.62783
 362.32090187  53.6512525  404.8272225  360.2844     278.19825063
 197.71268    236.32148    294.17018     97.34478    277.00516813
 301.74102063 311.89423125 421.62740125  61.48508    247.47423
 440.35974187 377.25755813  54.83699    349.1104     402.939305
 413.33490937 253.83919    282.0221125  220.02501    412.15761375
 327.73923    373.0804475  347.08586125 423.34943    329.74892875
 181.60174875 457.77960625 426.569195   421.86502    114.06327
 476.1708     206.09734    417.92378    334.76346937 233.10637
  33.522      329.65497    216.89107    354.82036    423.74407312
 374.95478813 400.84775875 413.65256563 401.015725   409.7324275
 300.39096    355.75410812 274.02784     97.03891    251.38382
 202.62644    350.56844    424.13755    379.15162    180.26858
 115.87198    152.39687813 389.663605   461.83422375 390.0863475
 427.21303    227.93609625 340.85021    326.93189938 420.82831
 432.13438    205.8217275  291.37902125 431.27291    402.38130375
 401.3292175  181.18848     90.64586    204.43893     14.81417   ]"	"[1075.25 1185.25  957.   1155.   1067.    976.25 1050.5  1130.25 1119.25
 1146.75 1108.25 1078.   1080.75 1083.5   871.75 1072.5  1116.5  1003.75
 1061.5  1067.   1188.   1001.   1091.75 1138.5  1080.75 1058.75 1020.25
 1138.5  1050.5  1080.75 1069.75 1056.   1111.   1155.   1108.25 1067.
 1006.5  1069.75 1204.5   979.   1185.25 1157.75 1058.75 1152.25 1122.
 1152.25  946.    998.25 1122.   1097.25 1124.75 1105.5  1133.   1050.5
 1080.75 1166.   1102.75 1141.25 1025.75 1003.75 1086.25 1135.75 1080.75
 1072.5  1237.5  1050.5   987.25 1127.5  1031.25 1089.   1102.75 1166.
 1089.   1047.75  968.   1097.25 1138.5   948.75 1171.5  1127.5  1138.5
 1105.5  1108.25 1177.   1025.75 1138.5  1113.75 1116.5   932.25 1119.25
 1157.75 1047.75 1001.   1168.75 1133.   1119.25 1053.25 1138.5  1086.25
 1083.5 ]"	"[395.4132  422.84495 447.27339 394.85078 415.64661  70.51185 462.56571
 443.54064 221.0504  345.21749 253.64111 414.85953 114.06327 230.36487
 373.19955 430.00539 469.00964 489.41608 436.73772 405.62783 363.51167
  54.73909 405.91928 360.2844  278.41485 197.71268 236.32148 294.17018
  97.34478 277.66649 302.78104 316.17285 423.10303  61.48508 247.47423
 443.38654 378.94442  54.83699 349.1104  403.19978 415.33163 253.83919
 282.21139 220.02501 413.11308 327.73923 388.63609 347.82009 424.13755
 330.1225  181.84273 464.26438 427.41642 424.59219 114.06327 476.1708
 206.09734 418.94372 335.34671 233.10637  33.522   329.65497 216.89107
 354.82036 424.45634 376.06325 459.53275 415.58667 407.46307 414.8011
 300.39096 356.34821 274.02784  97.03891 251.38382 202.62644 350.56844
 424.13755 379.15162 180.26858 115.87198 152.55067 390.85768 462.56571
 397.36306 427.21303 228.73451 340.85021 329.10619 420.82831 432.13438
 206.09734 296.83883 431.27291 403.49806 402.67303 181.18848  90.64586
 204.43893  14.81417]"
2PHASE_MODEL	9.04±4.53%	76.04±5.60%	85.09±5.78%	14.91±5.78%	0.60±1.03%	61.87±16.54	0	1074.81±69.23	316.46±121.40	313.67±119.44	761.14±134.45	99.30±2.10%	29.28±11.27%	18.10±1.37	36.60±2.78%	77.64±2.36%	5.49±0.88	5856.73±417.81	"[5997.48216831 6077.17281848 5277.38408042 5615.40360759 5542.24404512
 5238.07932975 5970.50860879 5294.354064   5716.89598031 5467.371749
 6224.78890315 5597.535953   5567.48855976 5936.336487   4985.06878619
 5905.475539   6363.99898058 6070.44051009 5519.36834873 5560.44925194
 5822.9495342  5762.86512525 5723.14052769 6303.55344    5584.3279274
 5916.096268   5291.332148   5590.04659738 5377.74850163 5509.85871444
 5359.64315308 6307.78033454 5983.61207821 5902.848508   5849.96340106
 5887.33597419 5623.31663577 5719.9791937  6473.71104    5654.0439305
 6453.2020326  6369.9036355  5472.32721125 6756.777501   6704.49074567
 6790.50146455 5376.45804475 6017.95278219 5880.85506644 5776.84371431
 5600.59168483 6312.0332674  6311.56886468 5466.00504075 5968.47855976
 6368.30160631 6178.4470967  6282.9667722  5114.63508601 5923.760637
 6276.0446509  5897.12129003 6263.34922189 6158.232036   5864.6715185
 5469.5475792  5438.11911093 6040.50229413 5965.52034729 5654.12856731
 6268.66785047 6514.92368818 5843.765284   5802.941391   5291.99907865
 6340.337644   6121.206844   5675.02322344 5769.85789481 6376.926858
 5821.312198   5429.4543998  5374.6167554  6611.50842238 6187.80299717
 5962.171303   5859.66434849 6014.02302943 4451.57223729 5398.34756231
 5807.163438   5713.8306965  5762.03061324 6346.527291   5727.08420836
 6122.69723177 6029.8776203  6648.28813125 5396.02136103 5278.256417  ]"	"[394.55226125 422.43941688 435.61857    394.56169937 415.22091062
  70.40027688 435.76645062 443.54064    221.0504     345.21749
 248.242065   414.85953    114.06327    230.36487    315.10170875
 430.00539    459.11155188 473.2761875  436.3936175  405.62783
 362.32090187  53.6512525  404.8272225  360.2844     278.19825063
 197.71268    236.32148    294.17018     97.34478    277.00516813
 301.74102063 311.89423125 421.62740125  61.48508    247.47423
 440.35974187 377.25755813  54.83699    349.1104     402.939305
 413.33490937 253.83919    282.0221125  220.02501    412.15761375
 327.73923    373.0804475  347.08586125 423.34943    329.74892875
 181.60174875 456.20065875 426.30269812 421.73855438 114.06327
 476.1708     206.09734    417.92378    334.76346937 233.10637
  33.522      329.65497    216.89107    354.82036    420.3922475
 373.92179188 403.59775875 413.65256563 401.015725   409.7324275
 300.39096    355.005075   274.02784     97.03891    251.38382
 202.62644    350.56844    424.13755    379.15162    180.26858
 115.87198    152.39687813 389.663605   461.83422375 390.0863475
 427.21303    227.93609625 340.85021    326.93189938 420.82831
 432.13438    205.8217275  291.37902125 431.27291    402.38130375
 401.3292175  181.18848     90.64586    204.43893     14.81417   ]"	"[1072.5  1166.    957.   1111.   1042.25  976.25 1047.75 1100.   1127.5
 1171.5  1094.5  1039.5  1078.   1067.    860.75 1075.25 1116.5  1003.75
 1069.75 1053.25 1157.75 1001.   1089.   1124.75 1078.   1036.75 1023.
 1168.75 1042.25 1067.   1078.   1050.5  1086.25 1133.   1094.5  1067.
  979.   1072.5  1199.    962.5  1185.25 1157.75 1058.75 1152.25 1124.75
 1152.25  940.5   992.75 1111.   1094.5  1144.   1067.   1091.75 1001.
 1083.5  1163.25 1072.5  1127.5   962.5   995.5  1091.75 1135.75 1061.5
 1072.5  1160.5  1014.75  990.   1111.   1031.25 1058.75 1100.   1135.75
 1116.5  1034.    924.   1075.25 1138.5   929.5  1146.75 1111.   1102.75
 1105.5  1105.5  1146.75 1047.75 1105.5  1100.   1105.5   814.   1078.
 1160.5  1034.    981.75 1166.   1141.25 1119.25 1047.75 1138.5  1042.25
 1080.75]"	"[395.4132  422.84495 447.27339 394.85078 415.64661  70.51185 462.56571
 443.54064 221.0504  345.21749 253.64111 414.85953 114.06327 230.36487
 373.19955 430.00539 469.00964 489.41608 436.73772 405.62783 363.51167
  54.73909 405.91928 360.2844  278.41485 197.71268 236.32148 294.17018
  97.34478 277.66649 302.78104 316.17285 423.10303  61.48508 247.47423
 443.38654 378.94442  54.83699 349.1104  403.19978 415.33163 253.83919
 282.21139 220.02501 413.11308 327.73923 388.63609 347.82009 424.13755
 330.1225  181.84273 464.26438 427.41642 424.59219 114.06327 476.1708
 206.09734 418.94372 335.34671 233.10637  33.522   329.65497 216.89107
 354.82036 424.45634 376.06325 459.53275 415.58667 407.46307 414.8011
 300.39096 356.34821 274.02784  97.03891 251.38382 202.62644 350.56844
 424.13755 379.15162 180.26858 115.87198 152.55067 390.85768 462.56571
 397.36306 427.21303 228.73451 340.85021 329.10619 420.82831 432.13438
 206.09734 296.83883 431.27291 403.49806 402.67303 181.18848  90.64586
 204.43893  14.81417]"
3PHASE_MODEL	15.13±4.92%	69.83±7.14%	84.96±5.91%	15.04±5.91%	1.97±2.44%	56.69±16.44	0	1013.04±75.69	316.46±121.40	313.35±119.26	699.69±143.69	99.21±1.96%	31.15±12.21%	17.07±1.22	34.52±2.46%	74.32±2.89%	5.96±1.00	5426.01±525.25	"[5405.12514587 5582.26031848 4782.90608042 4934.0405046  5146.61929512
 4542.49032975 5674.60610879 4315.19541313 5617.72098031 4681.946749
 5712.76390315 5203.231012   5466.93855976 5542.386487   4589.00727195
 5607.63718613 5966.22648058 5682.77801009 5115.75306841 4875.12425194
 5317.49330133 5266.30262525 5134.11148219 6303.55344    4791.35769905
 5422.146268   5095.182148   4510.66554938 5178.68350163 5313.10371444
 4964.8750014  6208.27533454 5687.29707821 5017.698508   5544.63840106
 5288.21537619 4823.95664597 5326.3591937  5686.48407663 5063.1189305
 5759.44727579 5871.3281355  4781.40221125 6361.727501   6112.09763839
 6591.35396455 4959.7435585  5521.28246389 5682.75256644 5479.59371431
 5008.76011539 6210.6582674  5913.87886468 5268.34254075 5869.57855976
 5972.37885156 6078.9669932  5986.2667722  4904.47008601 5824.30817044
 5981.1321509  5597.94002378 5671.47822189 5858.232036   5374.54341241
 5270.55394549 4642.59171677 5448.18375113 5468.16034729 4860.94856731
 6170.64779622 6316.40868818 5548.0860115  4816.003891   5091.72407865
 6142.125144   5922.306844   5472.13572344 5573.15789481 6376.651858
 5429.562198   5329.90977899 4291.54524547 6317.50117538 5891.52649717
 5370.421303   5067.14678386 5324.89276793 4451.48794924 5287.96008387
 4536.05428806 5516.1881822  5464.01061324 6149.277291   4835.31503441
 5824.35437007 5240.15712029 6446.91313125 4795.09911103 4882.518917  ]"	"[395.35703688 422.43941688 435.61857    368.66461125 415.22091062
  70.40027688 435.76645062 442.95413125 221.0504     345.21749
 248.242065   414.06012    114.06327    230.36487    323.22489
 429.62186125 459.11155188 473.2761875  434.24081438 405.62783
 363.11092437  53.6512525  404.5367675  360.2844     278.04327563
 197.71268    236.32148    294.1097      97.34478    277.00516813
 300.16638    311.89423125 421.62740125  61.48508    247.47423
 439.15376187 376.25506688  54.83699    348.96576625 402.939305
 412.81234125 253.83919    282.0221125  220.02501    411.9968975
 327.73923    382.560585   346.9068825  423.34943    329.74892875
 181.33605438 456.20065875 426.30269812 421.73855438 114.06327
 475.6932525  205.796305   417.92378    334.76346937 233.08170438
  33.522      329.5923075  216.89107    354.82036    421.04731187
 369.45001125 407.79987562 413.46713563 401.015725   409.7324275
 300.0604175  355.005075   273.235115    97.03891    251.38382
 202.62644    350.56844    424.13755    379.15162    180.26858
 115.87198    152.55067    386.6806975  461.26175375 390.0863475
 427.21303    227.13545    339.547595   325.46579875 419.70352562
 429.54288063 203.80279875 291.37902125 431.27291    401.7138625
 400.93719625 181.18848     90.64586    204.43893     14.81417   ]"	"[ 976.25 1089.    902.    970.75  990.    929.5   998.25  891.   1119.25
 1025.75 1014.75  981.75 1083.5  1006.5   819.5  1053.25 1072.5   954.25
 1003.75  968.   1058.75  959.75  979.   1124.75  990.    976.25  984.5
  957.   1031.25 1034.   1017.5  1042.25 1047.75  984.5  1039.5   957.
  847.   1012.   1058.75  871.75 1100.   1138.5   968.   1102.75 1039.5
 1138.5   910.25  948.75 1075.25 1047.75 1017.5  1080.75 1039.5   957.
 1072.5  1119.25 1067.   1094.5   965.25  990.   1042.25 1119.25  979.
 1072.5  1047.75 1001.    904.75 1031.25  981.75  935.   1075.25 1116.5
 1069.75  871.75  926.75 1053.25 1127.5   943.25 1105.5  1113.75 1020.25
 1100.    885.5  1086.25 1006.5  1023.    962.5   995.5   814.   1064.25
  869.   1009.25  946.   1138.5  1014.75 1105.5   937.75 1152.25  932.25
 1028.5 ]"	"[395.4132  422.84495 447.27339 394.85078 415.64661  70.51185 462.56571
 443.54064 221.0504  345.21749 253.64111 414.85953 114.06327 230.36487
 373.19955 430.00539 469.00964 489.41608 436.73772 405.62783 363.51167
  54.73909 405.91928 360.2844  278.41485 197.71268 236.32148 294.17018
  97.34478 277.66649 302.78104 316.17285 423.10303  61.48508 247.47423
 443.38654 378.94442  54.83699 349.1104  403.19978 415.33163 253.83919
 282.21139 220.02501 413.11308 327.73923 388.63609 347.82009 424.13755
 330.1225  181.84273 464.26438 427.41642 424.59219 114.06327 476.1708
 206.09734 418.94372 335.34671 233.10637  33.522   329.65497 216.89107
 354.82036 424.45634 376.06325 459.53275 415.58667 407.46307 414.8011
 300.39096 356.34821 274.02784  97.03891 251.38382 202.62644 350.56844
 424.13755 379.15162 180.26858 115.87198 152.55067 390.85768 462.56571
 397.36306 427.21303 228.73451 340.85021 329.10619 420.82831 432.13438
 206.09734 296.83883 431.27291 403.49806 402.67303 181.18848  90.64586
 204.43893  14.81417]"
