Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
1PHASE_MODEL	5.92±4.28%	89.26±5.84%	95.18±4.55%	4.82±4.55%	0.14±0.58%	51.71±14.49	0	943.94±68.25	300.38±119.32	294.29±115.83	649.65±136.97	98.36±3.45%	31.38±12.60%	19.85±1.35	40.14±2.73%	79.62±2.20%	4.93±1.06	4888.19±302.80	"[5039.49932525 5117.95791075 5033.38995619 4623.246974   4833.42370276
 3961.12283552 4221.75099456 4923.36932497 5225.784273   5244.66273493
 5360.54688175 4639.24774833 4748.88860631 4941.2831052  5373.13404337
 4901.41917475 4385.43652463 5251.28677036 4706.733295   4627.88432001
 4918.26015524 4228.53131654 4842.225585   5029.842619   4533.29941862
 5114.594394   5225.450789   4806.5963201  4441.18573884 5349.85359014
 4769.73893388 5150.09347045 5140.71797135 4583.11964375 4445.92755419
 4667.64219163 5048.47184365 5131.54529525 5233.63503818 5127.8602705
 4819.55113731 4303.13657763 4808.51732384 5042.6837845  5047.44687156
 4628.612064   4891.89856048 4584.70839475 4760.11085466 5012.20003781
 5205.401043   4914.57472173 5096.883532   4919.258463   4884.08301725
 5431.06496706 4052.433883   4893.16989563 5241.63112358 4912.27265439
 5340.1566686  4935.53588176 5226.01232856 4948.47130078 4953.74198239
 5007.09490362 4788.49916781 5012.977331   5047.60063914 5159.14632496
 4606.41044473 5134.91341482 4939.05494488 4825.58596425 4908.65941035
 4507.3000705  5060.7790057  4480.09458758 5042.03913913 4837.74985325
 4501.54029779 4998.802962   4656.80143831 5227.7602595  4933.43719244
 5036.56080272 4959.84056975 4199.96605094 5135.9818072  4945.94261403
 5119.35113036 4605.933868   4821.77823894 4679.28574494 5144.948772
 5330.62011325 4911.40806026 4476.75283308 4721.16378434 5250.89436531]"	"[438.2432525  259.5791075  338.27123562 362.96974    389.54239062
 321.4672025  357.8777175  384.76031125 181.84273    356.19907
 361.41683    277.458475   331.34989812 441.95842313 424.97975437
 228.87568375 329.86524625 325.45517875 432.58295    354.79767937
 366.24549937 274.3092675  360.00585    338.55119    412.99418625
 162.42222    291.25789    426.27101187  70.40027688  68.3343
  34.2567     310.58826688 325.22393625 406.6964375  329.65497
 406.09429    360.846675   422.9529525  301.30345375  79.41114
 453.42116437 375.61577625 365.85736937 398.71863    242.46331
 251.62064     93.6993     327.0839475  390.59111125 118.654425
  77.01043    348.862745    75.33532    373.33463    159.94482
 204.40729188  71.96383     54.73909    193.79319     88.87207
 292.72351    203.56522625 220.87328562 353.99609188 246.49119625
 346.35144    348.772605   419.77331    271.5761475  338.1777275
 407.65078375 182.085735    86.01898    431.19324    149.32414
 321.000705   394.71223063 366.22644437 422.39139125 436.01543
 281.05173937 307.27962    337.08007188 362.102595   347.37192437
 404.95022875 418.53284437 234.2632075  172.80609    321.90462875
  67.85458    303.21368    259.62892125  66.13244    436.73772
 409.9511325  349.94991125  89.84064563 380.48647375 325.69365313]"	"[ 943.25  880.    987.25  990.   1009.25  893.75  770.    957.    924.
  904.75  871.75  918.5   973.5   937.75  915.75  904.75  907.5  1014.75
  965.25  893.75  866.25  852.5   937.75  998.25  880.    968.   1036.75
  981.75  858.    891.    957.    929.5   959.75  775.5   902.    902.
 1006.5   907.5   948.75  962.5   965.25  844.25  814.   1025.75  929.5
  800.25 1012.    880.    888.25  951.5  1023.    984.5  1006.5  1080.75
 1067.   1034.    792.    932.25  976.25  976.25 1025.75  992.75 1009.25
  976.25  899.25  998.25  970.75  990.    860.75  976.25 1020.25  990.
 1050.5  1050.5   965.25  880.    899.25  880.    902.    907.5   910.25
 1119.25  926.75  984.5   913.   1014.75  968.    827.75 1006.5   943.25
 1031.25  885.5  1009.25  913.    987.25 1003.75  932.25  814.    907.5
  984.5 ]"	"[464.26438 302.78104 366.27292 362.96974 389.76472 327.73923 366.27292
 388.63609 181.84273 356.34821 361.41683 279.61332 345.21749 449.80009
 432.61256 236.54082 425.55841 328.01703 432.58295 355.07917 422.0412
 281.24063 360.00585 338.55119 414.1051  162.42222 291.25789 427.41642
  70.51185  68.3343   34.2567  311.58089 326.622   427.21227 329.65497
 407.51698 360.91133 423.15238 326.83298  79.41114 457.61552 376.06325
 400.65639 398.71863 242.46331 251.62064  93.6993  343.20764 395.03749
 118.98919  77.01043 350.56844  75.33532 373.33463 159.94482 204.43893
  71.96383  54.73909 193.79319  88.87207 292.72351 204.19529 221.94983
 354.04315 252.93218 346.35144 349.65764 419.77331 279.61332 338.3531
 419.03403 183.04654  86.01898 431.19324 149.32414 338.88592 402.67303
 379.15162 426.22328 436.61703 282.21139 307.27962 338.55119 366.27292
 356.34821 408.7511  423.97968 236.54082 172.80609 338.3531   67.85458
 303.21368 261.94836  66.13244 436.73772 410.0915  356.34821  90.50012
 432.13438 325.75143]"
2PHASE_MODEL	9.46±5.53%	87.52±6.54%	96.98±4.72%	3.02±4.72%	0.16±0.61%	50.48±14.39	0	929.39±71.65	300.38±119.32	293.88±115.47	635.51±135.92	98.27±3.59%	31.80±12.71%	19.18±1.36	38.79±2.74%	77.88±2.75%	5.18±1.08	4811.42±335.48	"[4941.42432525 4931.25791075 5033.55356995 4535.996974   4567.01703976
 3825.10446902 4131.61349456 4923.36932497 5225.784273   5155.76273493
 5360.54688175 4629.52274833 4748.83798175 4941.2831052  5373.0626625
 4645.26917475 4385.43652463 5163.20117405 4527.008295   4558.43432001
 4918.26015524 4120.09881654 4842.225585   5029.842619   4337.62049269
 5114.594394   5225.450789   4659.8916144  4352.42323884 5349.85359014
 4592.37893388 5150.09347045 5053.1208811  4583.11964375 4445.92755419
 4667.9505455  5048.35276646 5052.92128263 5233.63503818 5127.5852705
 4660.17709303 4223.96157763 4808.55457159 4953.3712845  4958.49187156
 4628.612064   4822.17356048 4584.70839475 4760.11085466 4923.30003781
 5205.401043   4914.57472173 5009.633532   4832.008463   4727.93301725
 5431.06496706 4052.433883   4727.01989563 5152.45612358 4638.19615439
 5340.1566686  4756.99338176 5138.044983   4948.47130078 4864.40198239
 5007.36990362 4620.42416781 4924.352331   4958.72813914 5159.17382496
 4427.89544473 5134.91341481 4939.05494488 4648.73088238 4908.65941035
 4507.3000705  5060.7790057  4410.66458101 4954.69667881 4472.94206275
 4413.74029779 4919.627962   4567.61625656 5139.6852595  4844.39151169
 4867.35830272 4959.84056975 4189.69105094 4948.3193072  4767.51011403
 5119.35113036 4349.233868   4645.49073894 4600.79824494 5144.948772
 5330.62011325 4823.60806026 3920.22783308 4632.51128434 5250.900143  ]"	"[438.2432525  259.5791075  338.93199125 362.96974    389.08410312
 320.36262125 357.8777175  384.76031125 181.84273    356.19907
 361.41683    277.458475   330.8436525  441.95842313 423.79007312
 228.87568375 329.86524625 324.79921562 432.58295    354.79767937
 352.49549937 274.3092675  360.00585    338.55119    412.20492688
 162.42222    291.25789    426.21219062  70.40027688  68.3343
  34.2567     310.58826688 324.50303375 406.6964375  329.65497
 406.42782875 359.65590313 420.21282625 301.30345375  79.41114
 449.04790625 375.61577625 366.22984687 398.71863    242.46331
 251.62064     93.6993     327.0839475  390.59111125 118.654425
  77.01043    348.862745    75.33532    373.33463    159.94482
 204.40729188  71.96383     54.73909    193.79319     88.87207
 292.72351    203.56522625 221.94983    353.99609188 246.49119625
 346.35144    348.772605   419.77331    271.5761475  338.1777275
 407.65078375 182.085735    86.01898    429.64242125 149.32414
 321.000705   394.71223063 359.82637875 424.21678813 427.3027075
 281.05173937 307.27962    336.9528     362.102595   348.66511687
 404.95022875 418.53284437 234.2632075  172.80609    321.90462875
  67.85458    303.21368    259.62892125  66.13244    436.73772
 409.9511325  349.94991125  89.84064563 377.73647375 325.75143   ]"	"[ 924.    847.    987.25  962.5   954.25  852.5   770.    957.    924.
  893.75  871.75  915.75  973.5   937.75  915.75  866.25  907.5   990.
  962.5   888.25  852.5   825.    937.75  998.25  836.    968.   1036.75
  948.75  844.25  891.    926.75  929.5   935.    775.5   902.    899.25
 1006.5   891.    948.75  965.25  951.5   836.    814.   1014.75  907.5
  800.25 1009.25  880.    888.25  940.5  1023.    984.5   979.   1053.25
 1028.5  1034.    792.    893.75  959.75  910.25 1025.75  965.25  987.25
  976.25  888.25  995.5   951.5   976.25  841.5   976.25  995.5   990.
 1050.5  1017.5   965.25  880.    899.25  874.5   877.25  841.5   888.25
 1111.    913.    965.25  904.75 1001.    968.    830.5   962.5   915.75
 1031.25  841.5   965.25  899.25  987.25 1003.75  910.25  679.25  882.75
  984.5 ]"	"[464.26438 302.78104 366.27292 362.96974 389.76472 327.73923 366.27292
 388.63609 181.84273 356.34821 361.41683 279.61332 345.21749 449.80009
 432.61256 236.54082 425.55841 328.01703 432.58295 355.07917 422.0412
 281.24063 360.00585 338.55119 414.1051  162.42222 291.25789 427.41642
  70.51185  68.3343   34.2567  311.58089 326.622   427.21227 329.65497
 407.51698 360.91133 423.15238 326.83298  79.41114 457.61552 376.06325
 400.65639 398.71863 242.46331 251.62064  93.6993  343.20764 395.03749
 118.98919  77.01043 350.56844  75.33532 373.33463 159.94482 204.43893
  71.96383  54.73909 193.79319  88.87207 292.72351 204.19529 221.94983
 354.04315 252.93218 346.35144 349.65764 419.77331 279.61332 338.3531
 419.03403 183.04654  86.01898 431.19324 149.32414 338.88592 402.67303
 379.15162 426.22328 436.61703 282.21139 307.27962 338.55119 366.27292
 356.34821 408.7511  423.97968 236.54082 172.80609 338.3531   67.85458
 303.21368 261.94836  66.13244 436.73772 410.0915  356.34821  90.50012
 432.13438 325.75143]"
3PHASE_MODEL	11.06±5.83%	85.92±7.98%	96.98±4.71%	3.02±4.71%	0.40±1.06%	49.41±14.69	0	916.96±82.43	300.38±119.32	293.46±114.97	623.50±141.40	98.16±3.62%	32.24±12.96%	18.91±1.45	38.24±2.93%	77.08±3.00%	5.33±1.13	4732.49±408.91	"[4942.52432525 4733.73004569 5033.55356995 4145.56984769 4567.01703976
 3724.86380059 4131.61349456 4726.27332497 5225.784273   5155.76273493
 5360.54688175 4629.52274833 4748.83798175 4543.32623395 5373.0626625
 4645.26917475 4187.91152463 5163.20117405 4527.008295   4558.43432001
 4621.17515524 4030.18131654 4842.225585   4929.842619   4337.69509238
 5015.281894   5225.450789   4659.8916144  4352.42323884 5349.85359014
 4298.15393388 5150.09347045 5053.1208811  3989.99464375 4445.92755419
 4667.9505455  5048.35276646 5052.92128263 5036.55003817 5127.5852705
 4660.17709303 4028.08589475 4707.59207159 4953.3712845  4958.49187156
 4431.637064   4822.17356048 4292.13339475 4760.11085466 4825.31202534
 5205.401043   4419.85472172 5009.633532   4832.008463   4727.93301725
 5431.06496706 3462.746383   4727.01989563 5152.45612358 4638.19615439
 5340.1566686  4756.99338176 5138.044983   4948.47130078 4864.40198239
 5005.16990362 4510.75416781 4726.827331   4958.72749876 5159.17382496
 4427.89544473 5134.91341481 4939.05494488 4352.8946705  4811.68441035
 4309.3625705  5060.7790057  4018.89349601 4954.69667881 4472.94206275
 4118.69029779 4919.627962   4567.61625656 5139.6852595  4844.39151169
 4867.35830272 4959.84056975 4090.24105094 4948.3193072  4767.51011403
 5119.35113036 4250.80626044 4645.49073894 4502.99824494 5144.948772
 5330.07011325 4724.12656476 3624.31166701 4137.43378434 5250.900143  ]"	"[435.4932525  259.55045688 338.93199125 361.07347688 389.08410312
 320.37685312 357.8777175  384.76031125 181.84273    356.19907
 361.41683    277.458475   330.8436525  389.78971063 423.79007312
 228.87568375 335.36524625 324.79921562 432.58295    354.79767937
 357.99549937 274.3092675  360.00585    338.55119    412.95092375
 162.42222    291.25789    426.21219062  70.40027688  68.3343
  34.2567     310.58826688 324.50303375 406.6964375  329.65497
 406.42782875 359.65590313 420.21282625 301.30345375  79.41114
 449.04790625 375.6089475  366.22984687 398.71863    242.46331
 251.62064     93.6993     327.0839475  390.59111125 117.5193925
  77.01043    348.862745    75.33532    373.33463    159.94482
 204.40729188  71.96383     54.73909    193.79319     88.87207
 292.72351    203.56522625 221.94983    353.99609188 246.49119625
 346.35144    348.772605   419.77331    271.56334    338.1777275
 407.65078375 182.085735    86.01898    425.9053025  149.32414
 321.000705   394.71223063 359.56281625 424.21678813 427.3027075
 281.05173937 307.27962    336.9528     362.102595   348.66511687
 404.95022875 418.53284437 234.2632075  172.80609    321.90462875
  67.85458    302.43760438 259.62892125  66.13244    436.73772
 409.9511325  353.82047187  89.428985   383.23647375 325.75143   ]"	"[ 910.25  822.25  987.25  863.5   954.25  855.25  770.    924.    924.
  893.75  871.75  915.75  973.5   860.75  915.75  866.25  888.25  990.
  962.5   888.25  827.75  819.5   937.75  990.    836.    959.75 1036.75
  948.75  844.25  891.    869.    929.5   935.    706.75  902.    899.25
 1006.5   891.    918.5   965.25  951.5   794.75  833.25 1014.75  907.5
  764.5  1009.25  805.75  888.25  918.5  1023.    888.25  979.   1053.25
 1028.5  1034.    687.5   893.75  959.75  910.25 1025.75  965.25  987.25
  976.25  888.25 1017.5   946.    951.5   841.5   976.25  995.5   990.
 1050.5   973.5   935.    855.25  899.25  786.5   877.25  841.5   838.75
 1111.    913.    965.25  904.75 1001.    968.    825.    962.5   915.75
 1031.25  814.    965.25  877.25  987.25 1009.25  910.25  638.    797.5
  984.5 ]"	"[464.26438 302.78104 366.27292 362.96974 389.76472 327.73923 366.27292
 388.63609 181.84273 356.34821 361.41683 279.61332 345.21749 449.80009
 432.61256 236.54082 425.55841 328.01703 432.58295 355.07917 422.0412
 281.24063 360.00585 338.55119 414.1051  162.42222 291.25789 427.41642
  70.51185  68.3343   34.2567  311.58089 326.622   427.21227 329.65497
 407.51698 360.91133 423.15238 326.83298  79.41114 457.61552 376.06325
 400.65639 398.71863 242.46331 251.62064  93.6993  343.20764 395.03749
 118.98919  77.01043 350.56844  75.33532 373.33463 159.94482 204.43893
  71.96383  54.73909 193.79319  88.87207 292.72351 204.19529 221.94983
 354.04315 252.93218 346.35144 349.65764 419.77331 279.61332 338.3531
 419.03403 183.04654  86.01898 431.19324 149.32414 338.88592 402.67303
 379.15162 426.22328 436.61703 282.21139 307.27962 338.55119 366.27292
 356.34821 408.7511  423.97968 236.54082 172.80609 338.3531   67.85458
 303.21368 261.94836  66.13244 436.73772 410.0915  356.34821  90.50012
 432.13438 325.75143]"
