Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
1PHASE_MODEL	9.21±5.25%	42.13±18.53%	51.34±22.22%	48.65±22.21%	4.48±3.56%	57.32±29.42	0	943.52±401.66	284.89±127.98	238.29±149.23	705.23±318.08	83.16±33.36%	24.68±13.40%	15.12±3.35	30.57±6.77%	72.63±13.52%	4.73±1.91	5614.78±2461.07	"[6477.219372   6758.29633338 7589.633959   6581.792869    228.0915
 6885.66996243 6948.28159    6646.478882   6516.31023388 1133.675
 4714.6960541  6290.61085    6668.894983   7690.78784669 5706.26878114
 6263.119269   6307.9025222  7874.816743   6713.10836398 7827.28539051
 6498.58616943 6859.74101094 5509.373693   6134.98981146 1204.87865325
 7240.802784    346.93858522 7494.523895   6940.258883   6539.577693
 6693.44472881 6024.62732951 7108.12015121 7549.42491013 7403.4567585
  881.53952693 6734.398629   7308.09770703 7797.37187156 6493.570764
 6429.508089   6763.00859213 6390.51862981  979.77        258.7625
 7373.436499    559.35670277 6852.44357406 1441.04133743 7561.799151
 7112.50026465    0.         6325.38949209 6350.79986918 7724.29628925
 1565.297867   5105.4145704  7113.560678   7744.47317375 1226.04092466
 1744.88368354 6562.58658899 6948.61499233 2408.39617422 6519.56052263
 7448.295364   6645.249871   6497.3074575     0.         6936.20178955
 7556.44025943 7143.89810361 6592.40020058 8479.10217513  971.52407795
 6645.38263469  236.8008209  7015.42017325 7504.95706972 5867.923268
 6813.7078943  6587.48862788 5978.39494488 6483.29259419 1097.65899261
 6486.00810415 6556.02476166 7151.226104   7011.31646395 7124.54670431
 6545.24827306 5012.35884381 6729.53986609 7607.33654024 7658.788879
 6077.8077495  1202.93748111 6504.97371817    0.         7660.30306021]"	"[418.94372    374.71333375 453.08959    437.17869     16.5
 219.24096     78.3159     428.03882    115.35233875 101.75
 128.40238562 321.8585     221.94983    254.09498    310.5774375
 206.44269    384.61178625 257.16743    347.18662    426.51720375
  50.36193    240.4354025   50.36193    106.59472    150.9115325
 274.02784      6.21350938 333.23895     71.96383     76.52693
 447.63832875 354.9266     337.78788625 387.74910125 423.138625
  28.6279175   95.23629    302.3352725  242.46331    343.20764
 311.58089    446.58592125 237.81292875   0.          16.5
 185.61499     13.45246812 394.18574063 106.720305   241.74151
 332.36533      0.         117.17822    314.33075    153.57681
  37.22867    112.07318    289.85678    420.79872    141.82264437
  20.32128313 420.19489687 434.12219     25.3836175  433.88262312
 263.488765   349.74871    195.074575     0.         398.98248625
 390.34383    280.0808125  344.13359125 455.34991     11.39472437
  79.57812     11.57276125 412.74004375 230.31676937 390.85768
 418.10501313 280.38627875  86.01898    401.45028625  44.9547225
 204.19529    346.94895125 156.88604    429.66090125 344.47443
 370.18565375 408.71343812 197.71268    432.17049625 380.38879
 110.31687    111.87918625  39.87709      0.         218.4015    ]"	"[1146.75 1091.75 1256.75 1119.25   41.25 1086.25 1168.75 1163.25 1152.25
  228.25  761.75 1119.25 1133.   1289.75  929.5  1075.25 1042.25 1309.
 1130.25 1251.25 1023.   1097.25 1009.25 1009.25  253.   1166.     60.5
 1188.   1119.25 1080.75 1108.25 1072.5  1215.5  1193.5  1289.75  184.25
 1251.25 1212.75 1226.5  1036.75 1116.5  1116.5  1014.75  203.5    41.25
 1251.25  121.   1069.75  280.5  1223.75 1144.      0.   1116.5  1177.
 1265.    294.25  965.25 1138.5  1234.75  220.    302.5  1174.25 1218.25
  423.5  1141.25 1152.25 1097.25 1122.      0.   1061.5  1284.25 1201.75
 1157.75 1353.    198.   1064.25   46.75 1163.25 1185.25 1078.   1237.5
 1105.5  1069.75 1025.75  206.25 1152.25 1149.5  1111.   1141.25 1177.
 1119.25  896.5  1188.   1166.   1292.5  1056.    214.5  1116.5     0.
 1215.5 ]"	"[418.94372 424.96714 453.08959 437.17869 430.00539 219.24096  78.3159
 428.03882 117.30648 278.36477 128.41747 321.8585  221.94983 254.09498
 380.7903  206.44269 395.03749 257.16743 347.80947 427.41642  50.36193
 240.6751   50.36193 106.59472 423.87721 274.02784  54.73909 333.23895
  71.96383  76.52693 447.86389 354.9266  338.03508 388.29302 423.66546
 340.85021  95.23629 302.78104 242.46331 343.20764 311.58089 447.86389
 253.64111  39.87709 394.85078 185.61499 347.03149 414.23033 282.21139
 241.74151 332.36533 362.72155 117.17822 314.33075 153.57681 113.09557
 112.07318 289.85678 420.79872 334.51939  60.70331 421.19416 434.12219
  43.52409 436.61703 266.35893 349.74871 195.51916 311.58089 400.44688
 390.34383 280.31463 345.21749 455.34991 366.67063  79.57812 354.58659
 412.89981 230.36487 390.85768 419.58505 281.16701  86.01898 415.57375
 402.82708 204.19529 347.80947 156.88604 443.54064 344.47443 370.31914
 422.0412  197.71268 432.61256 380.38879 110.31687 223.54294  39.87709
 110.31687 218.4015 ]"
2PHASE_MODEL	9.08±4.36%	50.96±10.14%	60.03±11.75%	39.96±11.76%	4.58±2.75%	68.96±20.99	0	1124.37±215.01	284.89±127.98	274.44±132.20	849.92±201.91	95.82±17.26%	24.33±11.74%	15.71±1.67	31.77±3.37%	76.25±3.48%	5.32±1.18	6766.44±1335.58	"[7167.044372   6561.77597375 7658.258959   7973.642869   7655.70943161
 7260.11496243 7330.44409    7146.853882   6891.91023388 6201.86153888
 5880.3201135  7150.71085    6561.644983   7572.59734669 2630.80059651
 6922.944269   6763.17454263 8231.241743   6978.70836398 7588.57239051
 7042.28866943 6800.97851094 6667.823693   6364.05481146 6822.04508056
 7455.577784   6784.22912251 7485.898895    386.7        6827.927693
 6890.74972881 6567.12257951 6888.62111408 7549.42491013 7503.8032585
 7481.60669079 6989.173629   7210.09970703 8085.91437156 6394.258264
 6906.208089   6953.13836306 6579.82630721 6879.44035945 5958.86715875
 7691.236499   6914.18074418 6832.99357406 7133.27639605 7680.149151
  981.2267053  6832.972155   6442.52949209 6908.49983643 7526.63378925
 6981.897057   6146.9995704  7695.448178   7349.97317375 6969.73160937
 7000.27222174 6414.97908899 7305.59549233 6768.61022148 7174.85029974
 7816.88885586 6645.249871   6456.4824575  7161.13772428 7340.44878955
 7526.60525943 7538.83810361 6978.82520058 7699.13967513 7376.68843818
 7061.53263469 7387.81125083 7145.47517325 7405.59506972 5680.673268
 7191.68339799 6979.81733713 6574.37994488 6720.81759419 1311.06528791
 6801.90510415 7148.75926166 7151.776104   7130.33068449 7460.14670431
 6994.86327306 5911.50168031 6557.21886096 7706.70073461 7648.513879
 1544.23928513 7311.47803357 6831.17871817 6894.231687   7196.11208965]"	"[418.94372    379.2597375  453.08959    437.17869    430.00539
 219.24096     78.3159     428.03882    115.35233875 275.09632625
 128.14062812 321.8585     221.94983    254.09498    262.4679575
 206.44269    385.56384562 257.16743    347.18662    426.51720375
  50.36193    240.4354025   50.36193    106.59472    423.87721
 274.02784     54.73909    333.23895      0.          76.52693
 447.63832875 354.9266     337.28894313 387.74910125 423.138625
 340.85021     95.23629    302.3352725  242.46331    343.20764
 311.58089    445.13363062 243.94014625  39.87709    387.71115375
 185.61499    346.84207375 394.18574063 282.085205   241.74151
  88.33381625 362.72155    117.17822    314.1554225  153.57681
 113.09557    112.07318    289.85678    420.79872    333.83620187
  60.70331    420.19489687 434.12219     43.52409    435.98754125
 265.98862937 349.74871    195.074575   311.2406225  398.98248625
 390.34383    280.0808125  344.13359125 455.34991    366.67063
  79.57812    354.58659    412.74004375 230.31676937 390.85768
 419.58505    280.67337125  86.01898    401.45028625  35.6179775
 204.19529    346.94895125 156.88604    432.7687175  344.47443
 370.18565375 408.76680312 197.50262875 431.86244    380.38879
  20.20321125 223.54294     39.87709    110.31687    217.64179438]"	"[1248.5  1061.5  1270.5  1300.75 1232.   1141.25 1240.25 1259.5  1196.25
 1083.5   915.75 1226.5  1105.5  1270.5   445.5  1177.   1097.25 1344.75
 1174.25 1237.5  1094.5  1069.75 1144.   1014.75 1141.25 1218.25 1094.5
 1174.25   66.   1097.25 1135.75 1157.75 1212.75 1193.5  1284.25 1270.5
 1303.5  1190.75 1254.   1023.   1149.5  1113.75 1028.5  1152.25 1023.
 1273.25 1254.   1064.25 1207.25 1240.25  178.75 1133.   1144.   1210.
 1240.25 1149.5  1083.5  1218.25 1179.75 1182.5  1149.5  1141.25 1259.5
 1080.75 1215.5  1188.   1097.25 1130.25 1243.   1124.75 1281.5  1267.75
 1196.25 1248.5  1215.5  1111.   1215.5  1160.5  1174.25 1039.5  1251.25
 1182.5  1113.75 1056.    288.75 1196.25 1226.5  1105.5  1163.25 1212.75
 1144.   1003.75 1105.5  1182.5  1295.25  316.25 1240.25 1160.5  1111.
 1146.75]"	"[418.94372 424.96714 453.08959 437.17869 430.00539 219.24096  78.3159
 428.03882 117.30648 278.36477 128.41747 321.8585  221.94983 254.09498
 380.7903  206.44269 395.03749 257.16743 347.80947 427.41642  50.36193
 240.6751   50.36193 106.59472 423.87721 274.02784  54.73909 333.23895
  71.96383  76.52693 447.86389 354.9266  338.03508 388.29302 423.66546
 340.85021  95.23629 302.78104 242.46331 343.20764 311.58089 447.86389
 253.64111  39.87709 394.85078 185.61499 347.03149 414.23033 282.21139
 241.74151 332.36533 362.72155 117.17822 314.33075 153.57681 113.09557
 112.07318 289.85678 420.79872 334.51939  60.70331 421.19416 434.12219
  43.52409 436.61703 266.35893 349.74871 195.51916 311.58089 400.44688
 390.34383 280.31463 345.21749 455.34991 366.67063  79.57812 354.58659
 412.89981 230.36487 390.85768 419.58505 281.16701  86.01898 415.57375
 402.82708 204.19529 347.80947 156.88604 443.54064 344.47443 370.31914
 422.0412  197.71268 432.61256 380.38879 110.31687 223.54294  39.87709
 110.31687 218.4015 ]"
3PHASE_MODEL	15.14±4.36%	45.24±9.05%	60.38±11.41%	39.61±11.42%	7.58±3.82%	62.85±19.86	0	1051.27±196.84	284.89±127.98	274.06±132.68	777.21±191.37	95.77±17.11%	25.68±11.94%	14.66±1.31	29.64±2.65%	72.31±2.57%	5.60±1.11	6090.75±1203.09	"[6160.24100419 6471.50738875 6475.308959   6502.067869   6764.88360117
 6973.41496243 6932.64409    6061.06867388 5609.51023388 5655.85266344
 5681.9701135  5569.58247594 6074.669983   6787.96534669 5080.88069035
 6138.444269   6158.6505222  7732.066743   6387.50836398 6794.90437241
 6835.80866943 6303.86601094 5388.823693   5866.72231146 5536.28058181
 6467.952784    782.26358522 6394.423895   5651.808883   6130.952693
 6691.29972881  581.60766151 6094.12085558 6065.36123025 6701.6692845
 6293.00373249 6300.448629   6614.95490792 7103.20187156 5891.270764
 6025.283089   6152.77220694 6466.05880721 6679.85285945 5075.50703631
 7193.711499    881.60170277 5939.86857406 6023.22852765 6788.674151
 6784.20526465 6511.86547175 5839.23949209 5818.86344277 7130.07128925
 5793.034557    988.64008709 6439.198178   6953.72916369 6474.33377837
 6505.71722174 5936.7178558  6611.75549233 6170.92022148 5786.68942238
 7417.21885586 5457.17571494 5767.4824575  6467.73772428 6842.05639285
 7230.29025943 6756.34560361 6085.75520058 7491.33967513 6386.01077936
 6465.93263469 6296.84935433 6251.41517325 6710.54506972 5385.27115988
 6395.0828943  6291.36733713 5783.34494488 5732.31766694 6395.84936615
 6197.72960415 5739.31236002 6556.451104   6434.22406063 6865.64670431
 6297.40225876 4698.38153556 6454.15986609 7107.08904024 6464.463879
 5551.4927495  6478.90242814 6632.36671817 6410.694187   6896.75382215]"	"[418.91004187 371.0738875  453.08959    437.17869    429.78708563
 219.24096     78.3159     405.18673875 115.35233875 275.78626063
 128.14062812 315.32475937 221.94983    254.09498    326.3147925
 206.44269    384.61178625 257.16743    347.18662    425.9857275
  50.36193    240.4354025   50.36193    106.59472    420.4822225
 274.02784      6.21350938 333.23895     71.96383     76.52693
 447.63832875  22.65269188 336.59821188 387.6123025  423.0827
 340.31323125  95.23629    302.75238938 242.46331    343.20764
 311.58089    439.72206937 243.94014625  39.87709    376.72900625
 185.61499     13.45246812 394.18574063 281.0181     241.74151
 332.36533    362.6547175  117.17822    313.0061075  153.57681
 113.09557     35.35858625 289.85678    419.85861937 333.38289187
  60.70331    419.99823187 434.12219     43.52409    431.19662062
 265.98862937 348.00714938 195.074575   311.2406225  397.9025275
 390.34383    280.0808125  344.13359125 455.34991    365.56904188
  79.57812    354.217625   412.74004375 230.31676937 390.08659875
 418.10501313 280.67337125  86.01898    398.20101375 402.36361875
 204.19529    345.87117563 156.88604    431.17031437 344.47443
 369.91659625 405.69035562 197.71268    432.17049625 380.38879
 110.31687    223.53497375  39.87709    110.31687    217.18411938]"	"[1116.5  1056.   1100.   1116.5  1122.   1108.25 1215.5  1094.5  1020.25
 1036.75  899.25 1025.75 1075.25 1215.5   866.25 1122.   1031.25 1336.5
 1086.25 1166.   1053.25 1020.25 1014.75  979.    976.25 1094.5   154.
 1089.    937.75 1067.   1130.25  132.   1127.5  1034.   1188.   1111.
 1190.75 1135.75 1141.25  954.25 1058.75 1012.   1069.75 1141.25  943.25
 1248.5   200.75  995.5  1075.25 1155.   1122.   1144.   1078.   1089.
 1207.25 1025.75  214.5  1058.75 1141.25 1105.5  1091.75 1124.75 1182.5
 1056.   1020.25 1174.25  976.25 1020.25 1177.   1105.5  1245.75 1171.5
 1111.   1232.   1124.75 1067.   1111.   1050.5  1122.    987.25 1196.25
 1067.   1009.25  932.25 1113.75 1122.    990.   1053.25 1089.   1157.75
 1072.5   836.   1113.75 1163.25 1135.75 1034.   1135.75 1146.75 1042.25
 1138.5 ]"	"[418.94372 424.96714 453.08959 437.17869 430.00539 219.24096  78.3159
 428.03882 117.30648 278.36477 128.41747 321.8585  221.94983 254.09498
 380.7903  206.44269 395.03749 257.16743 347.80947 427.41642  50.36193
 240.6751   50.36193 106.59472 423.87721 274.02784  54.73909 333.23895
  71.96383  76.52693 447.86389 354.9266  338.03508 388.29302 423.66546
 340.85021  95.23629 302.78104 242.46331 343.20764 311.58089 447.86389
 253.64111  39.87709 394.85078 185.61499 347.03149 414.23033 282.21139
 241.74151 332.36533 362.72155 117.17822 314.33075 153.57681 113.09557
 112.07318 289.85678 420.79872 334.51939  60.70331 421.19416 434.12219
  43.52409 436.61703 266.35893 349.74871 195.51916 311.58089 400.44688
 390.34383 280.31463 345.21749 455.34991 366.67063  79.57812 354.58659
 412.89981 230.36487 390.85768 419.58505 281.16701  86.01898 415.57375
 402.82708 204.19529 347.80947 156.88604 443.54064 344.47443 370.31914
 422.0412  197.71268 432.61256 380.38879 110.31687 223.54294  39.87709
 110.31687 218.4015 ]"
