Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
1PHASE_MODEL	8.74±3.48%	64.76±5.18%	73.50±4.65%	26.50±4.65%	1.74±1.63%	69.16±14.38	0	1133.63±78.69	297.84±126.64	296.59±125.90	837.04±135.36	99.65±1.13%	26.15±11.15%	17.16±1.02	34.70±2.06%	77.26±2.20%	5.55±0.86	6420.34±495.61	"[5936.6117775  7292.62636209 6189.066793   6038.27898079 6308.70362564
 5343.6312805  5506.87511415 6214.42118553 5774.13038427 5217.81366488
 6510.93924175 6519.816683   6247.06993    6615.82631313 6257.88406428
 6790.166793   6156.055966   7221.96766359 6569.87252197 6515.94150883
 5449.343638   6725.09005684 6504.84779013 6705.78157403 6709.79719488
 5971.57454098 6206.05179088 6171.0100539  6939.41233139 7026.48821866
 6353.254026   7107.326927   6961.85978181 7189.14880349 7016.20325834
 7054.19540903 7537.37511229 6705.9590181  6897.42696713 5801.14866194
 6215.48891282 6517.181066   6749.36419138 6057.15118795 6186.83209425
 5913.87889419 6142.60128657 6262.29519143 5839.43793243 5967.89486314
 6910.1200375  5968.0876576  6561.427674   5856.90522648 6341.739737
 7183.82077926 6133.7260542  6748.75356928 7786.13882065 6556.84823431
 6187.22766128 5559.87014694 6949.20713931 6327.19931786 6750.78445459
 6514.21986589 6829.76039528 6727.8819475  6601.76258769 5835.1178355
 6175.03503235 6294.95243713 6061.62671456 5359.14884696 6084.95395395
 5333.225578   6379.49710735 6212.26069075 6299.86094106 6463.44807738
 6945.69066    6179.589394   6666.090238   6927.73561569 6473.28941326
 6268.39295002 6595.749564   6228.012064   6305.04404198 6388.78412544
 6900.188775   7100.36443389 6164.46421355 6420.51575613 6515.05801675
 6398.666928   7408.099164   5809.62887616 6413.825544   6816.97061894]"	"[119.992775   328.01703    390.66793    430.86454063 434.42649
 418.410855   182.16997125 418.40379813 330.33924875 265.30026875
 311.58089    361.41683     93.6993     441.67487313 406.56410562
 390.66793    482.55966    356.917145   302.32407688 241.51376375
 143.93638    252.81513875 455.06736437 419.11628188 181.18848
 115.87198    413.76790875 482.44149875 279.61332    446.13181687
 193.04026    374.01927    345.0541275  430.83582875 172.80609
 191.74618    118.98919    388.14572875 301.76967125  73.99945
 281.39593562 334.31066    424.61649    373.6094      64.2873
 212.70823    390.40304188 241.51376375 408.07690188 160.31081125
  95.55279    421.54642938 418.77674    112.07318    363.14737
  96.13191    418.28211875 214.28237    338.03508     34.2567
 392.63331125 369.58426125 353.19305    231.39481    330.5709225
 391.85762375 238.13909    132.70356    389.90319812 152.178355
  32.58463    225.77437125 334.06499875 355.22370688 408.989235
  44.25578     31.36113    404.04        40.07976    220.31038
 311.1566     411.39394    423.15238    280.30098    310.83731375
 341.0031425  251.62064    251.62064    423.2018025  297.35114
 234.88775    418.77674     88.87207    362.96974    373.33463
 405.91928    456.99164    448.55333125 443.75544    153.48402375]"	"[ 987.25 1210.   1100.   1086.25 1168.75  973.5   959.75 1023.   1056.
 1012.   1124.75 1163.25 1023.   1094.5  1061.5  1089.   1122.   1185.25
 1042.25 1182.5  1050.5  1234.75 1174.25 1177.   1138.5  1166.   1053.25
 1218.25 1232.   1199.   1160.5  1300.75 1179.75 1229.25 1232.   1155.
 1254.   1152.25 1127.5  1105.5  1155.   1111.   1201.75 1149.5  1146.75
 1067.   1058.75 1177.   1003.75 1045.   1157.75 1064.25 1204.5  1086.25
 1245.75 1177.   1094.5  1234.75 1331.   1141.25 1168.75  998.25 1234.75
 1089.   1177.   1166.   1155.   1102.75 1146.75 1133.   1089.    976.25
 1078.    946.   1069.75 1012.   1020.25 1146.75 1124.75 1199.   1116.5
 1215.5  1262.25 1199.   1185.25 1122.   1168.75 1171.5  1196.25 1190.75
 1133.   1245.75 1042.25 1135.75 1190.75 1119.25 1276.   1072.5  1105.5
 1124.75]"	"[120.66354 328.01703 390.66793 432.58295 435.28875 420.79872 182.89548
 418.54298 330.94222 266.35893 311.58089 361.41683  93.6993  449.80009
 437.22043 390.66793 482.63746 357.3372  326.83298 241.74151 144.84528
 253.64111 456.45652 419.21618 181.18848 115.87198 414.50964 482.63746
 279.61332 447.86389 193.04026 374.01927 345.65848 431.27291 172.80609
 191.74618 118.98919 388.63609 302.78104  73.99945 282.21139 334.31066
 424.61649 373.88112  64.2873  212.70823 393.17261 241.74151 410.50437
 160.70838  95.55279 424.13755 418.77674 112.07318 363.14737  96.13191
 419.77331 214.53744 338.03508  34.2567  392.74303 370.31914 353.19305
 231.39481 331.05151 392.63526 238.32979 132.70356 391.1886  153.57681
  32.58463 226.03172 340.42137 372.45801 409.11921  44.25578  31.36113
 404.04     40.07976 220.31038 311.1566  411.39394 423.15238 280.30098
 311.58089 341.72305 251.62064 251.62064 423.97968 297.35114 234.88775
 418.77674  88.87207 362.96974 373.33463 405.91928 456.99164 450.45665
 443.75544 153.57681]"
2PHASE_MODEL	8.78±4.44%	65.06±4.59%	73.83±5.49%	26.17±5.49%	1.72±1.65%	69.16±14.43	0	1134.27±75.76	297.84±126.64	296.57±125.83	837.70±137.70	99.65±1.09%	26.17±11.19%	17.13±1.35	34.65±2.74%	77.34±2.39%	5.71±0.88	6450.34±443.39	"[5995.7867775  7017.35041859 6387.141793   6038.27898079 6606.50362564
 5588.78400875 5595.52211415 6312.63368553 5939.17488427 5961.29616488
 6491.07674175 6413.666683   6247.61993    6537.81730426 6178.29656428
 6790.166793   6214.955966   7132.98516359 6569.87252197 6516.51350883
 5831.093638   6734.98005684 6695.32514713 6518.20157403 6690.07219488
 6357.44954098 6473.02679088 6343.31060979 7126.93733139 6937.58821866
 6167.104026   7107.601927   6941.69478181 7179.51730349 6927.92475834
 6876.16990903 7537.65011229 6706.5090181  6562.37696713 5929.77366194
 6293.83891282 6614.981066   6747.43919138 5721.63335995 6463.11959425
 5794.47289419 6151.96878657 6263.69769143 5810.53793243 5967.89486314
 6949.4325375  6155.8876576  6463.352674   6013.88022648 6038.614737
 7205.06927926 6301.5810542  6759.35856928 7698.33882065 6478.77323431
 6277.98666128 6055.6850012  7049.20713931 6327.19931786 6651.63695459
 6414.76986589 6743.71296728 6866.4244475  6523.13758769 5993.1928355
 6254.65003235 6303.57743713 6051.76421456 5156.65746277 6066.63774545
 5531.575578   6291.54310735 6225.69819075 6556.80844106 6413.36557738
 6857.61566    6150.689394   6656.090238   7055.71161569 6459.69241326
 6180.80195002 6595.749564   6338.287064   6385.59404198 6577.40912544
 6900.188775   7200.08471095 6262.26421355 6398.44775613 6613.95801675
 6298.391928   7348.374164   5890.45387616 6553.275544   6482.19561894]"	"[119.992775   327.957595   390.66793    430.86454063 434.42649
 418.3381375  182.16997125 418.40379813 330.33924875 265.30026875
 311.58089    361.41683     93.6993     437.38478438 406.56410562
 390.66793    482.55966    356.917145   302.32407688 241.51376375
 143.93638    252.81513875 452.96593438 419.11628188 181.18848
 115.87198    413.76790875 481.86722375 279.61332    446.13181687
 193.04026    374.01927    345.0541275  430.83582875 172.80609
 191.74618    118.98919    388.14572875 301.76967125  73.99945
 281.39593562 334.31066    424.61649    373.88112     64.2873
 212.70823    390.40304188 241.51376375 408.07690188 160.31081125
  95.55279    421.54642938 418.77674    112.07318    363.14737
  96.13191    418.28211875 214.28237    338.03508     34.2567
 392.63331125 369.75280375 353.19305    231.39481    330.5709225
 391.85762375 237.78981    132.70356    389.90319812 152.178355
  32.58463    225.77437125 334.06499875 360.93312938 408.50215
  44.25578     31.36113    404.04        40.07976    220.31038
 311.1566     411.39394    423.15238    280.30098    310.83731375
 341.0031425  251.62064    251.62064    423.2018025  297.35114
 234.88775    417.90451062  88.87207    362.96974    373.33463
 405.91928    456.99164    448.55333125 443.75544    153.48402375]"	"[1001.   1160.5  1119.25 1086.25 1190.75 1025.75  976.25 1050.5  1111.
 1119.25 1122.   1124.75 1017.5  1069.75 1053.25 1089.   1133.   1166.
 1042.25 1179.75 1133.   1237.5  1171.5  1133.   1135.75 1207.25 1083.5
 1188.   1256.75 1188.   1122.   1298.   1182.5  1223.75 1212.75 1130.25
 1251.25 1146.75 1078.   1127.5  1171.5  1133.   1221.   1100.   1188.
 1056.   1069.75 1157.75  992.75 1045.   1166.   1086.25 1185.25 1116.5
 1177.   1168.75 1116.5  1226.5  1309.   1122.   1168.75 1047.75 1234.75
 1089.   1160.5  1160.5  1113.75 1122.   1133.   1152.25 1094.5   990.
 1075.25  871.75 1056.   1028.5   995.5  1113.75 1163.25 1199.   1097.25
 1204.5  1262.25 1221.   1232.   1097.25 1168.75 1168.75 1190.75 1204.5
 1133.   1256.75 1064.25 1157.75 1201.75 1122.   1273.25 1064.25 1111.
 1072.5 ]"	"[120.66354 328.01703 390.66793 432.58295 435.28875 420.79872 182.89548
 418.54298 330.94222 266.35893 311.58089 361.41683  93.6993  449.80009
 437.22043 390.66793 482.63746 357.3372  326.83298 241.74151 144.84528
 253.64111 456.45652 419.21618 181.18848 115.87198 414.50964 482.63746
 279.61332 447.86389 193.04026 374.01927 345.65848 431.27291 172.80609
 191.74618 118.98919 388.63609 302.78104  73.99945 282.21139 334.31066
 424.61649 373.88112  64.2873  212.70823 393.17261 241.74151 410.50437
 160.70838  95.55279 424.13755 418.77674 112.07318 363.14737  96.13191
 419.77331 214.53744 338.03508  34.2567  392.74303 370.31914 353.19305
 231.39481 331.05151 392.63526 238.32979 132.70356 391.1886  153.57681
  32.58463 226.03172 340.42137 372.45801 409.11921  44.25578  31.36113
 404.04     40.07976 220.31038 311.1566  411.39394 423.15238 280.30098
 311.58089 341.72305 251.62064 251.62064 423.97968 297.35114 234.88775
 418.77674  88.87207 362.96974 373.33463 405.91928 456.99164 450.45665
 443.75544 153.57681]"
3PHASE_MODEL	15.91±4.37%	57.36±7.40%	73.27±8.02%	26.73±8.02%	4.13±3.27%	61.78±15.71	0	1047.28±118.22	297.84±126.64	292.50±126.92	754.78±161.55	98.71±8.53%	28.11±12.23%	15.94±1.26	32.23±2.56%	73.02±2.52%	6.07±0.99	5759.62±720.70	"[5797.7117775  6918.67636209 6178.791793   5051.47176779 1214.07969429
 4702.47517515 4407.13336796 5422.25868553 5345.08738427 5265.14397319
 5893.66174175 5227.966683   5850.64493    5842.94241913 5388.59331553
 5893.191793   5521.005966   6537.46766359 5776.19752197 5429.4002557
 5026.768638   6341.85505684 5410.04535225 5723.94907403 6193.92219488
 5577.07454098 5882.725964   5454.41945527 6240.96233139 6147.60403171
 5673.154026   6614.476927   6540.62228181 6385.95981799 6037.82475834
 6173.25390903 7239.87761229 6110.0840181  6264.02696713 5229.94866194
 5419.23891282 6107.731066   6648.25129325 5118.53618795 5968.20709425
 5403.64239419 5853.91713507 5573.34602311 4819.88844939 4581.17736314
 6267.2700375  5169.39456334 5476.552674   5526.19022648 5167.964737
 6806.43327926 5425.8810542  6164.63856928 6908.91249815 6180.69823431
 5292.45093194 5066.47333994 6544.98213931 5337.90677711 6353.11878764
 5822.63486589 6543.49296728 6370.9619475  5534.84482488 4998.0428355
 5670.69453234 5908.25243713 4766.031959   5068.55898152 5176.52227645
 5253.500578   6092.24710735 5632.02069569 6062.52844106 5248.82057738
 6461.60316    5668.96798975 5856.265238   6658.95463698 6063.91298301
 5684.17576037 5706.14773406 5743.512064   5882.93654197 5787.17162544
 6307.338775   6307.3421767  5567.48921355 6200.76875613 6316.15801675
 5700.96581675 6756.04572106 5605.10551454 6039.325544   6383.02061894]"	"[119.992775   328.01703    390.66793    429.08061063  62.73344313
 408.371415   182.69434563 418.40379813 330.33924875 265.256435
 311.58089    361.41683     93.6993     439.13593313 418.78161812
 390.66793    482.55966    356.917145   302.32407688 240.10715313
 143.93638    252.81513875 453.04298562 419.11628188 181.18848
 115.87198    414.50964    480.40976313 279.61332    438.31494625
 193.04026    374.01927    345.0541275  430.25097375 172.80609
 191.74618    118.98919    388.14572875 301.76967125  73.99945
 281.39593562 334.31066    424.48750875 373.6094      64.2873
 212.70823    388.89069438 240.92208063 407.23427875 160.31081125
  95.55279    416.78927    418.77674    112.07318    363.14737
  96.13191    418.28211875 214.28237    337.621855    34.2567
 390.4618175  367.6816925  353.19305    230.3944025  330.1730225
 391.85762375 237.78981    132.70356    386.62775375 152.178355
  32.58463    225.77437125 330.99244312 360.69831688 408.34746
  44.25578     31.36113    404.01504937  40.07976    220.31038
 311.1566     408.9298975  423.15238    280.1302075  311.46301125
 339.9740375  251.10234062 251.62064    423.2018025  297.35114
 234.88775    418.42916812  88.87207    362.96974    373.33463
 404.1581675  456.70721062 447.769715   443.75544    153.48402375]"	"[ 979.   1149.5  1102.75  935.    236.5   863.5   858.    924.   1042.25
 1061.5  1069.75  981.75  987.25 1020.25  965.25 1058.75 1072.5  1094.5
  979.   1006.5   976.25 1168.75  984.5  1034.   1089.   1111.    987.25
 1072.5  1116.5  1075.25 1061.5  1229.25 1174.25 1144.   1100.   1047.75
 1221.   1111.   1061.5  1023.   1017.5  1100.   1212.75 1023.   1130.25
 1069.75 1034.   1058.75  902.    792.   1069.75  937.75 1053.25 1094.5
 1083.5  1155.    973.5  1135.75 1199.   1094.5   995.5   913.   1177.
  981.75 1141.25 1080.75 1116.5  1061.5   979.    995.5  1031.25  943.25
  924.    852.5   954.25 1009.25  990.   1050.5  1094.5  1025.75 1056.
 1119.25 1160.5  1179.75 1190.75 1058.75 1067.   1116.5  1116.5  1100.
 1061.5  1127.5  1012.   1133.   1177.   1094.5  1196.25 1017.5  1050.5
 1064.25]"	"[120.66354 328.01703 390.66793 432.58295 435.28875 420.79872 182.89548
 418.54298 330.94222 266.35893 311.58089 361.41683  93.6993  449.80009
 437.22043 390.66793 482.63746 357.3372  326.83298 241.74151 144.84528
 253.64111 456.45652 419.21618 181.18848 115.87198 414.50964 482.63746
 279.61332 447.86389 193.04026 374.01927 345.65848 431.27291 172.80609
 191.74618 118.98919 388.63609 302.78104  73.99945 282.21139 334.31066
 424.61649 373.88112  64.2873  212.70823 393.17261 241.74151 410.50437
 160.70838  95.55279 424.13755 418.77674 112.07318 363.14737  96.13191
 419.77331 214.53744 338.03508  34.2567  392.74303 370.31914 353.19305
 231.39481 331.05151 392.63526 238.32979 132.70356 391.1886  153.57681
  32.58463 226.03172 340.42137 372.45801 409.11921  44.25578  31.36113
 404.04     40.07976 220.31038 311.1566  411.39394 423.15238 280.30098
 311.58089 341.72305 251.62064 251.62064 423.97968 297.35114 234.88775
 418.77674  88.87207 362.96974 373.33463 405.91928 456.99164 450.45665
 443.75544 153.57681]"
