Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
PS2C	15.85±2.35%	29.48±3.22%	45.33±3.32%	54.67±3.32%	29.00±3.42%	72.40±14.93	0	1167.22±61.73	287.09±124.27	280.54±120.08	886.68±119.80	98.11±1.78%	23.96±10.15%	17.22±1.04	34.83±2.11%	74.72±1.10%	35.73±2.74	5029.50±519.14	"[4790.88729705 4996.53447918 4800.58601025 6073.93127633 5215.68872165
 4415.04658836 4801.15683496 5187.2844209  5983.63202308 4814.92890872
 4387.32046508 5650.67011336 3917.62516996 6077.781605   5126.18471877
 4641.67133816 4319.83297811 4281.9802841  4976.9517903  5251.67045894
 4924.72180052 4852.03029329 5350.59106821 5935.20466027 5077.02308742
 4906.79228972 3854.37455895 5021.68515497 5243.85165482 4572.97275488
 5566.30681439 4885.48225353 4687.32066462 3816.93641811 5365.86070814
 4885.5839735  5301.31655104 5374.01056853 4719.07217036 5212.94522246
 4912.09754081 5473.15506542 6141.64025874 5116.16639583 5490.13840082
 5403.24915561 6006.23959055 5187.09610333 4687.08905023 4851.21750132
 5323.86792599 5295.25336387 5960.62211446 5867.35332196 5155.87552113
 4592.1811821  4385.55484373 4818.9782486  5574.95424244 4632.65987493
 5235.20976165 4895.80087946 4673.47267541 4091.47585288 5164.75427023
 5482.60128636 5004.77236864 5377.26227666 4761.38695129 4741.90554956
 4827.93382843 5799.18530663 4370.34328177 5826.06110214 5121.32807514
 3608.06234962 4958.54925983 5660.9542353  4659.82406161 4820.64532137
 4464.60775005 4893.0064734  4767.6037312  5652.33729255 4632.21045216
 4991.08367808 4923.1569715  4762.4082617  4567.0290657  4771.07219913
 5226.23265309 4702.07166184 4980.22684223 5504.15309894 4620.2124948
 5110.32827912 5006.9411957  6189.15498678 5134.60995721 4829.6735009 ]"	"[378.44559573 319.24479183  64.39055352 385.85321278 196.0807111
 365.93273696 154.33426148  78.34878601 379.82494863 191.95990701
 436.57396277 267.64218899 403.35248936 174.07012682 222.99718774
 162.06602031 242.19651204 403.44967453 431.61535053 418.30749689
 367.01798984 344.20272926 326.95444509 164.47820463 410.60393054
 356.21951711 340.51491223 128.45881058 203.15293436 338.03646276
 375.36814394 244.17758781 418.10752241 237.80503824 381.07219139
 247.33228588 212.55053129 367.55534107  57.72170357 346.81206766
 325.69758519 464.10065424 404.60490218 415.68367923 347.82127246
 254.83730517 234.44590548 392.11526082 221.53814706 344.72501315
  62.00024447 367.99988142 429.50972142 432.28032746  75.25521135
 221.81182103 345.88009095 263.74456887 474.39242439 230.54874928
  33.60209496 344.74968541  40.41638966 402.67093958 321.97350633
 409.30694279 107.20385346 119.7910881  274.4137011  340.5355507
 359.94753777 349.45893414  14.93846487 248.49351828 430.556363
 185.17960397 161.29259827 214.15237391 330.80351181 337.74763422
  94.21600961  98.16221455  80.75246921 280.43016438 385.28006669
 293.64219896 446.06423372 339.582617    43.890657   275.07199127
 305.98105237 381.21661839  70.59532892 352.24318973 336.66896117
 418.34215832 112.76520923 338.91004521 278.94214301 239.72026042]"	"[1125.60957302 1153.9        1058.53045099 1249.6        1227.03259345
 1208.75683252 1224.3        1054.27708693 1250.29567485 1144.55
 1113.2163201  1230.9        1092.53556282 1256.2        1261.15
 1140.97953867 1152.12304875 1183.6        1181.68360433 1211.65
 1175.9        1079.1        1178.65       1223.75       1218.19152827
 1212.11690047 1096.76932272 1108.68687423 1174.25       1098.87652538
 1312.3        1139.05       1103.93884547 1068.44085711 1280.18307071
 1115.24883632 1156.65       1245.75       1067.         1218.25
 1107.96739587 1232.55       1150.6        1247.95       1155.67724339
 1168.2        1172.05       1208.9        1138.30135949 1232.55
 1138.5        1185.79975399 1206.15       1265.55       1116.5
 1100.         1156.97648668 1172.05       1224.85       1203.95
 1236.2995401  1094.5        1137.4        1025.2        1089.65921058
 1170.95       1108.8        1242.96315447 1137.95       1067.90497698
 1152.8        1301.75419138 1100.55       1225.4        1197.9
 1044.7125274  1075.8        1197.9        1068.65       1146.75
 1163.8        1093.95       1206.15       1208.9        1184.55188773
 1203.4        1162.15       1215.5        1073.6        1164.35
 1147.16231476 1160.5        1216.05       1211.1        1171.17905746
 1170.54127827 1201.75       1256.75       1164.35       1142.98525142]"	"[400.70933723 329.58364312  64.39055352 386.71618464 196.19240768
 381.22265135 154.33426148  80.24728917 382.34110207 195.42928673
 451.6292115  268.6058842  418.34883999 174.25063949 225.42520428
 162.06602031 247.08163701 416.37424487 452.0542213  431.09326884
 368.5703447  350.74506201 335.94167808 167.18936781 417.99782298
 368.5703447  357.21958048 130.57363255 205.91762371 348.25932961
 375.36814394 248.30317099 430.80675995 253.04432933 398.36486896
 254.68627062 215.90715995 368.59285163  57.72170357 347.6241514
 336.53969711 471.94074775 418.34883999 419.58587843 358.0666836
 256.23683812 238.02050786 397.80434698 235.07012796 347.59328019
  62.00024447 383.9942519  433.62122429 439.2102176   75.25521135
 230.66912607 359.34646073 264.16001292 493.53362221 231.56384398
  33.60209496 347.6241514   40.41638966 431.96138713 328.48902876
 413.54257395 107.20385346 119.99199551 274.84992634 351.08725626
 365.77335966 356.14514171  14.93846487 248.49351828 439.71439671
 193.36646395 161.29259827 217.82781738 343.28887747 345.78624576
  94.48919031  98.16221455  80.75246921 283.20727433 419.92109333
 294.12302676 458.79209268 343.39074334  43.890657   280.52536587
 314.38906403 389.55530922  70.59532892 352.87337981 348.41451611
 435.12781269 112.7784329  345.41288022 282.38649704 253.04432933]"
PS2C_MIN	15.85±2.35%	29.48±3.22%	45.33±3.32%	54.67±3.32%	29.00±3.42%	72.40±14.93	0	1167.22±61.73	287.09±124.27	280.54±120.08	886.68±119.80	98.11±1.78%	23.96±10.15%	17.22±1.04	34.83±2.11%	74.71±1.10%	35.75±2.75	5029.50±519.14	"[4790.88729705 4996.53447918 4800.58601025 6073.93127633 5215.68872165
 4415.04658836 4801.15683496 5187.2844209  5983.63202308 4814.92890872
 4387.32046508 5650.67011336 3917.62516996 6077.781605   5126.18471877
 4641.67133816 4319.83297811 4281.9802841  4976.9517903  5251.67045894
 4924.72180052 4852.03029329 5350.59106821 5935.20466027 5077.02308742
 4906.79228972 3854.37455895 5021.68515497 5243.85165482 4572.97275488
 5566.30681439 4885.48225353 4687.32066462 3816.93641811 5365.86070814
 4885.5839735  5301.31655104 5374.01056853 4719.07217036 5212.94522246
 4912.09754081 5473.15506542 6141.64025874 5116.16639583 5490.13840082
 5403.24915561 6006.23959055 5187.09610333 4687.08905023 4851.21750132
 5323.86792599 5295.25336387 5960.62211446 5867.35332196 5155.87552113
 4592.1811821  4385.55484373 4818.9782486  5574.95424244 4632.65987493
 5235.20976165 4895.80087946 4673.47267541 4091.47585288 5164.75427023
 5482.60128636 5004.77236864 5377.26227666 4761.38695129 4741.90554956
 4827.93382843 5799.18530663 4370.34328177 5826.06110214 5121.32807514
 3608.06234962 4958.54925983 5660.9542353  4659.82406161 4820.64532137
 4464.60775005 4893.0064734  4767.6037312  5652.33729255 4632.21045216
 4991.08367808 4923.1569715  4762.4082617  4567.0290657  4771.07219913
 5226.23265309 4702.07166184 4980.22684223 5504.15309894 4620.2124948
 5110.32827912 5006.9411957  6189.15498678 5134.60995721 4829.6735009 ]"	"[378.44559573 319.24479183  64.39055352 385.85321278 196.0807111
 365.93273696 154.33426148  78.34878601 379.82494863 191.95990701
 436.57396277 267.64218899 403.35248936 174.07012682 222.99718774
 162.06602031 242.19651204 403.44967453 431.61535053 418.30749689
 367.01798984 344.20272926 326.95444509 164.47820463 410.60393054
 356.21951711 340.51491223 128.45881058 203.15293436 338.03646276
 375.36814394 244.17758781 418.10752241 237.80503824 381.07219139
 247.33228588 212.55053129 367.55534107  57.72170357 346.81206766
 325.69758519 464.10065424 404.60490218 415.68367923 347.82127246
 254.83730517 234.44590548 392.11526082 221.53814706 344.72501315
  62.00024447 367.99988142 429.50972142 432.28032746  75.25521135
 221.81182103 345.88009095 263.74456887 474.39242439 230.54874928
  33.60209496 344.74968541  40.41638966 402.67093958 321.97350633
 409.30694279 107.20385346 119.7910881  274.4137011  340.5355507
 359.94753777 349.45893414  14.93846487 248.49351828 430.556363
 185.17960397 161.29259827 214.15237391 330.80351181 337.74763422
  94.21600961  98.16221455  80.75246921 280.43016438 385.28006669
 293.64219896 446.06423372 339.582617    43.890657   275.07199127
 305.98105237 381.21661839  70.59532892 352.24318973 336.66896117
 418.34215832 112.76520923 338.91004521 278.94214301 239.72026042]"	"[1125.60957302 1153.9        1058.53045099 1249.6        1227.03259345
 1208.75683252 1224.3        1054.27708693 1250.29567485 1144.55
 1113.2163201  1230.9        1092.53556282 1256.2        1261.15
 1140.97953867 1152.12304875 1183.6        1181.68360433 1211.65
 1175.9        1079.1        1178.65       1223.75       1218.19152827
 1212.11690047 1096.76932272 1108.68687423 1174.25       1098.87652538
 1312.3        1139.05       1103.93884547 1068.44085711 1280.18307071
 1115.24883632 1156.65       1245.75       1067.         1218.25
 1107.96739587 1232.55       1150.6        1247.95       1155.67724339
 1168.2        1172.05       1208.9        1138.30135949 1232.55
 1138.5        1185.79975399 1206.15       1265.55       1116.5
 1100.         1156.97648668 1172.05       1224.85       1203.95
 1236.2995401  1094.5        1137.4        1025.2        1089.65921058
 1170.95       1108.8        1242.96315447 1137.95       1067.90497698
 1152.8        1301.75419138 1100.55       1225.4        1197.9
 1044.7125274  1075.8        1197.9        1068.65       1146.75
 1163.8        1093.95       1206.15       1208.9        1184.55188773
 1203.4        1162.15       1215.5        1073.6        1164.35
 1147.16231476 1160.5        1216.05       1211.1        1171.17905746
 1170.54127827 1201.75       1256.75       1164.35       1142.98525142]"	"[400.70933723 329.58364312  64.39055352 386.71618464 196.19240768
 381.22265135 154.33426148  80.24728917 382.34110207 195.42928673
 451.6292115  268.6058842  418.34883999 174.25063949 225.42520428
 162.06602031 247.08163701 416.37424487 452.0542213  431.09326884
 368.5703447  350.74506201 335.94167808 167.18936781 417.99782298
 368.5703447  357.21958048 130.57363255 205.91762371 348.25932961
 375.36814394 248.30317099 430.80675995 253.04432933 398.36486896
 254.68627062 215.90715995 368.59285163  57.72170357 347.6241514
 336.53969711 471.94074775 418.34883999 419.58587843 358.0666836
 256.23683812 238.02050786 397.80434698 235.07012796 347.59328019
  62.00024447 383.9942519  433.62122429 439.2102176   75.25521135
 230.66912607 359.34646073 264.16001292 493.53362221 231.56384398
  33.60209496 347.6241514   40.41638966 431.96138713 328.48902876
 413.54257395 107.20385346 119.99199551 274.84992634 351.08725626
 365.77335966 356.14514171  14.93846487 248.49351828 439.71439671
 193.36646395 161.29259827 217.82781738 343.28887747 345.78624576
  94.48919031  98.16221455  80.75246921 283.20727433 419.92109333
 294.12302676 458.79209268 343.39074334  43.890657   280.52536587
 314.38906403 389.55530922  70.59532892 352.87337981 348.41451611
 435.12781269 112.7784329  345.41288022 282.38649704 253.04432933]"
PS2C_NEW	15.57±2.35%	29.75±3.24%	45.33±3.32%	54.67±3.32%	29.00±3.42%	72.33±14.96	0	1166.61±61.48	287.09±124.27	280.81±120.31	885.80±119.67	98.17±1.64%	23.99±10.18%	17.21±1.05	34.81±2.12%	74.70±1.12%	35.73±2.74	5070.57±523.12	"[4890.88729705 4996.53447918 4899.90405535 6274.22387633 5315.521981
 4716.07727161 4801.15683496 5287.76113537 6084.45169554 4814.92890872
 4387.32046508 5650.67011336 3917.62516996 6077.781605   5126.18471877
 4740.84740648 4520.97086787 4281.9802841  4976.9517903  5452.01145894
 5024.72180052 4852.03029329 5350.59106821 5935.20466027 5077.02308742
 5205.62897977 3954.82149122 5122.21995742 5243.85165482 4672.97275488
 5566.30681439 4885.48225353 4787.19577225 3816.93641811 5466.2079408
 4885.5839735  5301.31655104 5374.01056853 4719.07217036 5313.09042246
 5012.60858457 5473.15506542 6241.64025874 5116.16639583 5490.13840082
 5403.24915561 6006.23959055 5187.09610333 4687.08905023 4851.21750132
 5323.86792599 5395.40734665 6160.62211446 5867.35332196 5155.87552113
 4592.1811821  4485.55484373 4918.9782486  5574.95424244 4632.65987493
 5335.8202313  4895.80087946 4673.47267541 4091.47585288 5164.60019129
 5482.60128636 5004.77236864 5478.19359211 4761.38695129 4842.05954956
 4827.93382843 5899.64155811 4370.34328177 5826.06110214 5121.32807514
 3708.96860236 4958.54925983 5660.9542353  4659.82406161 4820.64532137
 4464.60775005 4893.0064734  4767.6037312  5752.66729255 4732.21045216
 4991.08367808 5023.2944715  4762.4082617  4567.0290657  4771.07219913
 5225.68265309 4702.07166184 4980.22684223 5504.15309894 4620.2124948
 5211.0223705  5006.9411957  6189.15498678 5134.60995721 4829.6735009 ]"	"[389.68602271 319.24479183  64.39055352 385.85321278 196.0807111
 365.93273696 154.33426148  78.34878601 379.07599845 191.95990701
 436.57396277 267.64218899 403.35248936 174.07012682 222.99718774
 162.06602031 242.15236091 403.44967453 431.61535053 418.30749689
 367.01798984 344.20272926 326.95444509 164.47820463 410.60393054
 356.21951711 340.51491223 128.45881058 203.15293436 338.11073649
 375.36814394 244.17758781 418.10752241 237.80503824 381.07219139
 247.33228588 212.55053129 367.55534107  57.72170357 346.81206766
 325.69758519 464.10065424 404.60490218 415.68367923 347.82127246
 254.83730517 234.44590548 392.11526082 221.53814706 344.72501315
  62.00024447 367.99988142 429.50972142 432.28032746  75.25521135
 221.81182103 345.88009095 263.74456887 474.39242439 230.54874928
  33.60209496 344.74968541  40.41638966 402.67093958 321.97350633
 409.30694279 107.20385346 119.7910881  274.4137011  340.5355507
 359.94753777 349.45893414  14.93846487 248.49351828 430.556363
 185.17960397 161.29259827 214.15237391 330.80351181 337.74763422
  94.21600961  98.16221455  80.75246921 280.43016438 400.13006669
 293.64219896 446.06423372 339.582617    43.890657   275.07199127
 307.76873761 381.21661839  70.59532892 352.24318973 336.66896117
 418.34215832 112.76520923 338.91004521 278.94214301 239.72026042]"	"[1136.85       1153.9        1065.35       1245.75       1228.7
 1198.45       1224.3        1045.55       1241.35       1144.55
 1113.2163201  1230.9        1092.53556282 1256.2        1261.15
 1151.7        1140.7        1183.6        1181.68360433 1207.8
 1175.9        1079.1        1178.65       1223.75       1218.19152827
 1223.75       1092.3        1101.65       1174.25       1098.95079911
 1312.3        1139.05       1105.5        1068.44085711 1273.23841761
 1115.24883632 1156.65       1245.75       1067.         1216.05
 1099.45       1232.55       1150.6        1247.95       1155.67724339
 1168.2        1172.05       1208.9        1138.30135949 1232.55
 1138.5        1183.6        1206.15       1265.55       1116.5
 1100.         1156.97648668 1172.05       1224.85       1203.95
 1227.05       1094.5        1137.4        1025.2        1091.2
 1170.95       1108.8        1233.65       1137.95       1065.70497698
 1152.8        1294.15       1100.55       1225.4        1197.9
 1035.65       1075.8        1197.9        1068.65       1146.75
 1163.8        1093.95       1206.15       1205.6        1199.40188773
 1203.4        1160.5        1215.5        1073.6        1164.35
 1154.45       1160.5        1216.05       1211.1        1171.17905746
 1163.43961292 1201.75       1256.75       1164.35       1142.98525142]"	"[400.70933723 329.58364312  64.39055352 386.71618464 196.19240768
 381.22265135 154.33426148  80.24728917 382.34110207 195.42928673
 451.6292115  268.6058842  418.34883999 174.25063949 225.42520428
 162.06602031 247.08163701 416.37424487 452.0542213  431.09326884
 368.5703447  350.74506201 335.94167808 167.18936781 417.99782298
 368.5703447  357.21958048 130.57363255 205.91762371 348.25932961
 375.36814394 248.30317099 430.80675995 253.04432933 398.36486896
 254.68627062 215.90715995 368.59285163  57.72170357 347.6241514
 336.53969711 471.94074775 418.34883999 419.58587843 358.0666836
 256.23683812 238.02050786 397.80434698 235.07012796 347.59328019
  62.00024447 383.9942519  433.62122429 439.2102176   75.25521135
 230.66912607 359.34646073 264.16001292 493.53362221 231.56384398
  33.60209496 347.6241514   40.41638966 431.96138713 328.48902876
 413.54257395 107.20385346 119.99199551 274.84992634 351.08725626
 365.77335966 356.14514171  14.93846487 248.49351828 439.71439671
 193.36646395 161.29259827 217.82781738 343.28887747 345.78624576
  94.48919031  98.16221455  80.75246921 283.20727433 419.92109333
 294.12302676 458.79209268 343.39074334  43.890657   280.52536587
 314.38906403 389.55530922  70.59532892 352.87337981 348.41451611
 435.12781269 112.7784329  345.41288022 282.38649704 253.04432933]"
BASELINE	21.32±3.04%	24.01±3.37%	45.33±3.32%	54.67±3.32%	29.00±3.42%	85.62±14.64	0	1300.73±93.35	287.09±124.27	285.32±123.05	1015.42±112.56	99.47±1.54%	21.72±9.08%	19.16±1.08	38.76±2.18%	78.64±2.08%	35.75±2.75	4195.28±534.22	"[4470.34530659 4279.26507149 4282.62307314 4855.66820558 4303.63551947
 4001.41790527 3991.02238542 3777.61423682 5563.24717055 3707.6649029
 3376.09119432 4634.905161   3314.20172672 4662.5477072  3919.22576351
 3832.34808487 4199.28288933 3771.51666572 4561.75466896 4738.08483296
 4005.97191954 4133.63199165 4730.3489708  4617.42082645 4367.3122095
 4393.01697297 3347.32362459 3911.02861437 3934.02697193 3667.84423777
 4746.07991472 3872.94023594 4370.75964529 2912.84305916 4355.06825987
 4173.48961863 4088.28242252 4658.44666046 3513.87762457 4200.10163517
 4297.49745633 4848.09688918 5719.91828681 4596.47771217 4571.03089083
 4482.9032318  4887.57212294 4665.18992915 3781.70791335 4141.82200621
 3419.36968629 4583.38944618 5537.71581822 4744.58777356 4244.06077369
 3486.05997052 3675.01280792 4406.53109666 4859.22297959 3724.33314175
 3931.53260858 4176.70231108 3465.58427372 3382.66495018 4342.40262603
 4958.11110104 3492.37723719 4364.39101464 4248.2652347  4128.66163576
 4313.19209123 4885.01824222 3065.55205335 5011.70040324 4305.34246926
 3300.6569614  3846.25407042 4640.98158038 3848.42933649 4009.09879241
 3760.95433845 3878.28532154 3858.0179363  4934.78174498 3927.34640387
 3683.58305569 4408.55907784 4249.28534654 3364.04920888 4157.42952425
 4112.9942453  3888.67741624 3973.63643337 4886.25164799 3714.06011015
 4288.54622917 4398.5378333  5167.44227698 4320.57677549 3923.24365425]"	"[396.73377146 329.54039833  64.39055352 386.71618464 196.0807111
 381.22265135 154.33426148  77.51786237 381.90032976 195.42928673
 442.92783072 268.6058842  400.37132615 174.25063949 225.42520428
 161.99658204 247.08163701 416.37424487 435.48131844 430.19911748
 368.5703447  350.74506201 335.88774171 167.18936781 416.56220906
 368.5703447  357.21886092 126.8333175  205.91762371 347.0724697
 375.36814394 248.17924935 430.80675995 239.34204015 398.36486896
 253.04384536 215.90715995 368.59285163  57.72170357 347.6241514
 336.28289511 471.94074775 418.27732746 419.29315274 358.0666836
 256.23683812 238.02050786 397.80434698 234.74129644 347.59328019
  60.29803749 380.68644123 433.62122429 439.2102176   75.25345055
 230.66912607 359.34646073 263.82969907 493.30145537 231.56384398
  33.60209496 345.33155832  40.41638966 380.5515431  328.48902876
 413.33422052 107.20385346 119.99199551 274.84992634 341.21778891
 365.77335966 355.68744336  14.93846487 248.49351828 439.71439671
 193.34330357 161.00071556 217.82781738 332.56997591 344.51785366
  94.48919031  98.16221455  80.75246921 283.19650457 408.40579811
 293.6041392  454.64271214 343.35342523  43.890657   280.49866941
 313.49069106 389.22399765  70.59532892 352.87337981 348.41451611
 435.12105235 112.76520923 345.41288022 282.32868242 249.56034286]"	"[1325.18737124 1336.8896834  1238.15982214 1475.17357531 1315.75730663
 1329.60044257 1329.21035053 1158.72406482 1440.8980203  1239.90142059
 1213.69509489 1384.82458077 1142.5435982  1426.63027667 1333.16756921
 1255.20722582 1331.80932685 1315.68462233 1315.44485009 1378.75376773
 1327.74284446 1252.88307356 1352.35678804 1367.83501152 1334.20095717
 1350.01943894 1183.98261506 1233.33565047 1270.3003585  1175.83602793
 1514.56899675 1299.10827912 1299.83655631 1110.91144856 1382.4443535
 1250.8525162  1269.27108711 1441.29201549 1118.94545787 1364.22656427
 1258.76417366 1490.97185594 1384.04548959 1426.24812614 1319.11915962
 1336.91553238 1362.29927843 1410.42435978 1188.06314512 1329.3732181
 1160.30071728 1314.58004764 1421.69461138 1470.71037421 1234.64571367
 1170.0694209  1262.13732723 1304.88335628 1401.07165947 1288.23242645
 1280.38855919 1282.9174997  1200.14220478 1083.89602578 1315.25434847
 1382.04241931 1224.92546948 1359.5569993  1273.72264466 1216.08833462
 1321.15373181 1496.02810327 1149.8304634  1380.79526843 1389.50860954
 1116.54842863 1198.46001134 1371.31263993 1191.83363123 1283.94774012
 1195.08348391 1225.99801095 1270.29663374 1374.56443918 1250.03026182
 1253.0060166  1313.32033899 1350.49995978 1103.39856822 1306.20342689
 1313.96130741 1302.44983524 1296.81222632 1429.54133226 1243.47880975
 1351.23728944 1310.06400598 1441.48706614 1284.70423244 1217.12380035]"	"[400.70933723 329.58364312  64.39055352 386.71618464 196.19240768
 381.22265135 154.33426148  80.24728917 382.34110207 195.42928673
 451.6292115  268.6058842  418.34883999 174.25063949 225.42520428
 162.06602031 247.08163701 416.37424487 452.0542213  431.09326884
 368.5703447  350.74506201 335.94167808 167.18936781 417.99782298
 368.5703447  357.21958048 130.57363255 205.91762371 348.25932961
 375.36814394 248.30317099 430.80675995 253.04432933 398.36486896
 254.68627062 215.90715995 368.59285163  57.72170357 347.6241514
 336.53969711 471.94074775 418.34883999 419.58587843 358.0666836
 256.23683812 238.02050786 397.80434698 235.07012796 347.59328019
  62.00024447 383.9942519  433.62122429 439.2102176   75.25521135
 230.66912607 359.34646073 264.16001292 493.53362221 231.56384398
  33.60209496 347.6241514   40.41638966 431.96138713 328.48902876
 413.54257395 107.20385346 119.99199551 274.84992634 351.08725626
 365.77335966 356.14514171  14.93846487 248.49351828 439.71439671
 193.36646395 161.29259827 217.82781738 343.28887747 345.78624576
  94.48919031  98.16221455  80.75246921 283.20727433 419.92109333
 294.12302676 458.79209268 343.39074334  43.890657   280.52536587
 314.38906403 389.55530922  70.59532892 352.87337981 348.41451611
 435.12781269 112.7784329  345.41288022 282.38649704 253.04432933]"
