Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
PS2C	21.48±3.71%	46.48±4.94%	67.96±4.96%	32.04±4.96%	15.94±3.93%	68.44±12.85	0	1114.20±61.31	300.35±127.70	290.94±122.06	823.27±117.18	97.37±2.00%	25.99±10.76%	18.27±1.07	36.95±2.16%	75.84±1.67%	33.70±4.24	4726.16±476.80	"[4196.01092777 5525.52677134 4747.06025782 3931.154349   4672.09996594
 4205.30684138 4045.68584662 4969.15676642 3809.55554215 4226.69111566
 4142.72999151 5013.853869   4687.56711426 5172.47126673 4593.98195342
 5356.87732286 4742.54912825 4858.29533386 4644.07008723 4946.94307136
 4390.48313317 4339.40966887 5405.27865591 4956.68719065 4924.84626981
 4203.73264448 4951.86717388 4435.83378222 5188.83742076 4868.146282
 4297.14602224 5271.53987754 5407.83122271 5746.75685237 4653.30162092
 5195.7666032  5491.59407669 4314.75094214 5663.62280631 4163.83567016
 4962.97251866 5174.38546763 4661.72660685 4354.13480781 4770.98776294
 4408.20529104 4585.03250206 4644.42733363 4078.74384519 3596.40773225
 5213.78648381 4463.94221626 4238.11080316 4305.19344    4922.21000367
 5550.08803067 4847.58777166 4879.59331769 5664.79282735 4676.64099372
 4756.34478621 4715.86556787 5809.51530226 4200.12063826 4481.65705959
 4757.44038663 5265.4920856  5518.71055109 4456.08412218 4501.15614283
 4196.92410261 4493.89591306 4078.22533218 4855.86276576 4350.88829776
 3990.10063905 4983.0771896  4924.89067619 4587.24926415 4418.44681487
 4870.48475671 4005.12060335 4256.45895382 4989.36173857 4555.77218277
 4508.63552531 4790.03461886 4279.88461035 4859.65336974 4321.10220582
 4834.78557264 5441.57195798 4417.53467461 5174.81691931 5040.49920378
 4442.81772589 5909.17768614 4556.07220714 4884.30968534 4778.18044217]"	"[121.63547816 317.41784893 378.85257824 420.74598148 422.39928678
 397.4228963  180.63482882 401.57856364 321.47812552 250.03842417
 309.84404553 360.53869003  92.62114263 433.69149877 417.85537362
 384.17322863 470.2601525  350.40071014 301.11217487 238.71439052
 145.03236906 245.58373366 441.72118701 414.69103699 177.29610532
 116.84941538 402.97361656 467.40631857 281.74514204 431.87575505
 185.76022243 375.44877539 330.19117574 427.53147209 172.00749471
 189.52010985 119.99199551 379.7582134  295.60866474  74.6190258
 278.94687232 323.09637775 415.04061995 369.28078031  64.82957737
 209.0567758  377.12677254 241.43756588 382.92487992 162.06602031
  96.35548196 391.11859248 408.60803159 113.01475855 349.70003671
  96.72523256 411.46473416 208.58008591 338.92450675  34.54585356
 382.32412546 359.98841951 350.37621391 224.75682104 329.98415103
 382.00455567 233.24410895 133.69304867 380.62132687 153.32233914
  32.85832283 223.39326421 330.25771732 358.16222902 398.09308274
  44.62730391  31.56717618 393.79390651  40.41638966 221.2601101
 312.75289068 397.40603355 421.78953823 280.34377565 309.37614186
 330.43978856 243.48188687 242.29610355 417.85230768 282.71400751
 236.85572645 412.46502989  89.62401547 348.59565937 371.96286601
 398.6499446  454.57686138 437.34002872 426.53859991 153.9979841 ]"	"[ 998.8        1183.7730411  1108.25       1044.30744362 1098.9
 1026.69327428  980.1        1073.89931101 1102.75       1136.74603577
 1036.2        1122.         1016.95       1104.44581456  999.55750653
 1115.4        1144.76887001 1032.35        994.31666867 1171.82397778
 1140.20103739 1199.94676685 1164.88859785 1106.05       1066.45
 1141.8        1084.30187776 1156.53401729 1126.4        1177.6971968
 1114.3        1260.05       1146.2        1247.95       1146.75
 1125.59265632 1186.35       1151.35869511 1059.38060168 1093.87469192
 1180.85       1123.65       1173.7        1179.75       1125.3
 1112.1        1124.9313307  1140.7        1086.89559401 1009.8
 1116.5        1058.2        1127.5        1100.55       1227.6
 1104.4        1149.84249028 1159.4        1237.5        1025.75
 1184.09131586 1039.20234454 1202.23990748 1039.23812658 1109.45675405
 1125.8510169  1100.         1087.35       1073.05       1060.95
 1075.53180872  984.43413356 1113.10466899 1098.55249196 1121.53927929
 1043.62091336  986.15       1113.2        1149.5        1117.05
 1065.35       1146.2        1157.2        1183.6        1145.1
 1111.09801398 1087.4756774  1143.45       1128.6        1154.53216711
 1089.         1183.05       1019.7        1176.18074242 1139.05
 1170.47268565 1262.8        1088.75869004 1083.44174654 1108.13838443]"	"[121.67481335 330.77296613 393.95416607 436.22173428 438.95146152
 424.34030218 184.4294651  422.06479458 333.71004606 268.6058842
 314.20312385 364.46040253  94.48919031 453.58386414 440.90098144
 393.95416607 486.69795081 360.33434887 329.58364312 243.77991978
 146.06029219 255.77132525 460.29747802 422.73572437 182.70221847
 116.84941538 417.99782298 486.69795081 281.96719725 451.6292115
 194.67102589 377.1632247  348.56169173 434.90129981 174.25063949
 193.36646395 119.99199551 391.90463964 305.32599717  74.62244853
 284.58573887 337.1241499  428.18937596 377.02604321  64.82957737
 214.4980053  396.48036132 243.77991978 413.95714403 162.06602031
  96.35548196 427.70640699 422.30071475 113.01475855 366.20789403
  96.93617287 423.30546802 216.33001363 340.88150715  34.54585356
 396.04017195 373.43468351 356.16558759 233.34529607 333.83812833
 395.93933253 240.33061561 133.82312093 394.47942793 154.87086842
  32.85832283 227.93494076 343.28887747 375.59126609 412.5568329
  44.62730391  31.62430572 407.43814816  40.41638966 222.15804146
 313.7713208  414.85569827 426.71052053 282.66172048 314.20312385
 344.59616676 253.74099441 253.74099441 427.54729931 299.84452386
 236.85572645 422.30071475  89.62401547 366.02360071 376.47722536
 409.33537857 460.83672228 454.24600249 447.48856228 154.87086842]"
PS2C_MIN	21.48±3.71%	46.49±4.94%	67.97±4.95%	32.03±4.95%	15.93±3.95%	68.44±12.85	0	1114.27±61.22	300.35±127.70	290.94±122.06	823.33±117.28	97.37±2.00%	25.99±10.76%	18.27±1.07	36.94±2.16%	75.84±1.67%	33.69±4.25	4727.26±476.81	"[4196.01092777 5525.52677134 4747.06025782 3931.154349   4672.09996594
 4205.30684138 4045.68584662 4969.15676642 3809.55554215 4226.69111566
 4142.72999151 5013.853869   4687.56711426 5172.47126673 4593.98195342
 5356.87732286 4742.54912825 4858.29533386 4644.07008723 4946.94307136
 4390.48313317 4339.40966887 5405.27865591 4956.68719065 4924.84626981
 4203.73264448 4951.86717388 4435.83378222 5188.83742076 4868.146282
 4297.14602224 5271.53987754 5407.83122271 5746.75685237 4653.30162092
 5195.7666032  5491.59407669 4314.75094214 5663.62280631 4163.83567016
 4962.97251866 5174.38546763 4661.72660685 4354.13480781 4770.98776294
 4408.20529104 4585.03250206 4644.42733363 4078.74384519 3596.40773225
 5213.78648381 4463.94221626 4238.11080316 4305.19344    4922.21000367
 5550.08803067 4847.58777166 4879.59331769 5664.79282735 4786.28349372
 4756.34478621 4715.86556787 5809.51530226 4200.12063826 4481.65705959
 4757.44038663 5265.4920856  5518.71055109 4456.08412218 4501.15614283
 4196.92410261 4493.89591306 4078.22533218 4855.86276576 4350.88829776
 3990.10063905 4983.0771896  4924.89067619 4587.24926415 4418.44681487
 4870.48475671 4005.12060335 4256.45895382 4989.36173857 4555.77218277
 4508.63552531 4790.03461886 4279.88461035 4859.65336974 4321.10220582
 4834.78557264 5441.57195798 4417.53467461 5174.81691931 5040.49920378
 4442.81772589 5909.17768614 4556.07220714 4884.30968534 4778.18044217]"	"[121.63547816 317.41784893 378.85257824 420.74598148 422.39928678
 397.4228963  180.63482882 401.57856364 321.47812552 250.03842417
 309.84404553 360.53869003  92.62114263 433.69149877 417.85537362
 384.17322863 470.2601525  350.40071014 301.11217487 238.71439052
 145.03236906 245.58373366 441.72118701 414.69103699 177.29610532
 116.84941538 402.97361656 467.40631857 281.74514204 431.87575505
 185.76022243 375.44877539 330.19117574 427.53147209 172.00749471
 189.52010985 119.99199551 379.7582134  295.60866474  74.6190258
 278.94687232 323.09637775 415.04061995 369.28078031  64.82957737
 209.0567758  377.12677254 241.43756588 382.92487992 162.06602031
  96.35548196 391.11859248 408.60803159 113.01475855 349.70003671
  96.72523256 411.46473416 208.58008591 338.92450675  34.54585356
 382.32412546 359.98841951 350.37621391 224.75682104 329.98415103
 382.00455567 233.24410895 133.69304867 380.62132687 153.32233914
  32.85832283 223.39326421 330.25771732 358.16222902 398.09308274
  44.62730391  31.56717618 393.79390651  40.41638966 221.2601101
 312.75289068 397.40603355 421.78953823 280.34377565 309.37614186
 330.43978856 243.48188687 242.29610355 417.85230768 282.71400751
 236.85572645 412.46502989  89.62401547 348.59565937 371.96286601
 398.6499446  454.57686138 437.34002872 426.53859991 153.9979841 ]"	"[ 998.8        1183.7730411  1108.25       1044.30744362 1098.9
 1026.69327428  980.1        1073.89931101 1102.75       1136.74603577
 1036.2        1122.         1016.95       1104.44581456  999.55750653
 1115.4        1144.76887001 1032.35        994.31666867 1171.82397778
 1140.20103739 1199.94676685 1164.88859785 1106.05       1066.45
 1141.8        1084.30187776 1156.53401729 1126.4        1177.6971968
 1114.3        1260.05       1146.2        1247.95       1146.75
 1125.59265632 1186.35       1151.35869511 1059.38060168 1093.87469192
 1180.85       1123.65       1173.7        1179.75       1125.3
 1112.1        1124.9313307  1140.7        1086.89559401 1009.8
 1116.5        1058.2        1127.5        1100.55       1227.6
 1104.4        1149.84249028 1159.4        1237.5        1032.35
 1184.09131586 1039.20234454 1202.23990748 1039.23812658 1109.45675405
 1125.8510169  1100.         1087.35       1073.05       1060.95
 1075.53180872  984.43413356 1113.10466899 1098.55249196 1121.53927929
 1043.62091336  986.15       1113.2        1149.5        1117.05
 1065.35       1146.2        1157.2        1183.6        1145.1
 1111.09801398 1087.4756774  1143.45       1128.6        1154.53216711
 1089.         1183.05       1019.7        1176.18074242 1139.05
 1170.47268565 1262.8        1088.75869004 1083.44174654 1108.13838443]"	"[121.67481335 330.77296613 393.95416607 436.22173428 438.95146152
 424.34030218 184.4294651  422.06479458 333.71004606 268.6058842
 314.20312385 364.46040253  94.48919031 453.58386414 440.90098144
 393.95416607 486.69795081 360.33434887 329.58364312 243.77991978
 146.06029219 255.77132525 460.29747802 422.73572437 182.70221847
 116.84941538 417.99782298 486.69795081 281.96719725 451.6292115
 194.67102589 377.1632247  348.56169173 434.90129981 174.25063949
 193.36646395 119.99199551 391.90463964 305.32599717  74.62244853
 284.58573887 337.1241499  428.18937596 377.02604321  64.82957737
 214.4980053  396.48036132 243.77991978 413.95714403 162.06602031
  96.35548196 427.70640699 422.30071475 113.01475855 366.20789403
  96.93617287 423.30546802 216.33001363 340.88150715  34.54585356
 396.04017195 373.43468351 356.16558759 233.34529607 333.83812833
 395.93933253 240.33061561 133.82312093 394.47942793 154.87086842
  32.85832283 227.93494076 343.28887747 375.59126609 412.5568329
  44.62730391  31.62430572 407.43814816  40.41638966 222.15804146
 313.7713208  414.85569827 426.71052053 282.66172048 314.20312385
 344.59616676 253.74099441 253.74099441 427.54729931 299.84452386
 236.85572645 422.30071475  89.62401547 366.02360071 376.47722536
 409.33537857 460.83672228 454.24600249 447.48856228 154.87086842]"
PS2C_NEW	21.02±3.74%	46.93±4.96%	67.96±4.96%	32.04±4.96%	15.94±3.93%	68.34±12.80	0	1113.28±61.83	300.35±127.70	291.10±122.11	822.18±116.77	97.42±1.97%	26.02±10.76%	18.25±1.07	36.91±2.16%	75.81±1.68%	33.70±4.24	4767.26±478.15	"[4196.01092777 5525.52677134 4747.06025782 3931.154349   4672.09996594
 4205.30684138 4045.68584662 4969.15676642 3809.55554215 4326.42184773
 4142.72999151 5013.853869   4887.89711426 5372.63626673 4593.98195342
 5356.87732286 4742.54912825 4858.29533386 4744.3367541  5047.71766219
 4590.65323691 4540.36857535 5405.27865591 4956.68719065 4924.84626981
 4203.73264448 4951.86717388 4536.58658956 5188.83742076 4868.146282
 4297.14602224 5271.53987754 5407.83122271 5746.75685237 4653.30162092
 5296.18746884 5491.59407669 4314.75094214 5663.62280631 4264.32313935
 4962.97251866 5174.38546763 4661.72660685 4354.13480781 4871.04276294
 4408.20529104 4585.03250206 4644.42733363 4078.74384519 3596.40773225
 5213.78648381 4463.94221626 4238.11080316 4305.19344    4922.21000367
 5550.08803067 5047.56180491 4879.59331769 5764.79282735 4676.64099372
 4756.34478621 4816.46607428 6008.57429301 4300.7830461  4581.55239729
 4858.10044764 5265.4920856  5518.71055109 4456.08412218 4501.15614283
 4297.55018019 4894.27432642 4078.22533218 4855.86276576 4450.88829776
 4091.00773039 4983.0771896  4924.89067619 4587.24926415 4518.79881487
 5070.53975671 4005.12060335 4256.45895382 4989.36173857 4656.41106116
 4609.11085263 4790.03461886 4279.88461035 4859.65336974 4321.04628767
 4834.78557264 5441.57195798 4417.53467461 5275.05582811 5040.49920378
 4643.08967669 5909.17768614 4655.98619617 4884.30968534 4879.10428061]"	"[121.63547816 317.41784893 378.85257824 420.74598148 422.39928678
 397.4228963  180.63482882 401.57856364 321.47812552 250.03842417
 309.84404553 360.53869003  92.62114263 433.69149877 417.85537362
 384.17322863 470.2601525  350.40071014 301.11217487 238.71439052
 145.03236906 245.58373366 441.72118701 414.69103699 177.29610532
 116.84941538 402.97361656 467.40631857 281.74514204 431.87575505
 185.76022243 375.44877539 330.19117574 427.53147209 172.00749471
 189.52010985 119.99199551 379.7582134  295.60866474  74.6190258
 278.94687232 323.09637775 415.04061995 369.28078031  64.82957737
 209.0567758  377.12677254 241.43756588 383.04943372 162.06602031
  96.35548196 391.11859248 408.60803159 113.01475855 349.70003671
  96.72523256 409.76257643 208.58008591 338.92450675  34.54585356
 382.32412546 361.63841951 350.37621391 224.5572813  329.98415103
 382.00455567 233.24410895 133.69304867 380.62132687 153.32233914
  32.85832283 223.39326421 330.25771732 358.16222902 398.09308274
  44.62730391  31.56717618 393.79390651  40.41638966 221.2601101
 312.75289068 397.40603355 421.78953823 280.34377565 309.37614186
 329.69306172 243.48188687 242.29610355 417.85230768 288.53322998
 236.85572645 412.46502989  89.62401547 357.98474719 371.96286601
 398.6499446  454.57686138 438.92122902 426.53859991 153.9979841 ]"	"[ 998.8        1183.7730411  1108.25       1044.30744362 1098.9
 1026.69327428  980.1        1073.89931101 1102.75       1142.09534069
 1036.2        1122.         1013.65       1102.79581456  999.55750653
 1115.4        1144.76887001 1032.35        991.65       1162.7
 1138.5        1190.35770207 1164.88859785 1106.05       1066.45
 1141.8        1084.30187776 1148.95       1126.4        1177.6971968
 1114.3        1260.05       1146.2        1247.95       1146.75
 1119.8        1186.35       1151.35869511 1059.38060168 1089.
 1180.85       1123.65       1173.7        1179.75       1124.75
 1112.1        1124.9313307  1140.7        1087.02014782 1009.8
 1116.5        1058.2        1127.5        1100.55       1227.6
 1104.4        1148.4        1159.4        1237.5        1025.75
 1184.09131586 1031.8        1211.65       1031.25       1111.55
 1118.15       1100.         1087.35       1073.05       1060.95
 1066.45        980.65       1113.10466899 1098.55249196 1121.53927929
 1034.55        986.15       1113.2        1149.5        1112.65
 1064.25       1146.2        1157.2        1183.6        1137.4
 1105.59801398 1087.4756774  1143.45       1128.6        1160.910571
 1089.         1183.05       1019.7        1181.95       1139.05
 1167.75317771 1262.8        1091.2        1083.44174654 1098.9       ]"	"[121.67481335 330.77296613 393.95416607 436.22173428 438.95146152
 424.34030218 184.4294651  422.06479458 333.71004606 268.6058842
 314.20312385 364.46040253  94.48919031 453.58386414 440.90098144
 393.95416607 486.69795081 360.33434887 329.58364312 243.77991978
 146.06029219 255.77132525 460.29747802 422.73572437 182.70221847
 116.84941538 417.99782298 486.69795081 281.96719725 451.6292115
 194.67102589 377.1632247  348.56169173 434.90129981 174.25063949
 193.36646395 119.99199551 391.90463964 305.32599717  74.62244853
 284.58573887 337.1241499  428.18937596 377.02604321  64.82957737
 214.4980053  396.48036132 243.77991978 413.95714403 162.06602031
  96.35548196 427.70640699 422.30071475 113.01475855 366.20789403
  96.93617287 423.30546802 216.33001363 340.88150715  34.54585356
 396.04017195 373.43468351 356.16558759 233.34529607 333.83812833
 395.93933253 240.33061561 133.82312093 394.47942793 154.87086842
  32.85832283 227.93494076 343.28887747 375.59126609 412.5568329
  44.62730391  31.62430572 407.43814816  40.41638966 222.15804146
 313.7713208  414.85569827 426.71052053 282.66172048 314.20312385
 344.59616676 253.74099441 253.74099441 427.54729931 299.84452386
 236.85572645 422.30071475  89.62401547 366.02360071 376.47722536
 409.33537857 460.83672228 454.24600249 447.48856228 154.87086842]"
BASELINE	30.07±4.40%	37.90±5.39%	67.97±4.95%	32.03±4.95%	15.93±3.95%	80.16±13.34	0	1234.98±85.83	300.35±127.70	296.09±125.84	938.89±112.66	98.72±3.19%	23.73±9.84%	20.22±1.08	40.89±2.19%	79.79±2.66%	33.69±4.25	3942.54±512.71	"[3091.72653937 4811.93497495 4334.32546967 3518.76875034 4057.6122899
 3498.97502911 3236.48455859 4251.89294571 3202.00216929 3621.95165043
 3334.91310413 4493.8836404  3477.30134246 4460.95236596 3580.48124893
 4441.43851375 4033.98531425 4543.46972017 4021.91943022 3936.34981344
 3481.94797776 3529.28033045 4288.40202922 4043.69138377 4212.35767592
 2992.51926553 4439.73569378 3828.36270895 4470.40864523 3958.41226802
 3388.90244396 4553.92694047 4496.3008451  4834.50380995 3642.30051352
 4081.50813712 4381.11367914 3306.80865666 5037.94094945 2860.19190905
 4346.64085072 4661.215665   3845.69642931 3742.81439963 3463.19110368
 3600.9592618  3681.17980324 3729.2293869  3471.00440252 2992.68635966
 4300.04410122 3655.34871689 3727.56795848 3294.98383842 4411.7866956
 4239.47704889 4433.2079995  4168.7777422  4646.16952791 3581.0419861
 3948.00963066 3803.77404282 5089.18355129 3189.89480251 4070.77690357
 4142.05422632 4446.76570356 4600.39938637 3943.69038993 3693.28688561
 3492.97042403 4176.41188431 3374.01944759 4142.11190271 3343.71608095
 3387.31608978 3776.34209532 4107.62801745 3480.27993872 3808.48409637
 4254.46075751 3298.31847329 3345.63615057 3777.84923404 4042.13075453
 3800.67666158 3674.26558101 3471.72235201 4245.47087812 3310.25779001
 3921.28394965 4927.30820072 3508.37629776 4263.29946865 4522.00020187
 3933.3999013  5388.34903571 4241.81037028 4371.55553218 4166.56316801]"	"[117.75230374 330.71761228 393.95416607 427.17181901 438.95146152
 414.88024984 152.16400335 420.49148268 332.87252319 268.6058842
 305.5867497  364.46040253  93.87805054 437.2754982  400.22363926
 392.59313505 467.20986382 360.28139269 253.41029063 243.77991978
 142.44630958 255.66494329 447.97470762 422.73572437 182.70221847
 116.84941538 407.23862118 486.32453242 281.96719725 449.77115441
 194.67102589 377.1632247  342.95533272 434.90129981 174.25063949
 193.36646395 119.99199551 376.70625606 299.46342721  74.13879385
 277.63905754 337.1241499  427.34793771 368.86625245  64.82957737
 214.4980053  394.14061392 243.77991978 377.13768173 160.07876331
  96.33753564 413.18163082 421.38053379 113.01475855 365.43899852
  96.93617287 421.75253083 216.33001363 340.88150715  34.54585356
 389.72746257 355.92886685 356.13754924 233.34529607 333.83812833
 395.22230927 235.63501629 133.82312093 394.47942793 152.52249617
  32.85832283 225.1186143  343.21119569 362.06549157 405.51572306
  44.62730391  31.2805209  403.6812085   40.41638966 222.15804146
 312.70880189 413.57858588 426.71052053 282.66172048 314.20312385
 343.62480294 253.74099441 253.74099441 426.66351752 299.71550783
 236.67560161 421.75427143  89.62401547 366.02360071 375.47568508
 409.10012701 459.10129425 449.14577262 446.09305373 153.94350933]"	"[1042.31473904 1312.40053196 1250.6994694  1181.06778831 1263.26602241
 1110.54544144 1025.46925665 1242.38260064 1170.16845925 1203.04286399
 1129.12185188 1325.62399849 1120.8646259  1250.40048297 1128.28886603
 1278.20799758 1227.35672132 1258.73847133 1175.03747088 1296.82130842
 1222.96653196 1268.09684433 1309.78666264 1286.57287706 1190.99601243
 1212.03674511 1209.88168335 1251.5806685  1316.23153609 1282.44368353
 1205.64658625 1437.89381996 1336.40439717 1400.76793791 1269.05800485
 1296.96879769 1295.97608713 1231.62098921 1320.05393274 1114.50012539
 1320.66096931 1264.21050616 1304.53945608 1259.33025491 1187.47110151
 1205.54844705 1207.3165088  1264.1254853  1147.57925333 1042.63063643
 1231.62722223 1174.66243083 1245.700949   1166.91278362 1347.57204253
 1237.65417558 1290.17572991 1287.33127309 1436.71634131 1088.09822629
 1277.20533797 1165.18498261 1430.85423927 1142.28780284 1248.28491358
 1276.14564216 1267.19353589 1270.26621554 1219.87215457 1149.42837908
 1107.1200156  1160.99977122 1152.05587628 1217.37328513 1167.6745027
 1071.4664061  1049.45115259 1266.61785597 1214.01619481 1236.40743089
 1204.28937923 1230.39385302 1270.34901484 1306.88206726 1302.47583144
 1199.87593011 1239.57613291 1236.51747427 1275.4137733  1230.39536068
 1223.83610512 1372.98867629 1093.89323854 1321.86403783 1298.84504885
 1275.10111397 1475.61093718 1238.59591999 1230.53773189 1219.04403788]"	"[121.67481335 330.77296613 393.95416607 436.22173428 438.95146152
 424.34030218 184.4294651  422.06479458 333.71004606 268.6058842
 314.20312385 364.46040253  94.48919031 453.58386414 440.90098144
 393.95416607 486.69795081 360.33434887 329.58364312 243.77991978
 146.06029219 255.77132525 460.29747802 422.73572437 182.70221847
 116.84941538 417.99782298 486.69795081 281.96719725 451.6292115
 194.67102589 377.1632247  348.56169173 434.90129981 174.25063949
 193.36646395 119.99199551 391.90463964 305.32599717  74.62244853
 284.58573887 337.1241499  428.18937596 377.02604321  64.82957737
 214.4980053  396.48036132 243.77991978 413.95714403 162.06602031
  96.35548196 427.70640699 422.30071475 113.01475855 366.20789403
  96.93617287 423.30546802 216.33001363 340.88150715  34.54585356
 396.04017195 373.43468351 356.16558759 233.34529607 333.83812833
 395.93933253 240.33061561 133.82312093 394.47942793 154.87086842
  32.85832283 227.93494076 343.28887747 375.59126609 412.5568329
  44.62730391  31.62430572 407.43814816  40.41638966 222.15804146
 313.7713208  414.85569827 426.71052053 282.66172048 314.20312385
 344.59616676 253.74099441 253.74099441 427.54729931 299.84452386
 236.85572645 422.30071475  89.62401547 366.02360071 376.47722536
 409.33537857 460.83672228 454.24600249 447.48856228 154.87086842]"
