Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
PS2C	19.23±3.23%	36.16±3.68%	55.39±3.57%	44.61±3.57%	23.02±3.82%	70.37±15.69	0	1144.62±61.43	287.29±129.06	279.59±124.25	865.02±121.13	97.77±2.09%	24.32±10.72%	17.26±0.93	34.89±1.88%	75.13±1.74%	33.97±3.59	4933.33±467.26	"[5571.59118502 4585.80712572 5202.40484302 5104.65674538 4783.21478859
 5118.20431484 4564.59709296 4842.90169199 4636.73755605 4536.04956251
 4261.80436633 4694.1579097  5270.01367221 5087.16026343 4333.64562701
 5052.29442751 4377.8751232  5879.17907929 4849.33645266 5786.5986157
 5464.1980973  4946.91304177 4070.63618863 4372.8110437  4441.33272816
 4791.65566308 4813.85487479 5013.01535371 5118.15001886 5158.04781158
 4649.84076833 4350.15253062 4113.35407765 5002.82704066 4805.48575493
 5003.54575813 4684.6985837  5549.06703718 6099.35133752 4727.63485303
 5387.10764914 4989.77506243 4691.73989916 5476.69344568 5068.89120799
 5396.96604909 4450.3784273  4690.6864423  4551.49905778 5324.03748065
 5541.56761884 4970.15738064 4647.00189498 4485.16788287 5022.99015305
 4594.82422842 3620.27698289 4695.68432961 5647.18955436 5236.26907784
 4974.95869739 4240.04243557 5327.74543719 5161.12399763 4926.79776894
 5856.95449138 4331.68466171 4806.15107004 4792.55943791 5366.78211248
 5557.47296588 4565.2061461  4427.4700588  5352.01940665 5001.22438971
 4885.95918405 5101.39081857 5086.06527755 5609.27394605 3944.21149102
 5443.11846757 4559.57202312 4678.79125542 4661.57457683 5298.99078937
 4583.79341283 4790.31638169 4648.8861887  5134.86106591 5384.64064667
 5251.99334782 4721.74934062 5110.73450937 5407.00856179 5375.54680155
 3806.41736434 5307.78944014 4595.36596404 5384.59528296 5668.21595069]"	"[415.7471805  388.56559932 437.93252732 438.26369636 418.40389695
 209.37408002  78.97286076 424.82737873 116.77556047 267.74707085
 123.29999386 308.78911786 221.03672213 253.39996038 343.04458787
 208.1836421  379.23828611 256.84040068 343.50393584 424.80149769
  50.79051478 227.61103539  50.79051478 105.02124643 411.11232539
 270.45663078  55.19967264 328.60353711  72.5755018   77.17811576
 433.60363993 342.23035788 334.93724545 380.61894781 423.55833974
 340.11348791  96.03583695 294.14288419 244.21116458 334.26979647
 304.07649139 437.93358372 233.94644514  40.21182111 381.99066687
 186.81049087 348.48973147 399.33933696 279.03059532 238.82480646
 331.3720877  358.49407011 118.16063514 305.7772666  154.87086842
 114.04745117 112.72042065 288.945335   413.29020017 328.75114349
  60.07035925 415.65798671 428.6672658   42.73209979 423.17284484
 266.28495336 347.09661709 194.50118299 302.99443166 387.99338543
 391.18994424 274.10218961 334.5330748  453.65315076 361.30104955
  79.83486893 350.13295195 408.84520428 231.32251062 381.2749311
 410.33709064 280.9702312   86.74030374 392.71474046 404.46825829
 200.51576007 343.39265256 158.14202625 420.78363952 338.60317372
 368.40152715 404.12334379 198.0749331  425.37246663 378.11801549
 111.24128378 221.30533131  40.21182111 111.24128378 220.24214903]"	"[1199.83533031 1130.49434208 1213.88409708 1191.69624254 1137.6037977
 1151.06418446 1088.78382061 1295.81045884 1049.4        1157.26707269
  996.6        1177.         1120.9        1207.25        992.46438644
 1185.23936698 1038.95       1265.0496078  1168.75       1255.43650349
 1076.35       1093.03642024 1119.0117183  1013.65       1137.15691665
 1153.9        1093.4        1198.45       1147.3        1096.7
 1127.47468803 1092.51048351 1101.65       1152.34854125 1133.
 1223.67018117 1249.05       1201.53406056 1173.7        1098.99109917
 1133.         1140.18295941 1114.49763673 1169.3        1137.4
 1217.15       1191.3        1092.47491395 1196.8        1198.45
 1151.15       1156.92026374 1205.83354136 1134.74842042 1157.75
 1119.25       1049.4        1109.22028034 1190.06239078 1225.4
 1090.1        1177.17163836 1223.75       1056.55       1127.36949276
 1170.95       1130.25       1132.99048262 1133.         1050.5
 1271.05       1163.22180914 1186.70634228 1211.65       1178.1
 1067.         1173.7        1128.63803632 1134.1        1086.25
 1186.35       1185.25       1180.15454952 1037.24186869 1195.15
 1173.15       1086.21467527 1027.99371218 1210.68654006 1167.65
 1142.20658967 1008.7        1137.4        1135.79177493 1222.65
 1079.1        1158.3        1120.9        1114.17081331 1202.85      ]"	"[422.46783495 428.5436623  456.90091747 440.8561087  433.62122429
 221.07677113  78.97286076 431.63828961 118.29350959 280.69630688
 129.50078228 324.56405723 223.82162375 256.23683812 383.9942519
 208.1836421  398.36486896 259.33404773 350.73502987 431.01301392
  50.79051478 242.70297619  50.79051478 107.49178048 427.44274273
 276.3361914   55.19967264 336.04243954  72.5755018   77.17811576
 451.6292115  357.91380219 340.88150715 391.56299142 427.22967838
 343.72051858  96.03583695 305.32599717 244.49800633 346.09589418
 314.20312385 451.6292115  255.77132525  40.21182111 398.17936714
 187.18459212 349.95199361 417.71855346 284.58573887 243.77991978
 335.16203226 365.77335966 118.1627521  316.97311579 154.87086842
 114.04745117 113.01475855 292.30077809 424.34030218 337.33233523
  61.2124336  424.73859779 437.77514003  43.890657   440.29084409
 268.6058842  352.69435158 197.16772318 314.20312385 403.81672764
 393.63115639 282.66631069 348.11338022 459.18028526 369.75547813
  80.24728917 357.5700642  416.37424487 232.29830902 394.14624937
 423.11645724 283.53847396  86.74030374 419.07021526 406.21712506
 205.91762371 350.73502987 158.20660394 447.2743733  347.37166214
 373.43468351 425.59291616 199.37192987 436.25073955 383.58477828
 111.24128378 225.42520428  40.21182111 111.24128378 220.24214903]"
PS2C_MIN	19.24±3.25%	36.16±3.68%	55.40±3.57%	44.60±3.57%	23.03±3.82%	70.37±15.69	0	1144.62±61.43	287.29±129.06	279.59±124.25	865.02±121.13	97.77±2.09%	24.32±10.72%	17.25±0.93	34.89±1.88%	75.13±1.75%	33.96±3.59	4933.43±467.07	"[5571.59118502 4585.80712572 5202.40484302 5104.65674538 4783.21478859
 5118.20431484 4564.59709296 4842.90169199 4636.73755605 4536.04956251
 4261.80436633 4694.1579097  5270.01367221 5087.16026343 4333.64562701
 5052.29442751 4377.8751232  5879.17907929 4849.33645266 5786.5986157
 5464.1980973  4946.91304177 4080.63618863 4372.8110437  4441.33272816
 4791.65566308 4813.85487479 5013.01535371 5118.15001886 5158.04781158
 4649.84076833 4350.15253062 4113.35407765 5002.82704066 4805.48575493
 5003.54575813 4684.6985837  5549.06703718 6099.35133752 4727.63485303
 5387.10764914 4989.77506243 4691.73989916 5476.69344568 5068.89120799
 5396.96604909 4450.3784273  4690.6864423  4551.49905778 5324.03748065
 5541.56761884 4970.15738064 4647.00189498 4485.16788287 5022.99015305
 4594.82422842 3620.27698289 4695.68432961 5647.18955436 5236.26907784
 4974.95869739 4240.04243557 5327.74543719 5161.12399763 4926.79776894
 5856.95449138 4331.68466171 4806.15107004 4792.55943791 5366.78211248
 5557.47296588 4565.2061461  4427.4700588  5352.01940665 5001.22438971
 4885.95918405 5101.39081857 5086.06527755 5609.27394605 3944.21149102
 5443.11846757 4559.57202312 4678.79125542 4661.57457683 5298.99078937
 4583.79341283 4790.31638169 4648.8861887  5134.86106591 5384.64064667
 5251.99334782 4721.74934062 5110.73450937 5407.00856179 5375.54680155
 3806.41736434 5307.78944014 4595.36596404 5384.59528296 5668.21595069]"	"[415.7471805  388.56559932 437.93252732 438.26369636 418.40389695
 209.37408002  78.97286076 424.82737873 116.77556047 267.74707085
 123.29999386 308.78911786 221.03672213 253.39996038 343.04458787
 208.1836421  379.23828611 256.84040068 343.50393584 424.80149769
  50.79051478 227.61103539  50.79051478 105.02124643 411.11232539
 270.45663078  55.19967264 328.60353711  72.5755018   77.17811576
 433.60363993 342.23035788 334.93724545 380.61894781 423.55833974
 340.11348791  96.03583695 294.14288419 244.21116458 334.26979647
 304.07649139 437.93358372 233.94644514  40.21182111 381.99066687
 186.81049087 348.48973147 399.33933696 279.03059532 238.82480646
 331.3720877  358.49407011 118.16063514 305.7772666  154.87086842
 114.04745117 112.72042065 288.945335   413.29020017 328.75114349
  60.07035925 415.65798671 428.6672658   42.73209979 423.17284484
 266.28495336 347.09661709 194.50118299 302.99443166 387.99338543
 391.18994424 274.10218961 334.5330748  453.65315076 361.30104955
  79.83486893 350.13295195 408.84520428 231.32251062 381.2749311
 410.33709064 280.9702312   86.74030374 392.71474046 404.46825829
 200.51576007 343.39265256 158.14202625 420.78363952 338.60317372
 368.40152715 404.12334379 198.0749331  425.37246663 378.11801549
 111.24128378 221.30533131  40.21182111 111.24128378 220.24214903]"	"[1199.83533031 1130.49434208 1213.88409708 1191.69624254 1137.6037977
 1151.06418446 1088.78382061 1295.81045884 1049.4        1157.26707269
  996.6        1177.         1120.9        1207.25        992.46438644
 1185.23936698 1038.95       1265.0496078  1168.75       1255.43650349
 1076.35       1093.03642024 1119.0117183  1013.65       1137.15691665
 1153.9        1093.4        1198.45       1147.3        1096.7
 1127.47468803 1092.51048351 1101.65       1152.34854125 1133.
 1223.67018117 1249.05       1201.53406056 1173.7        1098.99109917
 1133.         1140.18295941 1114.49763673 1169.3        1137.4
 1217.15       1191.3        1092.47491395 1196.8        1198.45
 1151.15       1156.92026374 1205.83354136 1134.74842042 1157.75
 1119.25       1049.4        1109.22028034 1190.06239078 1225.4
 1090.1        1177.17163836 1223.75       1056.55       1127.36949276
 1170.95       1130.25       1132.99048262 1133.         1050.5
 1271.05       1163.22180914 1186.70634228 1211.65       1178.1
 1067.         1173.7        1128.63803632 1134.1        1086.25
 1186.35       1185.25       1180.15454952 1037.24186869 1195.15
 1173.15       1086.21467527 1027.99371218 1210.68654006 1167.65
 1142.20658967 1008.7        1137.4        1135.79177493 1222.65
 1079.1        1158.3        1120.9        1114.17081331 1202.85      ]"	"[422.46783495 428.5436623  456.90091747 440.8561087  433.62122429
 221.07677113  78.97286076 431.63828961 118.29350959 280.69630688
 129.50078228 324.56405723 223.82162375 256.23683812 383.9942519
 208.1836421  398.36486896 259.33404773 350.73502987 431.01301392
  50.79051478 242.70297619  50.79051478 107.49178048 427.44274273
 276.3361914   55.19967264 336.04243954  72.5755018   77.17811576
 451.6292115  357.91380219 340.88150715 391.56299142 427.22967838
 343.72051858  96.03583695 305.32599717 244.49800633 346.09589418
 314.20312385 451.6292115  255.77132525  40.21182111 398.17936714
 187.18459212 349.95199361 417.71855346 284.58573887 243.77991978
 335.16203226 365.77335966 118.1627521  316.97311579 154.87086842
 114.04745117 113.01475855 292.30077809 424.34030218 337.33233523
  61.2124336  424.73859779 437.77514003  43.890657   440.29084409
 268.6058842  352.69435158 197.16772318 314.20312385 403.81672764
 393.63115639 282.66631069 348.11338022 459.18028526 369.75547813
  80.24728917 357.5700642  416.37424487 232.29830902 394.14624937
 423.11645724 283.53847396  86.74030374 419.07021526 406.21712506
 205.91762371 350.73502987 158.20660394 447.2743733  347.37166214
 373.43468351 425.59291616 199.37192987 436.25073955 383.58477828
 111.24128378 225.42520428  40.21182111 111.24128378 220.24214903]"
PS2C_NEW	18.82±3.34%	36.57±3.84%	55.39±3.57%	44.61±3.57%	23.02±3.82%	70.23±15.66	0	1142.96±61.69	287.29±129.06	279.57±124.21	863.39±121.24	97.76±2.08%	24.36±10.74%	17.23±0.93	34.84±1.89%	75.08±1.72%	33.97±3.59	4983.47±485.38	"[5671.78471805 4686.71902863 5302.40484302 5205.08136964 4883.85176124
 5218.75431484 4664.99878399 4942.90880652 4636.73755605 4536.04956251
 4261.80436633 4694.1579097  5270.01367221 5087.16026343 4333.64562701
 5153.11836421 4377.8751232  6079.12904007 4849.33645266 5886.88917533
 5464.1980973  5246.74939321 4171.21736046 4372.8110437  4441.33272816
 4791.65566308 4813.85487479 5013.01535371 5218.31501886 5158.04781158
 4649.84076833 4350.15253062 4113.35407765 5103.27689478 4805.48575493
 5204.55810466 4684.6985837  5549.06703718 6099.35133752 4727.63485303
 5387.10764914 5090.10506243 4791.97914342 5476.69344568 5068.89120799
 5396.96604909 4450.3784273  4791.4564423  4551.49905778 5324.03748065
 5541.56761884 5070.79355961 4646.47524912 4585.30978287 5022.99015305
 4694.87922842 3620.27698289 4896.43844323 5847.06610309 5236.26907784
 4974.95869739 4339.08171923 5327.74543719 5161.12399763 4926.79776894
 6157.66069138 4432.83966171 4906.8651183  4792.55943791 5366.78211248
 5757.80296588 4565.2061461  4427.4700588  5352.01940665 5201.45538971
 5086.67418405 5101.39081857 5286.49782133 5609.27394605 3944.21149102
 5443.11846757 4559.57202312 4779.62393089 4762.12457683 5298.99078937
 4583.79341283 4790.31638169 4749.39909824 5134.86106591 5384.64064667
 5352.44695626 4721.74934062 5110.73450937 5407.00856179 5375.54680155
 3806.41736434 5307.78944014 4595.36596404 5584.99486429 5668.21595069]"	"[415.7471805  388.56559932 437.93252732 438.26369636 418.40389695
 210.45452659  78.97286076 423.78806516 116.77556047 267.74707085
 123.29999386 308.78911786 221.03672213 253.39996038 343.04458787
 208.1836421  379.23828611 256.84040068 343.50393584 423.88814723
  50.79051478 227.82278451  50.79051478 105.02124643 411.11232539
 270.45663078  55.19967264 328.60353711  72.5755018   77.17811576
 433.60363993 342.23035788 334.93724545 380.61894781 423.55833974
 340.11348791  96.03583695 294.14288419 244.21116458 334.26979647
 304.07649139 437.93358372 233.94644514  40.21182111 381.99066687
 186.81049087 348.48973147 399.33933696 279.03059532 238.82480646
 331.3720877  357.75155386 118.16063514 305.7772666  154.87086842
 114.04745117 112.72042065 288.50327359 413.29020017 328.75114349
  60.07035925 415.65798671 428.6672658   42.73209979 423.17284484
 266.28495336 347.09661709 194.50118299 302.99443166 387.99338543
 391.18994424 274.10218961 334.5330748  453.65315076 361.30104955
  79.83486893 350.13295195 408.84520428 231.32251062 381.2749311
 410.33709064 280.9702312   86.74030374 392.71474046 404.46825829
 200.51576007 343.39265256 158.14202625 420.78363952 338.60317372
 367.58102183 404.12334379 198.0749331  425.37246663 378.11801549
 111.24128378 221.30533131  40.21182111 111.24128378 220.24214903]"	"[1197.9        1121.37531304 1213.88409708 1187.45       1128.57268827
 1146.64463103 1080.75       1294.7        1049.4        1157.26707269
  996.6        1177.         1120.9        1207.25        992.46438644
 1177.         1038.95       1265.55       1168.75       1250.7
 1076.35       1093.95       1113.2        1013.65       1137.15691665
 1153.9        1093.4        1198.45       1144.         1096.7
 1127.47468803 1092.51048351 1101.65       1147.85       1133.
 1209.45       1249.05       1201.53406056 1173.7        1098.99109917
 1133.         1136.88295941 1111.19763673 1169.3        1137.4
 1217.15       1191.3        1084.77491395 1196.8        1198.45
 1151.15       1149.81595774 1211.1        1133.09842042 1157.75
 1118.7        1049.4        1100.55       1193.17092096 1225.4
 1090.1        1190.2        1223.75       1056.55       1127.36949276
 1162.7        1118.7        1125.85       1133.         1050.5
 1267.75       1163.22180914 1186.70634228 1211.65       1174.25
 1059.85       1173.7        1120.35       1134.1        1086.25
 1186.35       1185.25       1170.95       1031.74186869 1195.15
 1173.15       1086.21467527 1024.1        1210.68654006 1167.65
 1136.85       1008.7        1137.4        1135.79177493 1222.65
 1079.1        1158.3        1120.9        1109.9        1202.85      ]"	"[422.46783495 428.5436623  456.90091747 440.8561087  433.62122429
 221.07677113  78.97286076 431.63828961 118.29350959 280.69630688
 129.50078228 324.56405723 223.82162375 256.23683812 383.9942519
 208.1836421  398.36486896 259.33404773 350.73502987 431.01301392
  50.79051478 242.70297619  50.79051478 107.49178048 427.44274273
 276.3361914   55.19967264 336.04243954  72.5755018   77.17811576
 451.6292115  357.91380219 340.88150715 391.56299142 427.22967838
 343.72051858  96.03583695 305.32599717 244.49800633 346.09589418
 314.20312385 451.6292115  255.77132525  40.21182111 398.17936714
 187.18459212 349.95199361 417.71855346 284.58573887 243.77991978
 335.16203226 365.77335966 118.1627521  316.97311579 154.87086842
 114.04745117 113.01475855 292.30077809 424.34030218 337.33233523
  61.2124336  424.73859779 437.77514003  43.890657   440.29084409
 268.6058842  352.69435158 197.16772318 314.20312385 403.81672764
 393.63115639 282.66631069 348.11338022 459.18028526 369.75547813
  80.24728917 357.5700642  416.37424487 232.29830902 394.14624937
 423.11645724 283.53847396  86.74030374 419.07021526 406.21712506
 205.91762371 350.73502987 158.20660394 447.2743733  347.37166214
 373.43468351 425.59291616 199.37192987 436.25073955 383.58477828
 111.24128378 225.42520428  40.21182111 111.24128378 220.24214903]"
BASELINE	25.99±4.21%	29.41±4.43%	55.40±3.57%	44.60±3.57%	23.03±3.82%	82.71±16.28	0	1272.80±91.72	287.29±129.06	282.46±126.01	990.34±112.62	98.64±3.25%	21.94±9.50%	19.17±1.14	38.77±2.31%	79.00±2.81%	33.96±3.59	4111.09±549.75	"[4751.21780823 4079.07372816 4489.48020186 4686.67367965 4372.15513934
 4310.95239184 3655.21327765 4229.16288059 3524.12712393 2936.84027144
 3653.48218014 3977.42400647 4357.61395441 4075.02454684 3825.20942536
 4334.89137237 3766.34865593 5356.83447526 3936.33042097 5268.45616035
 4055.63397683 3938.7375455  3174.55460474 3464.76418253 3830.84797951
 4079.61363443 3209.22341902 4497.44879367 3909.73986899 3950.26419642
 3941.54084214 3540.69727498 3302.87091543 4384.5799191  3893.91053353
 4890.62156    3579.31203789 4735.03037777 5282.67644785 3515.91244847
 4372.91453991 4179.04216878 3383.93572695 4068.11579472 4152.36225624
 4284.59865139 3739.15591551 4076.26468274 3940.39894627 4409.73453914
 4624.1378943  4553.22992792 3642.34077154 3776.59645517 4308.95405726
 3783.90194137 2619.01016176 4278.78858938 5226.86731552 4123.17831958
 3465.85317929 4030.33667537 4712.70152156 3948.307054   4115.60088096
 5143.70293827 3422.46398345 3795.31999908 3874.62787264 4846.49331252
 4635.68526431 3755.1621426  3419.42408907 4735.1644733  4384.0810292
 3874.00981046 4384.07331452 4673.56805879 4691.10542462 3435.61403004
 4429.97755778 3644.14508351 3175.27392048 4544.37820847 4986.2841298
 3773.8996002  3976.26009402 3634.2283581  4326.34641467 4464.29093665
 4340.16865647 4305.86158013 4393.19086736 4497.90125236 4657.56832182
 2899.35945117 4592.86412406 3388.29731453 4570.30279905 4857.20780075]"	"[420.18064692 379.37426393 456.81539136 440.8561087  433.00348035
 217.42260238  78.97286076 431.63828961 116.10595907 246.32899869
 126.48509139 322.34309158 223.82162375 256.23683812 309.58440246
 208.1836421  363.85764318 259.33404773 347.62663888 431.01301392
  50.79051478 242.70297619  50.79051478 100.7073769  424.78240992
 274.59745255  55.19967264 335.01688523  72.5755018   77.17811576
 422.68414606 357.42238613 338.68650521 388.82689268 422.01586651
 343.72051858  96.03583695 305.32599717 244.49800633 346.09589418
 314.20312385 441.52535773 232.59335306  40.21182111 387.59835846
 187.18459212 349.68214289 364.61722109 284.58573887 243.77991978
 335.16203226 365.77335966 118.1627521  316.97311579 154.86680055
 114.04745117 113.01475855 292.02301729 424.34030218 337.05010375
  61.2124336  423.36793252 437.77514003  43.890657   436.72523893
 264.07863782 351.90564506 196.19828301 314.20312385 390.36589491
 392.15150149 281.87075044 344.71689583 459.18028526 369.75547813
  78.34878601 357.5700642  414.74832728 232.29830902 394.14624937
 421.98901015 282.97453007  86.74030374 393.78659837 406.21712506
 205.91762371 346.00502657 158.20660394 408.51588356 347.34075071
 373.43468351 406.17479795 199.37192987 436.25073955 383.58477828
 111.24128378 225.42520428  40.21182111 111.24128378 220.24214903]"	"[1408.00256467 1188.63698228 1362.01337273 1374.11931224 1268.72422508
 1228.44946754 1177.67877274 1440.0094837  1174.83471978 1107.70102331
 1077.93193452 1286.25551657 1247.68207969 1351.68743733 1096.1546746
 1359.26991844 1131.33865563 1490.98929515 1277.13806141 1490.76080693
 1161.03651063 1207.09317836 1159.53841313 1115.24493249 1246.11562066
 1278.46110823 1125.4296047  1360.52894852 1225.63127857 1174.53615151
 1209.6775558  1201.87912715 1219.15589478 1343.02770168 1277.85432729
 1375.40766006 1302.91545801 1355.86035757 1378.9972983  1219.26535519
 1285.05772476 1251.1036699  1177.64632982 1257.22299784 1294.61018697
 1341.19807825 1279.33496472 1201.97039371 1330.07303992 1346.43452833
 1325.9573629  1333.47408044 1213.12351582 1229.53965524 1298.4276397
 1219.2353965  1064.55047077 1259.40016533 1426.72928082 1374.02948771
 1170.91587829 1292.84606732 1425.72246396 1175.03850238 1271.09827673
 1332.86581176 1227.26581058 1242.99829225 1283.94718674 1279.6580633
 1471.83058339 1268.33251725 1277.51889801 1378.57761623 1329.32912973
 1169.84743313 1330.25705479 1289.98975023 1343.57065214 1179.07286594
 1358.03858923 1341.52369494 1195.94286069 1229.92082339 1351.23989748
 1281.64550916 1249.36574412 1154.63038205 1299.83506123 1352.96755921
 1264.38900953 1177.5572805  1347.33476852 1289.71015671 1407.90156011
 1117.24895447 1341.73081686 1186.04899724 1259.50345522 1346.239404  ]"	"[422.46783495 428.5436623  456.90091747 440.8561087  433.62122429
 221.07677113  78.97286076 431.63828961 118.29350959 280.69630688
 129.50078228 324.56405723 223.82162375 256.23683812 383.9942519
 208.1836421  398.36486896 259.33404773 350.73502987 431.01301392
  50.79051478 242.70297619  50.79051478 107.49178048 427.44274273
 276.3361914   55.19967264 336.04243954  72.5755018   77.17811576
 451.6292115  357.91380219 340.88150715 391.56299142 427.22967838
 343.72051858  96.03583695 305.32599717 244.49800633 346.09589418
 314.20312385 451.6292115  255.77132525  40.21182111 398.17936714
 187.18459212 349.95199361 417.71855346 284.58573887 243.77991978
 335.16203226 365.77335966 118.1627521  316.97311579 154.87086842
 114.04745117 113.01475855 292.30077809 424.34030218 337.33233523
  61.2124336  424.73859779 437.77514003  43.890657   440.29084409
 268.6058842  352.69435158 197.16772318 314.20312385 403.81672764
 393.63115639 282.66631069 348.11338022 459.18028526 369.75547813
  80.24728917 357.5700642  416.37424487 232.29830902 394.14624937
 423.11645724 283.53847396  86.74030374 419.07021526 406.21712506
 205.91762371 350.73502987 158.20660394 447.2743733  347.37166214
 373.43468351 425.59291616 199.37192987 436.25073955 383.58477828
 111.24128378 225.42520428  40.21182111 111.24128378 220.24214903]"
