Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
PS2C	21.54±4.80%	58.73±6.81%	80.27±5.87%	19.73±5.87%	8.41±4.04%	61.39±14.86	0	1054.24±57.70	319.12±122.42	307.15±116.36	747.09±120.98	96.64±2.23%	29.13±10.99%	18.82±1.20	38.06±2.42%	76.87±1.53%	30.39±4.06	4611.51±505.66	"[4659.85626905 4427.10791013 3955.7202196  4292.98005164 4481.74430281
 3899.40591693 5018.49643708 3553.45483125 4182.71308946 4168.78591818
 4592.11105803 4389.02440312 4650.66736776 4279.31967597 3723.730998
 4383.64988761 4923.55462313 5139.81038816 4108.20867358 4087.07368205
 4511.72430708 4318.23187749 4704.34466365 5791.91782193 4164.84597207
 4783.89638628 4281.00301786 4375.10172961 4468.67884825 4571.88825812
 4280.08948202 5390.81985304 4462.69145809 4571.38878745 4619.99920556
 4890.8682504  4520.35638269 4407.57621604 4559.36737349 4233.10735698
 5123.36133241 5130.56258677 4113.69426794 5127.46145284 5686.29226498
 5882.14342562 4064.62910579 5098.08335767 4947.18141305 4859.6088376
 4081.84196626 5277.40531685 5349.22150184 4264.69395336 4825.37327903
 5251.04467639 5029.47601026 5062.89192534 4387.64045844 4866.35894987
 5647.47696872 4770.99442933 5242.38290557 4621.96665494 4914.41866911
 4513.47272417 3467.08058799 4485.79753418 4538.37835413 4579.57623667
 5549.82854669 4884.11411075 4916.75959365 4585.93251317 4545.38560997
 5101.2621775  4911.19550031 4630.02041103 4197.45740502 5632.76885779
 4691.24280135 3731.68529147 4266.15224597 5358.27315021 4860.45275015
 4920.55002228 4410.19503618 4870.55676858 3734.6259339  3888.62208827
 4460.16328408 4136.82519499 4200.63892688 4594.02748047 3878.51994288
 4687.92466867 4402.86770355 5213.2896612  4295.06340313 3559.09930056]"	"[374.85796128 409.52040179 438.7782282  380.63817548 399.73808129
  64.3535638  431.39739148 428.77169966 214.68213541 334.88819106
 241.43041599 403.18988687 115.01883912 224.44675974 327.83919866
 395.25047898 453.92193479 462.51853568 421.38497675 390.29323904
 349.67395964  55.19967264 396.64679929 347.77821931 267.05584432
 187.89814771 232.48017859 292.77180021  98.16221455 271.03933428
 297.86240788 302.88536686 405.96269393  62.00024447 240.82252152
 431.53842459 367.50866232  55.29975455 350.74480309 388.83871654
 407.14369475 252.42419015 272.46392795 214.66452842 403.7367228
 330.03104107 368.23673742 336.91735487 415.70529932 324.26278818
 183.01439083 443.2009374  417.48676121 405.93298986 115.01883912
 463.91786006 200.9103037  412.01161898 316.24760629 224.10364357
  33.80384495 318.76468535 208.61607807 351.99315637 418.86104368
 361.9118363  438.61183538 406.06351825 391.87914084 399.69005524
 302.07792726 350.41901322 273.51770063  97.85926533 248.17497997
 198.40194202 352.65500306 412.04726394 359.09168361 176.53857789
 113.52801347 151.95696671 381.0901749  457.43150206 376.2323069
 418.30581716 225.64301521 335.01538699 327.56277117 405.33745174
 421.00512612 195.69926322 287.64509287 422.12480472 391.52610958
 388.81134578 180.23457132  91.4070294  206.1524062   14.93846487]"	"[ 996.89095166 1115.57788226  993.09249428 1138.96962567 1018.38044802
  947.65       1066.17166126 1094.22338711 1068.65       1147.02900923
 1010.35       1112.94585568 1047.2        1031.25        895.03748525
 1058.75160285 1077.1860658  1006.5        1044.22783201 1057.28656798
 1105.83761743  909.15       1051.16103573 1128.6        1060.29903444
 1048.93428487 1022.45       1134.1        1005.95       1053.8
 1061.07086471 1096.18710196 1082.95       1048.11237    1083.5
 1022.85592054  992.88173062 1108.8        1133.13192417  957.76514671
 1102.60238969 1140.15       1035.52124859 1040.05       1090.2844965
 1082.95        919.79519865  984.80852158 1112.1        1049.69895622
 1100.2072108  1095.60363497 1097.25       1011.58827622 1107.15
 1136.21018017 1061.3473021  1114.85       1009.8         960.51414489
 1079.1        1081.85       1063.3525068  1032.32660694 1148.68798164
 1081.3        1001.990367   1040.05       1088.92913786 1087.61064041
 1062.6        1109.9        1082.4         981.75        986.15
 1033.45       1140.7         948.75       1133.37717075 1048.85
 1101.1        1078.         1082.40791032 1074.7        1000.30631981
 1112.80559437 1045.         1014.93983187  883.3        1049.93544619
 1119.37228533  992.75        946.55       1081.85       1079.1
 1036.75       1014.75       1084.88766866 1036.5547724  1068.65      ]"	"[398.73962619 426.40284525 451.03616243 398.17936714 419.14423209
  71.10585416 466.4582803  447.2743733  222.91266783 348.11338022
 255.77132525 418.34883999 115.01883912 232.29830902 376.33870784
 433.62122429 472.95581881 493.53362221 440.41151578 409.04107534
 366.57337396  55.19967264 409.33537857 363.31606418 280.75206098
 199.37192987 238.30761527 296.63939525  98.16221455 280.00105609
 305.32599717 318.83197527 426.66430007  62.00024447 249.54824029
 447.11802595 382.13312098  55.29975455 352.04863043 406.59174492
 418.8246676  255.98585323 284.58573887 221.87375019 416.58817524
 330.50151326 391.90463964 350.74506201 427.70640699 332.89441678
 183.38167754 468.17156405 431.01301392 428.16522705 115.01883912
 480.17771305 207.84184115 422.46783495 338.17010989 235.07012796
  33.80384495 332.4280971  218.70823287 357.80504692 428.02748754
 379.224077   463.39855133 419.08393078 410.88758124 418.29333118
 302.92035844 359.34646073 276.3361914   97.85926533 253.5016906
 204.33606417 353.51934354 427.70640699 382.34110207 181.77999396
 116.84941538 153.83421605 394.14624937 466.4582803  400.70933723
 430.80614449 230.66912607 343.72051858 331.87315692 424.36874012
 435.76589552 207.84184115 299.34047567 434.90129981 406.89303484
 406.06240108 182.70221847  91.4070294  206.1524062   14.93846487]"
PS2C_MIN	21.54±4.80%	58.73±6.81%	80.27±5.87%	19.73±5.87%	8.41±4.04%	61.39±14.86	0	1054.24±57.70	319.12±122.42	307.15±116.36	747.09±120.98	96.64±2.23%	29.13±10.99%	18.82±1.20	38.06±2.42%	76.87±1.53%	30.39±4.06	4611.51±505.66	"[4659.85626905 4427.10791013 3955.7202196  4292.98005164 4481.74430281
 3899.40591693 5018.49643708 3553.45483125 4182.71308946 4168.78591818
 4592.11105803 4389.02440312 4650.66736776 4279.31967597 3723.730998
 4383.64988761 4923.55462313 5139.81038816 4108.20867358 4087.07368205
 4511.72430708 4318.23187749 4704.34466365 5791.91782193 4164.84597207
 4783.89638628 4281.00301786 4375.10172961 4468.67884825 4571.88825812
 4280.08948202 5390.81985304 4462.69145809 4571.38878745 4619.99920556
 4890.8682504  4520.35638269 4407.57621604 4559.36737349 4233.10735698
 5123.36133241 5130.56258677 4113.69426794 5127.46145284 5686.29226498
 5882.14342562 4064.62910579 5098.08335767 4947.18141305 4859.6088376
 4081.84196626 5277.40531685 5349.22150184 4264.69395336 4825.37327903
 5251.04467639 5029.47601026 5062.89192534 4387.64045844 4866.35894987
 5647.47696872 4770.99442933 5242.38290557 4621.96665494 4914.41866911
 4513.47272417 3467.08058799 4485.79753418 4538.37835413 4579.57623667
 5549.82854669 4884.11411075 4916.75959365 4585.93251317 4545.38560997
 5101.2621775  4911.19550031 4630.02041103 4197.45740502 5632.76885779
 4691.24280135 3731.68529147 4266.15224597 5358.27315021 4860.45275015
 4920.55002228 4410.19503618 4870.55676858 3734.6259339  3888.62208827
 4460.16328408 4136.82519499 4200.63892688 4594.02748047 3878.51994288
 4687.92466867 4402.86770355 5213.2896612  4295.06340313 3559.09930056]"	"[374.85796128 409.52040179 438.7782282  380.63817548 399.73808129
  64.3535638  431.39739148 428.77169966 214.68213541 334.88819106
 241.43041599 403.18988687 115.01883912 224.44675974 327.83919866
 395.25047898 453.92193479 462.51853568 421.38497675 390.29323904
 349.67395964  55.19967264 396.64679929 347.77821931 267.05584432
 187.89814771 232.48017859 292.77180021  98.16221455 271.03933428
 297.86240788 302.88536686 405.96269393  62.00024447 240.82252152
 431.53842459 367.50866232  55.29975455 350.74480309 388.83871654
 407.14369475 252.42419015 272.46392795 214.66452842 403.7367228
 330.03104107 368.23673742 336.91735487 415.70529932 324.26278818
 183.01439083 443.2009374  417.48676121 405.93298986 115.01883912
 463.91786006 200.9103037  412.01161898 316.24760629 224.10364357
  33.80384495 318.76468535 208.61607807 351.99315637 418.86104368
 361.9118363  438.61183538 406.06351825 391.87914084 399.69005524
 302.07792726 350.41901322 273.51770063  97.85926533 248.17497997
 198.40194202 352.65500306 412.04726394 359.09168361 176.53857789
 113.52801347 151.95696671 381.0901749  457.43150206 376.2323069
 418.30581716 225.64301521 335.01538699 327.56277117 405.33745174
 421.00512612 195.69926322 287.64509287 422.12480472 391.52610958
 388.81134578 180.23457132  91.4070294  206.1524062   14.93846487]"	"[ 996.89095166 1115.57788226  993.09249428 1138.96962567 1018.38044802
  947.65       1066.17166126 1094.22338711 1068.65       1147.02900923
 1010.35       1112.94585568 1047.2        1031.25        895.03748525
 1058.75160285 1077.1860658  1006.5        1044.22783201 1057.28656798
 1105.83761743  909.15       1051.16103573 1128.6        1060.29903444
 1048.93428487 1022.45       1134.1        1005.95       1053.8
 1061.07086471 1096.18710196 1082.95       1048.11237    1083.5
 1022.85592054  992.88173062 1108.8        1133.13192417  957.76514671
 1102.60238969 1140.15       1035.52124859 1040.05       1090.2844965
 1082.95        919.79519865  984.80852158 1112.1        1049.69895622
 1100.2072108  1095.60363497 1097.25       1011.58827622 1107.15
 1136.21018017 1061.3473021  1114.85       1009.8         960.51414489
 1079.1        1081.85       1063.3525068  1032.32660694 1148.68798164
 1081.3        1001.990367   1040.05       1088.92913786 1087.61064041
 1062.6        1109.9        1082.4         981.75        986.15
 1033.45       1140.7         948.75       1133.37717075 1048.85
 1101.1        1078.         1082.40791032 1074.7        1000.30631981
 1112.80559437 1045.         1014.93983187  883.3        1049.93544619
 1119.37228533  992.75        946.55       1081.85       1079.1
 1036.75       1014.75       1084.88766866 1036.5547724  1068.65      ]"	"[398.73962619 426.40284525 451.03616243 398.17936714 419.14423209
  71.10585416 466.4582803  447.2743733  222.91266783 348.11338022
 255.77132525 418.34883999 115.01883912 232.29830902 376.33870784
 433.62122429 472.95581881 493.53362221 440.41151578 409.04107534
 366.57337396  55.19967264 409.33537857 363.31606418 280.75206098
 199.37192987 238.30761527 296.63939525  98.16221455 280.00105609
 305.32599717 318.83197527 426.66430007  62.00024447 249.54824029
 447.11802595 382.13312098  55.29975455 352.04863043 406.59174492
 418.8246676  255.98585323 284.58573887 221.87375019 416.58817524
 330.50151326 391.90463964 350.74506201 427.70640699 332.89441678
 183.38167754 468.17156405 431.01301392 428.16522705 115.01883912
 480.17771305 207.84184115 422.46783495 338.17010989 235.07012796
  33.80384495 332.4280971  218.70823287 357.80504692 428.02748754
 379.224077   463.39855133 419.08393078 410.88758124 418.29333118
 302.92035844 359.34646073 276.3361914   97.85926533 253.5016906
 204.33606417 353.51934354 427.70640699 382.34110207 181.77999396
 116.84941538 153.83421605 394.14624937 466.4582803  400.70933723
 430.80614449 230.66912607 343.72051858 331.87315692 424.36874012
 435.76589552 207.84184115 299.34047567 434.90129981 406.89303484
 406.06240108 182.70221847  91.4070294  206.1524062   14.93846487]"
PS2C_NEW	21.00±4.84%	59.27±6.85%	80.27±5.87%	19.73±5.87%	8.41±4.04%	61.32±14.87	0	1053.71±57.78	319.12±122.42	307.47±116.61	746.24±120.92	96.71±2.14%	29.17±11.01%	18.81±1.20	38.04±2.43%	76.85±1.52%	30.39±4.06	4649.58±508.72	"[4659.85626905 4427.10791013 3955.7202196  4292.98005164 4581.74430281
 3899.40591693 5018.49643708 3553.45483125 4383.31441514 4168.78591818
 4692.22105803 4389.02440312 4650.66736776 4279.31967597 3723.730998
 4483.64988761 5223.81642642 5139.81038816 4108.20867358 4087.07368205
 4511.72430708 4318.23187749 4704.34466365 5891.91782193 4164.84597207
 4883.89638628 4381.49801786 4375.10172961 4568.67884825 4571.88825812
 4379.77250552 5390.81985304 4462.69145809 4671.42502445 4619.99920556
 4890.8682504  4921.34788591 4507.57621604 4660.0680659  4233.10735698
 5123.36133241 5130.56258677 4113.69426794 5127.46145284 5686.29226498
 5882.14342562 4165.11813505 5098.08335767 4947.18141305 4960.18873323
 4382.0723268  5277.40531685 5449.49650184 4364.69395336 4825.37327903
 5351.20069441 5130.29184839 5062.89192534 4387.64045844 4866.35894987
 5647.47696872 4770.99442933 5242.38290557 4820.80931564 5015.10630507
 4513.47272417 3467.08058799 4485.79753418 4538.37835413 4579.57623667
 5549.82854669 4884.11411075 4916.75959365 4585.93251317 4545.38560997
 5101.2621775  4911.19550031 4630.02041103 4297.45740502 5632.76885779
 4691.24280135 3731.68529147 4266.15224597 5358.27315021 4860.45275015
 4920.55002228 4410.19503618 4971.07075177 3734.6259339  3988.62208827
 4460.16328408 4136.82519499 4200.63892688 4594.02748047 3878.51994288
 4788.30966867 4402.86770355 5314.19842807 4395.17396583 3559.09930056]"	"[374.85796128 409.52040179 438.7782282  380.63817548 404.35763328
  64.3535638  431.39739148 430.51232315 214.68213541 334.88819106
 241.43041599 403.18988687 115.01883912 224.44675974 327.83919866
 415.30521968 453.92193479 462.51853568 421.38497675 390.29323904
 349.67395964  55.19967264 396.64679929 347.77821931 267.05584432
 187.89814771 232.48017859 292.77180021  98.16221455 271.03933428
 297.86240788 302.88536686 405.96269393  62.00024447 240.82252152
 431.53842459 366.48680918  55.29975455 350.74480309 388.83871654
 407.14369475 252.42419015 272.46392795 214.66452842 403.7367228
 330.03104107 368.23673742 336.91735487 415.70529932 324.26278818
 183.01439083 443.2009374  417.48676121 405.93298986 115.01883912
 463.91786006 200.9103037  412.01161898 316.24760629 224.10364357
  33.80384495 318.76468535 208.61607807 351.99315637 418.86104368
 361.9118363  438.61183538 406.06351825 391.87914084 399.69005524
 302.07792726 350.41901322 273.51770063  97.85926533 248.17497997
 198.40194202 352.65500306 412.04726394 365.86451285 176.53857789
 113.52801347 151.95696671 381.0901749  457.43150206 376.2323069
 418.30581716 225.64301521 335.01538699 327.56277117 405.33745174
 421.00512612 195.69926322 287.64509287 422.12480472 391.52610958
 388.81134578 180.23457132  91.4070294  206.1524062   14.93846487]"	"[ 996.89095166 1115.57788226  993.09249428 1138.96962567 1023.
  947.65       1066.17166126 1095.9640106  1062.6        1147.02900923
 1009.25       1112.94585568 1047.2        1031.25        895.03748525
 1078.80634354 1071.95       1006.5        1044.22783201 1057.28656798
 1105.83761743  909.15       1051.16103573 1128.6        1060.29903444
 1048.93428487 1017.5        1134.1        1005.95       1053.8
 1064.8        1096.18710196 1082.95       1047.75       1083.5
 1022.85592054  980.80201591 1108.8        1124.75        957.76514671
 1102.60238969 1140.15       1035.52124859 1040.05       1090.2844965
 1082.95        913.55        984.80852158 1112.1        1042.25
 1095.6        1095.60363497 1091.75       1011.58827622 1107.15
 1134.65       1053.25       1114.85       1009.8         960.51414489
 1079.1        1081.85       1063.3525068  1043.9        1139.6
 1081.3        1001.990367   1040.05       1088.92913786 1087.61064041
 1062.6        1109.9        1082.4         981.75        986.15
 1033.45       1140.7         948.75       1140.15       1048.85
 1101.1        1078.         1082.40791032 1074.7        1000.30631981
 1112.80559437 1045.         1009.8         883.3        1049.93544619
 1119.37228533  992.75        946.55       1081.85       1079.1
 1031.25       1014.75       1075.8        1035.1        1068.65      ]"	"[398.73962619 426.40284525 451.03616243 398.17936714 419.14423209
  71.10585416 466.4582803  447.2743733  222.91266783 348.11338022
 255.77132525 418.34883999 115.01883912 232.29830902 376.33870784
 433.62122429 472.95581881 493.53362221 440.41151578 409.04107534
 366.57337396  55.19967264 409.33537857 363.31606418 280.75206098
 199.37192987 238.30761527 296.63939525  98.16221455 280.00105609
 305.32599717 318.83197527 426.66430007  62.00024447 249.54824029
 447.11802595 382.13312098  55.29975455 352.04863043 406.59174492
 418.8246676  255.98585323 284.58573887 221.87375019 416.58817524
 330.50151326 391.90463964 350.74506201 427.70640699 332.89441678
 183.38167754 468.17156405 431.01301392 428.16522705 115.01883912
 480.17771305 207.84184115 422.46783495 338.17010989 235.07012796
  33.80384495 332.4280971  218.70823287 357.80504692 428.02748754
 379.224077   463.39855133 419.08393078 410.88758124 418.29333118
 302.92035844 359.34646073 276.3361914   97.85926533 253.5016906
 204.33606417 353.51934354 427.70640699 382.34110207 181.77999396
 116.84941538 153.83421605 394.14624937 466.4582803  400.70933723
 430.80614449 230.66912607 343.72051858 331.87315692 424.36874012
 435.76589552 207.84184115 299.34047567 434.90129981 406.89303484
 406.06240108 182.70221847  91.4070294  206.1524062   14.93846487]"
BASELINE	31.73±5.85%	48.54±7.62%	80.27±5.87%	19.73±5.87%	8.41±4.04%	73.48±15.85	0	1185.38±82.92	319.12±122.42	312.40±119.13	872.98±121.58	98.18±3.28%	26.26±9.88%	21.13±1.13	42.73±2.29%	81.54±3.08%	30.39±4.06	3886.42±558.45	"[4043.71268668 3719.92452134 3248.83375851 3783.34770277 4169.70171986
 2794.02517644 4504.73751761 2950.19742652 3469.37486226 3270.45390739
 4274.76398585 3784.16352886 3836.33889598 3471.82319918 3115.53274403
 3974.2664322  4113.15521166 4323.87924976 3498.98671966 3380.93463691
 3804.47460206 3504.83233058 4088.57958284 4774.54813432 3458.87810954
 3772.82601958 3471.19632955 3261.92444241 3558.88289515 3463.15648077
 3567.91709299 4578.14822615 3949.90970433 3759.69233089 4105.85685206
 4377.21253923 4106.0143409  3102.58987367 3941.16201595 3622.85926215
 4509.22658216 4418.14765045 3504.36976658 4505.04430405 4870.5541745
 5161.80597148 3750.84811177 4183.90689177 4435.75200431 4044.39376956
 3373.97815527 4956.43221212 4731.05956337 3554.1197833  3610.855227
 4830.57850075 4408.33416705 4744.18486479 3583.48569735 3955.54868791
 4139.40069768 3660.43543693 4529.49147375 4304.33762088 4498.66371133
 3506.32339467 2865.03126432 3772.83064261 4135.2815968  3773.04033259
 4931.1714497  4172.72167614 4196.83872998 3971.00840718 3532.09263284
 4380.05240842 4293.33931272 4014.72189636 3789.23755272 4612.12976285
 3781.07843929 2722.51840418 3358.7906484  4730.28557338 4242.95115297
 4204.48049314 3399.50214347 4552.44451144 3222.29544026 3281.63144262
 3654.31347391 3329.0917513  3294.85060453 3780.59709019 2873.71017319
 4269.98495438 3792.67313799 4198.5107473  3581.49882336 2161.32501124]"	"[394.55440294 421.65065272 443.59047869 396.4481684  417.49309575
  70.69333641 408.21452474 441.45045827 222.86606123 333.34819021
 236.99241568 415.07026742 114.00065341 231.48184587 322.68140982
 432.99263135 466.32796059 488.02444933 438.43560283 405.71681461
 353.19479241  53.92424562 407.53233784 363.31606418 254.32039622
 196.48853683 238.30761527 296.63939525  98.16221455 254.95874442
 303.40516461 313.89402184 424.53506581  61.8884336  248.49756321
 415.05099162 376.44637466  55.26890493 352.04863043 403.27549045
 407.55903882 255.98585323 279.85631956 221.87375019 416.11592372
 330.50151326 348.36348385 346.73723831 425.99069211 325.88410924
 183.06580766 449.43054461 431.01301392 423.00797831 115.01883912
 480.17771305 202.53948563 422.46783495 337.08152355 228.44034097
  33.80384495 332.4280971  218.70823287 357.79753493 424.33049895
 371.87084139 372.08808854 416.91142714 405.75904392 395.91439841
 300.28064646 359.34646073 276.3361914   97.85926533 253.5016906
 204.33606417 353.51934354 415.1817689  382.34110207 181.77999396
 116.84941538 153.83421605 388.29996844 464.99317348 381.40417504
 429.43260998 230.66912607 342.65883078 307.96332214 420.51982577
 434.90852706 206.7563904  291.08680596 433.65947558 398.07155033
 390.10176027 178.36810556  91.20731059 205.48959948  14.93846487]"	"[1196.76189204 1223.93175454 1064.04364496 1225.75938112 1167.16643219
  993.82114623 1186.14818381 1139.47619309 1162.27180803 1128.80911635
 1171.70623986 1173.43497879 1174.60492654 1113.2498541   974.87809376
 1190.32830939 1247.3021122  1186.61034954 1149.95155482 1139.60836097
 1221.83600854 1078.12698844 1202.9846929  1317.834721   1106.70527561
 1168.22834098 1126.34431977 1220.69760264 1134.05252623 1108.66780117
 1186.09762889 1273.27699666 1214.59042565 1164.96512472 1219.93567682
 1142.92559934 1151.18145452 1123.50878566 1291.71523275 1074.68286892
 1320.19219228 1281.69001677 1136.15865373 1271.43070965 1282.05178406
 1366.24768873 1069.38622061 1156.57558155 1276.06627182 1211.78249543
 1170.39380523 1303.55086496 1334.48655424 1131.68873417 1229.24988059
 1332.44489496 1264.87794146 1301.32124404 1105.14987662 1072.95346186
 1144.04013443 1189.21283637 1206.19055554 1214.42132612 1364.52189242
 1162.49343754 1010.89531282 1180.8769834  1170.06716629 1182.8212464
 1273.93717367 1256.42478862 1265.51872455 1132.34091046 1118.46312034
 1246.64433901 1320.12621633 1114.96209957 1227.9225027  1260.48236544
 1206.0650225  1127.16818805 1153.61703303 1362.13743966 1199.63459206
 1284.62767855 1183.61748339 1215.3745975  1002.24638721 1133.97418088
 1191.77378799 1076.58388711 1065.917694   1227.6885737  1126.72245529
 1245.55129672 1119.65783348 1214.31106678 1171.11470126 1031.73466895]"	"[398.73962619 426.40284525 451.03616243 398.17936714 419.14423209
  71.10585416 466.4582803  447.2743733  222.91266783 348.11338022
 255.77132525 418.34883999 115.01883912 232.29830902 376.33870784
 433.62122429 472.95581881 493.53362221 440.41151578 409.04107534
 366.57337396  55.19967264 409.33537857 363.31606418 280.75206098
 199.37192987 238.30761527 296.63939525  98.16221455 280.00105609
 305.32599717 318.83197527 426.66430007  62.00024447 249.54824029
 447.11802595 382.13312098  55.29975455 352.04863043 406.59174492
 418.8246676  255.98585323 284.58573887 221.87375019 416.58817524
 330.50151326 391.90463964 350.74506201 427.70640699 332.89441678
 183.38167754 468.17156405 431.01301392 428.16522705 115.01883912
 480.17771305 207.84184115 422.46783495 338.17010989 235.07012796
  33.80384495 332.4280971  218.70823287 357.80504692 428.02748754
 379.224077   463.39855133 419.08393078 410.88758124 418.29333118
 302.92035844 359.34646073 276.3361914   97.85926533 253.5016906
 204.33606417 353.51934354 427.70640699 382.34110207 181.77999396
 116.84941538 153.83421605 394.14624937 466.4582803  400.70933723
 430.80614449 230.66912607 343.72051858 331.87315692 424.36874012
 435.76589552 207.84184115 299.34047567 434.90129981 406.89303484
 406.06240108 182.70221847  91.4070294  206.1524062   14.93846487]"
