Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
PS2C	21.48±5.26%	66.20±5.59%	87.68±5.99%	12.32±5.99%	5.03±3.79%	62.06±14.46	0	1012.40±66.11	260.44±120.58	250.53±114.12	761.87±122.04	96.76±2.60%	24.73±11.18%	19.28±1.06	38.98±2.15%	77.41±1.70%	27.89±4.74	4436.04±358.17	"[4218.96977738 4152.03048762 3977.0452095  4596.54780164 4676.79658886
 4782.3292956  4254.98056389 4893.50738306 5102.29681736 4262.46710662
 4158.38410102 4254.04791624 4143.93966704 4711.18227283 4516.94216583
 4824.40409161 4697.54858874 4326.61248116 4323.42222615 4381.31620329
 4954.57655754 3733.23788305 4262.688032   4620.34305776 5031.37949703
 4545.61535163 4581.63023293 4929.27535268 4491.40934341 4605.69994453
 5091.14520144 4580.19654416 4049.71321548 4963.35531093 4603.31585854
 3953.14685925 3920.24499379 4223.78820477 4880.78367273 4275.85873395
 4740.67057055 4791.76691668 4603.43995801 4262.02170614 4758.25486641
 4574.09913617 4005.01995871 4039.24832668 4737.13346169 4809.12172367
 4409.73795017 3633.78225136 4717.04569782 4054.16333397 5083.33212818
 4525.47120913 4351.74089873 3893.32226995 4360.70583076 4062.75989487
 5017.08202571 4638.70239588 4347.99904237 4799.20078632 4368.75465094
 4627.13586533 4237.06292788 4936.81858898 4148.43181687 4378.24236148
 4096.53918912 4005.29011492 3845.12333625 4355.58439679 4707.09853249
 4388.79355477 4620.58418166 4679.00439017 4869.59324773 4265.84600745
 3978.48314805 4042.20636912 3861.99342859 4228.37341969 4085.2197301
 4368.3715083  4015.05106359 4814.14194546 5099.22280241 4620.3379214
 4284.84512465 4999.34871237 3420.03493692 4415.03915481 4368.93835379
 4497.67583365 4450.39434745 4075.49569328 4337.98793421 4342.46820511]"	"[402.19036825 208.48846307  33.60209496 219.60590814 234.6994159
 176.25128892  31.62430572 388.32383064 235.54556319 219.83225595
 396.08893717 258.02652814 271.97314354 402.20899939  98.37590803
 352.63678492 246.80802992 310.47481164 370.35358792 178.93075119
 181.03385588  98.16101293 204.13857707 271.28135738 308.6885952
  74.6190258  360.79381971 397.86080187 238.24544047 189.68490073
 346.92310388 286.5340839  142.93820469 360.40310931 420.25746175
  32.44320195 231.61472702 334.66788872 350.68462107 330.45870074
 244.55570547 235.57452311 175.61569893 144.85059315  92.84300957
 264.82338432  65.56851055  40.21182111 327.23461689 386.40571483
 337.36482366 401.10574591 171.65814827 150.80504451 236.89956064
  33.80384495  96.65576496 174.25063949 386.52492572 217.71432309
 273.33450777 396.49618135 409.23319839 358.95516983 341.34650943
  92.70865325 194.62927877  77.9858898  236.84291124 399.57112651
  94.81313257  78.55114917 363.23336251 210.74985451 319.57753127
 384.61925143 290.54376719 232.81625531  95.30074457 169.26220043
 102.65217049 111.51369123 412.97161535 406.84901352 189.49730101
 303.88438054 173.96063593 323.24988692 298.72802412 269.12639549
 334.48170513 404.41552635 221.61121685 381.44932739 177.02384099
 341.20929775 383.49347452 383.21812678 368.09277596  62.76880294]"	"[1040.17425661  919.6        1063.15       1054.12789175 1067.
  982.85       1038.90549451 1053.25       1097.25        973.63552705
  938.91536042  965.33740907 1032.57647312 1011.45       1081.85
 1070.85       1102.76523332  944.35        938.31014428  964.7
 1014.2         965.8        1022.54254273 1100.17301593 1134.43431936
 1065.35       1110.45       1041.25712283 1124.7087139  1022.33583029
 1035.47108949 1082.94430875 1093.9769937  1026.85       1117.63807806
  986.15        993.85        992.52350284  966.9360462  1041.15
 1037.85       1023.         1057.1        1026.3        1029.05
  956.45       1001.          935.          955.9        1068.81918672
  985.14093235  934.36369405 1001.20117011  831.51957535  977.35
 1040.05       1013.1         995.07205009 1045.53331528 1032.99194017
 1075.91421193  920.72373939 1085.38150921 1010.35       1053.8
 1021.35        924.         1009.8        1026.85       1075.12681444
  805.75        925.65       1012.          954.90588662  974.05
 1007.85431959 1102.75       1117.05       1056.          996.05
  844.25        989.45       1019.53712823  933.15106831 1037.3
  977.41085864  923.45       1060.92741564 1006.5        1001.08462062
 1043.22195137 1093.95        776.6        1084.05       1026.85
 1064.45096128  979.55        969.50762944  988.21343387 1038.65616053]"	"[426.71052053 216.33001363  33.60209496 230.66912607 238.02050786
 177.02384099  31.62430572 403.07539947 243.66963527 242.57980726
 422.46783495 275.56147225 276.3361914  414.2290459   98.37590803
 353.51934354 268.6058842  320.89343523 389.55530922 180.33910608
 184.4294651   98.16221455 213.25913503 282.66172048 323.22629597
  74.62244853 375.36814394 409.8195541  242.19487784 189.68490073
 356.16558759 298.0106066  145.06479296 373.43468351 447.2743733
  32.44320195 239.27672281 358.44083927 369.30813237 344.59616676
 247.07734832 255.98585323 177.58193952 150.58357534  92.84300957
 280.69630688  68.42676828  40.21182111 338.17010989 400.29857252
 345.97521258 418.8246676  181.77999396 166.05914838 238.30761527
  33.80384495  96.78413739 174.25063949 403.70475789 231.56384398
 281.96719725 419.92109333 424.36874012 365.77335966 352.1694671
  92.84300957 199.37192987  77.9858898  236.85572645 418.36394183
  97.85926533  79.2913874  375.36814394 214.4980053  333.93988021
 421.01773333 293.70927966 234.85148772  96.03583695 174.25063949
 117.29797521 113.01475855 427.22967838 427.36570041 189.68490073
 311.92539709 180.38360609 345.78624576 309.25934508 283.20727433
 348.25932961 424.05364471 225.42520428 396.48036132 177.02384099
 358.5621276  402.18589349 431.63828961 376.47722536  65.03174766]"
PS2C_MIN	21.48±5.26%	66.20±5.59%	87.68±5.99%	12.32±5.99%	5.03±3.79%	62.06±14.46	0	1012.40±66.11	260.44±120.58	250.53±114.12	761.87±122.04	96.76±2.60%	24.73±11.18%	19.28±1.06	38.98±2.15%	77.41±1.70%	27.89±4.74	4436.04±358.17	"[4218.96977738 4152.03048762 3977.0452095  4596.54780164 4676.79658886
 4782.3292956  4254.98056389 4893.50738306 5102.29681736 4262.46710662
 4158.38410102 4254.04791624 4143.93966704 4711.18227283 4516.94216583
 4824.40409161 4697.54858874 4326.61248116 4323.42222615 4381.31620329
 4954.57655754 3733.23788305 4262.688032   4620.34305776 5031.37949703
 4545.61535163 4581.63023293 4929.27535268 4491.40934341 4605.69994453
 5091.14520144 4580.19654416 4049.71321548 4963.35531093 4603.31585854
 3953.14685925 3920.24499379 4223.78820477 4880.78367273 4275.85873395
 4740.67057055 4791.76691668 4603.43995801 4262.02170614 4758.25486641
 4574.09913617 4005.01995871 4039.24832668 4737.13346169 4809.12172367
 4409.73795017 3633.78225136 4717.04569782 4054.16333397 5083.33212818
 4525.47120913 4351.74089873 3893.32226995 4360.70583076 4062.75989487
 5017.08202571 4638.70239588 4347.99904237 4799.20078632 4368.75465094
 4627.13586533 4237.06292788 4936.81858898 4148.43181687 4378.24236148
 4096.53918912 4005.29011492 3845.12333625 4355.58439679 4707.09853249
 4388.79355477 4620.58418166 4679.00439017 4869.59324773 4265.84600745
 3978.48314805 4042.20636912 3861.99342859 4228.37341969 4085.2197301
 4368.3715083  4015.05106359 4814.14194546 5099.22280241 4620.3379214
 4284.84512465 4999.34871237 3420.03493692 4415.03915481 4368.93835379
 4497.67583365 4450.39434745 4075.49569328 4337.98793421 4342.46820511]"	"[402.19036825 208.48846307  33.60209496 219.60590814 234.6994159
 176.25128892  31.62430572 388.32383064 235.54556319 219.83225595
 396.08893717 258.02652814 271.97314354 402.20899939  98.37590803
 352.63678492 246.80802992 310.47481164 370.35358792 178.93075119
 181.03385588  98.16101293 204.13857707 271.28135738 308.6885952
  74.6190258  360.79381971 397.86080187 238.24544047 189.68490073
 346.92310388 286.5340839  142.93820469 360.40310931 420.25746175
  32.44320195 231.61472702 334.66788872 350.68462107 330.45870074
 244.55570547 235.57452311 175.61569893 144.85059315  92.84300957
 264.82338432  65.56851055  40.21182111 327.23461689 386.40571483
 337.36482366 401.10574591 171.65814827 150.80504451 236.89956064
  33.80384495  96.65576496 174.25063949 386.52492572 217.71432309
 273.33450777 396.49618135 409.23319839 358.95516983 341.34650943
  92.70865325 194.62927877  77.9858898  236.84291124 399.57112651
  94.81313257  78.55114917 363.23336251 210.74985451 319.57753127
 384.61925143 290.54376719 232.81625531  95.30074457 169.26220043
 102.65217049 111.51369123 412.97161535 406.84901352 189.49730101
 303.88438054 173.96063593 323.24988692 298.72802412 269.12639549
 334.48170513 404.41552635 221.61121685 381.44932739 177.02384099
 341.20929775 383.49347452 383.21812678 368.09277596  62.76880294]"	"[1040.17425661  919.6        1063.15       1054.12789175 1067.
  982.85       1038.90549451 1053.25       1097.25        973.63552705
  938.91536042  965.33740907 1032.57647312 1011.45       1081.85
 1070.85       1102.76523332  944.35        938.31014428  964.7
 1014.2         965.8        1022.54254273 1100.17301593 1134.43431936
 1065.35       1110.45       1041.25712283 1124.7087139  1022.33583029
 1035.47108949 1082.94430875 1093.9769937  1026.85       1117.63807806
  986.15        993.85        992.52350284  966.9360462  1041.15
 1037.85       1023.         1057.1        1026.3        1029.05
  956.45       1001.          935.          955.9        1068.81918672
  985.14093235  934.36369405 1001.20117011  831.51957535  977.35
 1040.05       1013.1         995.07205009 1045.53331528 1032.99194017
 1075.91421193  920.72373939 1085.38150921 1010.35       1053.8
 1021.35        924.         1009.8        1026.85       1075.12681444
  805.75        925.65       1012.          954.90588662  974.05
 1007.85431959 1102.75       1117.05       1056.          996.05
  844.25        989.45       1019.53712823  933.15106831 1037.3
  977.41085864  923.45       1060.92741564 1006.5        1001.08462062
 1043.22195137 1093.95        776.6        1084.05       1026.85
 1064.45096128  979.55        969.50762944  988.21343387 1038.65616053]"	"[426.71052053 216.33001363  33.60209496 230.66912607 238.02050786
 177.02384099  31.62430572 403.07539947 243.66963527 242.57980726
 422.46783495 275.56147225 276.3361914  414.2290459   98.37590803
 353.51934354 268.6058842  320.89343523 389.55530922 180.33910608
 184.4294651   98.16221455 213.25913503 282.66172048 323.22629597
  74.62244853 375.36814394 409.8195541  242.19487784 189.68490073
 356.16558759 298.0106066  145.06479296 373.43468351 447.2743733
  32.44320195 239.27672281 358.44083927 369.30813237 344.59616676
 247.07734832 255.98585323 177.58193952 150.58357534  92.84300957
 280.69630688  68.42676828  40.21182111 338.17010989 400.29857252
 345.97521258 418.8246676  181.77999396 166.05914838 238.30761527
  33.80384495  96.78413739 174.25063949 403.70475789 231.56384398
 281.96719725 419.92109333 424.36874012 365.77335966 352.1694671
  92.84300957 199.37192987  77.9858898  236.85572645 418.36394183
  97.85926533  79.2913874  375.36814394 214.4980053  333.93988021
 421.01773333 293.70927966 234.85148772  96.03583695 174.25063949
 117.29797521 113.01475855 427.22967838 427.36570041 189.68490073
 311.92539709 180.38360609 345.78624576 309.25934508 283.20727433
 348.25932961 424.05364471 225.42520428 396.48036132 177.02384099
 358.5621276  402.18589349 431.63828961 376.47722536  65.03174766]"
PS2C_NEW	20.92±5.20%	66.77±5.52%	87.68±5.99%	12.32±5.99%	5.03±3.79%	61.98±14.46	0	1011.49±66.25	260.44±120.58	250.69±114.12	760.80±122.11	96.82±2.53%	24.76±11.19%	19.26±1.07	38.95±2.17%	77.38±1.68%	27.89±4.74	4470.12±354.20	"[4218.96977738 4152.03048762 3977.0452095  4596.54780164 4676.79658886
 4782.3292956  4355.41833861 4893.50738306 5102.29681736 4362.42528456
 4158.38410102 4254.04791624 4344.78731435 4711.18227283 4516.94216583
 4824.40409161 4697.54858874 4326.61248116 4423.42222615 4381.31620329
 4954.57655754 3733.23788305 4363.30228627 4620.34305776 5031.37949703
 4545.61535163 4581.63023293 4929.27535268 4591.97804052 4706.11659435
 5091.14520144 4680.69758682 4349.05456517 4963.35531093 4603.31585854
 3953.14685925 3920.24499379 4223.78820477 4880.78367273 4275.85873395
 4740.67057055 4891.99791668 4603.43995801 4462.30550614 4859.57486641
 4574.09913617 4005.01995871 4039.24832668 4737.13346169 5010.04556381
 4610.07249679 3633.78225136 4717.04569782 4255.30565282 5083.33212818
 4525.47120913 4351.74089873 3992.98859296 4360.70583076 4062.75989487
 5117.64559173 4739.23182025 4447.99904237 4799.20078632 4368.75465094
 4627.13586533 4337.11792788 4936.81858898 4148.43181687 4378.24236148
 4096.53918912 4005.29011492 3845.12333625 4455.70498545 4707.09853249
 4388.79355477 4620.58418166 4679.00439017 4869.59324773 4265.84600745
 3978.48314805 4042.20636912 3962.02092859 4228.37341969 4185.7147301
 4368.3715083  4015.05106359 4814.14194546 5099.22280241 4620.3379214
 4284.84512465 4999.34871237 3420.03493692 4415.03915481 4368.93835379
 4497.67583365 4450.39434745 4175.29465104 4438.3042776  4542.48951831]"	"[402.19036825 208.48846307  33.60209496 219.60590814 234.6994159
 176.25128892  31.62430572 388.32383064 235.54556319 231.37850828
 396.08893717 258.02652814 271.97314354 402.20899939  98.37590803
 352.63678492 246.80802992 310.47481164 372.85450764 178.93075119
 181.03385588  98.16101293 206.88857707 271.28135738 308.6885952
  74.6190258  360.79381971 397.86080187 238.24544047 189.68490073
 346.92310388 286.5340839  142.93820469 360.40310931 420.25746175
  32.44320195 231.61472702 334.66788872 350.68462107 330.45870074
 244.55570547 235.57452311 175.61569893 144.85059315  92.84300957
 264.82338432  65.56851055  40.21182111 327.23461689 386.40571483
 337.36482366 401.10574591 171.65814827 150.26965453 236.89956064
  33.80384495  96.65576496 174.25063949 386.52492572 217.71432309
 273.33450777 396.49618135 409.23319839 358.95516983 341.34650943
  92.70865325 194.62927877  77.9858898  236.84291124 399.57112651
  94.81313257  78.55114917 363.23336251 210.74985451 319.57753127
 384.61925143 290.54376719 232.81625531  95.30074457 169.26220043
 102.65217049 111.51369123 412.97161535 406.84901352 189.49730101
 303.88438054 173.96063593 323.24988692 298.72802412 269.12639549
 334.48170513 404.41552635 221.61121685 381.44932739 177.02384099
 341.20929775 383.49347452 383.21812678 368.09277596  62.76880294]"	"[1040.17425661  919.6        1063.15       1054.12789175 1067.
  982.85       1030.15       1053.25       1097.25        985.6
  938.91536042  965.33740907 1024.1        1011.45       1081.85
 1070.85       1102.76523332  944.35        940.81106401  964.7
 1014.2         965.8        1019.15       1100.17301593 1134.43431936
 1065.35       1110.45       1041.25712283 1117.6        1015.3
 1035.47108949 1074.15       1107.15       1026.85       1117.63807806
  986.15        993.85        992.52350284  966.9360462  1041.15
 1037.85       1019.15       1057.1        1023.         1015.85
  956.45       1001.          935.          955.9        1053.25
  978.45        934.36369405 1001.20117011  817.3         977.35
 1040.05       1013.1        1001.55       1045.53331528 1032.99194017
 1068.1         911.9        1085.38150921 1010.35       1053.8
 1021.35        923.45       1009.8        1026.85       1075.12681444
  805.75        925.65       1012.          953.7         974.05
 1007.85431959 1102.75       1117.05       1056.          996.05
  844.25        989.45       1018.98712823  933.15106831 1032.35
  977.41085864  923.45       1060.92741564 1006.5        1001.08462062
 1043.22195137 1093.95        776.6        1084.05       1026.85
 1064.45096128  979.55        972.4         985.05       1037.85      ]"	"[426.71052053 216.33001363  33.60209496 230.66912607 238.02050786
 177.02384099  31.62430572 403.07539947 243.66963527 242.57980726
 422.46783495 275.56147225 276.3361914  414.2290459   98.37590803
 353.51934354 268.6058842  320.89343523 389.55530922 180.33910608
 184.4294651   98.16221455 213.25913503 282.66172048 323.22629597
  74.62244853 375.36814394 409.8195541  242.19487784 189.68490073
 356.16558759 298.0106066  145.06479296 373.43468351 447.2743733
  32.44320195 239.27672281 358.44083927 369.30813237 344.59616676
 247.07734832 255.98585323 177.58193952 150.58357534  92.84300957
 280.69630688  68.42676828  40.21182111 338.17010989 400.29857252
 345.97521258 418.8246676  181.77999396 166.05914838 238.30761527
  33.80384495  96.78413739 174.25063949 403.70475789 231.56384398
 281.96719725 419.92109333 424.36874012 365.77335966 352.1694671
  92.84300957 199.37192987  77.9858898  236.85572645 418.36394183
  97.85926533  79.2913874  375.36814394 214.4980053  333.93988021
 421.01773333 293.70927966 234.85148772  96.03583695 174.25063949
 117.29797521 113.01475855 427.22967838 427.36570041 189.68490073
 311.92539709 180.38360609 345.78624576 309.25934508 283.20727433
 348.25932961 424.05364471 225.42520428 396.48036132 177.02384099
 358.5621276  402.18589349 431.63828961 376.47722536  65.03174766]"
BASELINE	33.45±6.58%	54.23±6.77%	87.68±5.99%	12.32±5.99%	5.03±3.79%	73.63±15.50	0	1141.37±80.98	260.44±120.58	253.71±116.88	887.66±120.50	97.51±4.84%	22.12±10.07%	21.72±1.20	43.93±2.43%	82.36±3.17%	27.89±4.74	3706.47±423.71	"[3907.65691789 3444.2973137  2677.65735861 3787.42830868 3565.81736531
 4061.05671866 3838.5432353  4076.68950093 3792.56876659 3950.84831547
 3748.11470608 3644.19002843 3533.38908751 3896.50798917 3707.78176169
 4306.21073831 3500.87214286 3311.44203081 3809.14516313 3566.16092037
 4238.29340808 2824.66714358 3653.7637174  3810.88095246 4416.71503633
 3637.13356527 3773.0831552  3819.78567177 3482.15509397 3694.72909871
 4576.02732017 3871.54011437 3441.24119794 4044.10935    3794.74513188
 2948.59239806 3312.86794021 3319.14821825 4064.71632522 3464.45882657
 3826.5526325  4280.20926842 3994.32063245 3750.99221677 4142.76754052
 3859.55347517 3096.99321266 2930.30809175 4221.78567176 4398.04696799
 3994.23730018 3128.03075342 3704.06383131 3539.39758077 4367.62780801
 3312.56721953 3544.74257185 3487.36914379 3647.93470789 3155.79959293
 4597.32114702 4225.79804024 3641.78608552 4082.55614341 3554.0292863
 3912.20033013 3625.33270679 4119.87757469 3333.23244412 3470.07915784
 3778.12319093 3097.88112337 2941.72269249 3932.48934911 4189.24047918
 3476.22178224 3512.29690414 3968.68079021 3852.66178533 3752.82594328
 2966.75683229 3039.08461764 2957.54488758 3821.42643991 3473.70648921
 3960.56683387 3499.93832649 4396.09198163 4480.14012295 3803.66599712
 3771.89288827 4386.45116724 2514.90220578 4001.61021225 3655.02444731
 3889.19534813 3540.89985888 3272.41309277 4016.13544217 3436.95171925]"	"[421.09494048 203.77207263  33.02878072 230.66912607 238.02050786
 177.02384099  31.62430572 403.04738551 240.96140289 242.57980726
 388.34794436 264.82178796 276.31752798 408.43693403  98.37590803
 353.51934354 256.64824709 309.45831592 380.59724718 178.3816154
 184.4294651   96.50661225 213.08576982 281.53358404 322.74120959
  74.6190258  375.36814394 400.43517647 242.19487784 189.68490073
 356.12579418 297.97451921 143.30326832 372.47511866 408.909169
  31.22751015 236.33459536 341.71641164 364.48466298 329.87308908
 247.07734832 227.542556   176.47713576 150.58357534  92.84300957
 242.90570297  59.4886399   40.21182111 336.94325804 400.29857252
 343.11667163 398.72544201 169.97136695 144.16676471 238.30761527
  33.80384495  95.58143076 174.25063949 403.70475789 227.48250366
 281.96719725 411.78917333 409.26406004 365.77335966 351.08884074
  92.84300957 199.37192987  77.9858898  236.51947985 403.17833299
  89.32744555  77.61259826 373.25455019 209.51246641 332.39174733
 345.51763159 293.70927966 234.85148772  96.03583695 173.9898945
  75.96997795 113.00671974 397.98952041 405.71378325 189.68490073
 309.38356839 180.18918421 337.9297617  307.23156567 283.18084051
 348.25932961 421.02811854 215.15841249 392.41184605 177.02384099
 354.32443343 397.61253753 381.61684028 359.26419716  65.03174766]"	"[1182.91807096  990.44550473 1056.45519457 1156.38603924 1203.32491789
 1187.39036332 1203.60100623 1236.15237624 1203.01005816 1142.47205586
 1116.87424438 1066.11620985 1142.42665293 1191.00493781 1187.72566366
 1269.20545656 1097.24247449 1095.03800785 1119.93490821 1119.84246962
 1204.64725222 1033.90356446 1110.94882454 1214.16762506 1255.36349201
 1180.96466423 1198.44773096 1140.53357153 1227.16807367 1185.09898658
 1195.85259246 1219.63909741 1158.68894241 1231.38161864 1189.8568657
 1022.68470622 1066.48700498 1043.44007963 1152.13456314 1171.40220582
 1181.55102336 1180.90811437 1175.35807325 1124.31051834 1210.52464745
 1084.50678497 1067.03909952 1046.39668709 1119.08654045 1206.46375512
 1180.48265082  974.83095633 1129.33305381  985.88606783 1166.31261316
 1152.08199132 1081.02408721 1103.30495699 1161.93574117 1093.99304411
 1318.43839359 1148.46686403 1161.31449208 1260.12002742 1210.79597774
 1170.83970825 1046.04486199 1179.2101429  1199.03416244 1177.1390716
  980.85207668  998.8013646  1056.02762529 1184.61897532 1171.79703612
 1107.57454824 1213.05560792 1261.27986879 1227.93681261 1133.96153256
  946.37666533 1022.16054337 1052.31538362 1076.68113747 1152.62000867
 1116.37444572 1080.80591929 1235.45212356 1205.83033613 1198.07372686
 1169.91305437 1290.19197208  845.23976421 1219.03105636 1163.35421261
 1162.37095218 1088.61394874 1028.10941786 1197.90977542 1082.95717783]"	"[426.71052053 216.33001363  33.60209496 230.66912607 238.02050786
 177.02384099  31.62430572 403.07539947 243.66963527 242.57980726
 422.46783495 275.56147225 276.3361914  414.2290459   98.37590803
 353.51934354 268.6058842  320.89343523 389.55530922 180.33910608
 184.4294651   98.16221455 213.25913503 282.66172048 323.22629597
  74.62244853 375.36814394 409.8195541  242.19487784 189.68490073
 356.16558759 298.0106066  145.06479296 373.43468351 447.2743733
  32.44320195 239.27672281 358.44083927 369.30813237 344.59616676
 247.07734832 255.98585323 177.58193952 150.58357534  92.84300957
 280.69630688  68.42676828  40.21182111 338.17010989 400.29857252
 345.97521258 418.8246676  181.77999396 166.05914838 238.30761527
  33.80384495  96.78413739 174.25063949 403.70475789 231.56384398
 281.96719725 419.92109333 424.36874012 365.77335966 352.1694671
  92.84300957 199.37192987  77.9858898  236.85572645 418.36394183
  97.85926533  79.2913874  375.36814394 214.4980053  333.93988021
 421.01773333 293.70927966 234.85148772  96.03583695 174.25063949
 117.29797521 113.01475855 427.22967838 427.36570041 189.68490073
 311.92539709 180.38360609 345.78624576 309.25934508 283.20727433
 348.25932961 424.05364471 225.42520428 396.48036132 177.02384099
 358.5621276  402.18589349 431.63828961 376.47722536  65.03174766]"
