Algorithm	Charging satisf. <80%	Charging satisf. >=80%	Overall charging satisf.	Overall charging unsatisf.	Charging auto rejection	Price	Grid limit	Total Energy	Total PV	PV used	Grid used	PV used/Total PV	PV used/Total Energy	Energy/EV	SoC charged	Final SoC	Waiting Time	Obj. cost	Detailed obj. cost	Detailed PV used	Detailed Total Energy	Detailed Total PV
PS2C	17.92±5.33%	76.18±7.75%	94.10±5.52%	5.90±5.52%	1.86±2.76%	53.43±12.37	0	938.12±68.32	302.91±120.32	287.60±112.14	650.52±119.98	95.68±3.30%	30.67±11.87%	19.97±1.34	40.38±2.72%	78.79±1.73%	22.73±5.03	4226.07±405.50	"[4236.55443856 4422.1373414  4201.87608788 4112.45613378 3829.92549727
 3240.87877829 4110.11148324 4204.76904302 4730.31984773 4850.28853914
 5060.23216827 4033.28281895 4115.91044748 4323.3074653  4452.02261165
 4140.28810514 3156.82873084 4350.19207333 3593.62957562 4331.31071288
 3900.42668673 3804.25287137 4545.27936    4607.86258121 3911.61508901
 4387.44397115 4509.10380871 4237.99099271 4045.67655564 5345.67416894
 3774.40096893 4231.87953621 4649.0394569  4260.93445091 4023.31653739
 4539.52329436 4316.51089555 4448.00080424 4016.34729529 4730.60518852
 4440.12511751 3793.84102444 3989.14449646 4649.42328344 4433.31853385
 4214.71117403 4718.73170011 3350.64521925 3842.59935613 3895.93039875
 4710.14110142 4101.95447902 4492.50145921 4317.36156445 3788.13073192
 4834.15684398 2917.85137276 4420.76020435 4534.36324994 4213.11147568
 4740.2482982  4352.96925227 4736.62310077 4545.44198574 3941.5544082
 4490.95521934 4196.19979074 3996.18132921 4344.38870083 4441.42065771
 3593.35410959 4517.13966049 4438.62499665 4140.66633971 3875.00546031
 3583.89389494 4531.93242779 3900.85910491 4438.87157634 4316.74858587
 3786.48685673 4391.51854365 4257.28817983 4628.22902007 4516.5293471
 4140.10479887 4335.11808668 3985.4261744  4435.32852887 3939.8734561
 4420.01001175 4009.83467084 4026.15463939 3798.50012534 4721.0690182
 4712.82312055 3814.57806293 3468.95785732 3907.62971627 4747.07067026]"	"[434.44435635 260.63137999 330.67544311 356.07062802 378.3413202
 312.47501001 350.30693645 369.59607365 181.54847729 343.07500045
 352.40139935 271.45644951 328.16547205 412.73537181 418.90062458
 224.55746648 339.44931263 310.77463152 413.28024198 345.69009345
 374.34418121 260.32205545 360.84359996 335.93859917 390.5342967
 162.28713017 281.16432799 414.81812281  70.94024144  68.90976154
  34.54585356 295.8094875  318.08771974 404.93847178 319.66580645
 387.20882556 346.6457234  402.90804245 301.32281648  80.08321518
 440.15650172 365.999575   377.11871204 387.0975733  244.49800633
 239.70138218  94.48919031 328.70219253 377.76435448 115.41125876
  77.66101419 339.23892794  75.9645921  353.81564452 159.90444448
 201.19457081  71.73992798  55.19967264 190.29142049  89.62401547
 289.895668   202.64678947 216.32901855 346.04113329 244.46567087
 341.98507315 335.57737621 407.05122398 266.11476653 336.99521826
 406.50120202 172.91950897  86.74030374 422.4923067  143.72749891
 308.78842769 375.99478357 352.62699933 416.01576343 422.59235793
 278.99726612 300.3354365  330.6910736  347.76573141 332.3789761
 394.33986334 411.04234118 227.06130386 167.19821128 316.03847606
  68.4210153  285.73376464 251.16465793  66.64793605 425.90691763
 391.6546282  325.81414993  91.26112787 401.51511199 318.80429117]"	"[ 968.89997075  839.25796602  882.14845882  987.25       1012.51456399
  876.7         832.52661382  930.05        878.35        925.81382713
  837.65        964.7         966.68902461  980.22751747  870.39352764
  895.4         892.65        973.59764465  976.98448575  939.95
  849.06972027  845.9         908.05        976.25        974.38340659
  910.71283484  990.12624088 1046.65        916.85        872.85
  897.05        890.85726698  945.45        795.59396267  898.7
  933.88475329  972.4         922.9         814.          926.75
 1073.83915877  927.5893306   766.7        1048.85        923.3464851
  823.00279431 1030.67301132  822.25        923.60004388  910.86194455
  976.25        948.75        950.95       1080.2        1016.4
  970.75        794.75        948.62037812  906.95        947.65
  982.85        990.55        984.30638408  999.35        881.41075758
  910.28852203  988.00993949  945.23793187  853.6         937.2
 1020.45740505  939.4        1011.45       1073.70176861  898.7
  871.81840363  961.10545473  949.01063565  927.3         966.82542664
  937.75       1085.15       1018.85473144  965.47553073  967.08550514
 1042.29926562 1005.89615785  850.09059253  965.8         947.1
 1003.75        910.30688918 1039.71635934  910.25       1015.21673562
  963.42342273  878.35        773.3         950.12268033  977.26147162]"	"[468.17156405 305.32599717 369.34582944 366.02360071 393.04621322
 330.50151326 369.34582944 391.90463964 183.38167754 359.34646073
 364.46040253 281.96719725 348.11338022 453.58386414 436.25073955
 238.53072649 429.1403353  330.77296613 436.22173428 358.0666836
 425.59291616 283.61457836 363.03785086 341.39052967 417.59006228
 163.78488854 293.70927966 431.01301392  71.10585416  68.90976154
  34.54585356 314.20312385 329.36838735 430.80675995 332.4280971
 410.94386996 363.9475773  426.71052053 329.58364312  80.08321518
 461.46466757 379.224077   404.02994612 402.0736712  244.49800633
 253.74099441  94.48919031 346.09589418 398.36486896 119.99199551
  77.66101419 353.51934354  75.96882725 376.47722536 161.29259827
 206.1524062   72.5755018   55.19967264 195.42928673  89.62401547
 295.1802734  205.91762371 223.82162375 357.00551794 255.06451637
 349.2630473  352.60477374 423.30546802 281.96719725 341.2043169
 422.55964555 184.58794108  86.74030374 434.82135681 150.58357534
 341.73718824 406.06240108 382.34110207 429.8085466  440.29084409
 284.58573887 309.86044021 341.39052967 369.34582944 359.34646073
 412.19066051 427.54729931 238.53072649 174.25063949 341.2043169
  68.42676828 305.76833477 264.16001292  66.68936537 440.41151578
 413.54257395 359.34646073  91.26112787 435.76589552 328.48902876]"
PS2C_MIN	17.92±5.33%	76.18±7.75%	94.10±5.52%	5.90±5.52%	1.86±2.76%	53.43±12.37	0	938.12±68.32	302.91±120.32	287.60±112.14	650.52±119.98	95.68±3.30%	30.67±11.87%	19.97±1.34	40.38±2.72%	78.79±1.73%	22.73±5.03	4226.07±405.50	"[4236.55443856 4422.1373414  4201.87608788 4112.45613378 3829.92549727
 3240.87877829 4110.11148324 4204.76904302 4730.31984773 4850.28853914
 5060.23216827 4033.28281895 4115.91044748 4323.3074653  4452.02261165
 4140.28810514 3156.82873084 4350.19207333 3593.62957562 4331.31071288
 3900.42668673 3804.25287137 4545.27936    4607.86258121 3911.61508901
 4387.44397115 4509.10380871 4237.99099271 4045.67655564 5345.67416894
 3774.40096893 4231.87953621 4649.0394569  4260.93445091 4023.31653739
 4539.52329436 4316.51089555 4448.00080424 4016.34729529 4730.60518852
 4440.12511751 3793.84102444 3989.14449646 4649.42328344 4433.31853385
 4214.71117403 4718.73170011 3350.64521925 3842.59935613 3895.93039875
 4710.14110142 4101.95447902 4492.50145921 4317.36156445 3788.13073192
 4834.15684398 2917.85137276 4420.76020435 4534.36324994 4213.11147568
 4740.2482982  4352.96925227 4736.62310077 4545.44198574 3941.5544082
 4490.95521934 4196.19979074 3996.18132921 4344.38870083 4441.42065771
 3593.35410959 4517.13966049 4438.62499665 4140.66633971 3875.00546031
 3583.89389494 4531.93242779 3900.85910491 4438.87157634 4316.74858587
 3786.48685673 4391.51854365 4257.28817983 4628.22902007 4516.5293471
 4140.10479887 4335.11808668 3985.4261744  4435.32852887 3939.8734561
 4420.01001175 4009.83467084 4026.15463939 3798.50012534 4721.0690182
 4712.82312055 3814.57806293 3468.95785732 3907.62971627 4747.07067026]"	"[434.44435635 260.63137999 330.67544311 356.07062802 378.3413202
 312.47501001 350.30693645 369.59607365 181.54847729 343.07500045
 352.40139935 271.45644951 328.16547205 412.73537181 418.90062458
 224.55746648 339.44931263 310.77463152 413.28024198 345.69009345
 374.34418121 260.32205545 360.84359996 335.93859917 390.5342967
 162.28713017 281.16432799 414.81812281  70.94024144  68.90976154
  34.54585356 295.8094875  318.08771974 404.93847178 319.66580645
 387.20882556 346.6457234  402.90804245 301.32281648  80.08321518
 440.15650172 365.999575   377.11871204 387.0975733  244.49800633
 239.70138218  94.48919031 328.70219253 377.76435448 115.41125876
  77.66101419 339.23892794  75.9645921  353.81564452 159.90444448
 201.19457081  71.73992798  55.19967264 190.29142049  89.62401547
 289.895668   202.64678947 216.32901855 346.04113329 244.46567087
 341.98507315 335.57737621 407.05122398 266.11476653 336.99521826
 406.50120202 172.91950897  86.74030374 422.4923067  143.72749891
 308.78842769 375.99478357 352.62699933 416.01576343 422.59235793
 278.99726612 300.3354365  330.6910736  347.76573141 332.3789761
 394.33986334 411.04234118 227.06130386 167.19821128 316.03847606
  68.4210153  285.73376464 251.16465793  66.64793605 425.90691763
 391.6546282  325.81414993  91.26112787 401.51511199 318.80429117]"	"[ 968.89997075  839.25796602  882.14845882  987.25       1012.51456399
  876.7         832.52661382  930.05        878.35        925.81382713
  837.65        964.7         966.68902461  980.22751747  870.39352764
  895.4         892.65        973.59764465  976.98448575  939.95
  849.06972027  845.9         908.05        976.25        974.38340659
  910.71283484  990.12624088 1046.65        916.85        872.85
  897.05        890.85726698  945.45        795.59396267  898.7
  933.88475329  972.4         922.9         814.          926.75
 1073.83915877  927.5893306   766.7        1048.85        923.3464851
  823.00279431 1030.67301132  822.25        923.60004388  910.86194455
  976.25        948.75        950.95       1080.2        1016.4
  970.75        794.75        948.62037812  906.95        947.65
  982.85        990.55        984.30638408  999.35        881.41075758
  910.28852203  988.00993949  945.23793187  853.6         937.2
 1020.45740505  939.4        1011.45       1073.70176861  898.7
  871.81840363  961.10545473  949.01063565  927.3         966.82542664
  937.75       1085.15       1018.85473144  965.47553073  967.08550514
 1042.29926562 1005.89615785  850.09059253  965.8         947.1
 1003.75        910.30688918 1039.71635934  910.25       1015.21673562
  963.42342273  878.35        773.3         950.12268033  977.26147162]"	"[468.17156405 305.32599717 369.34582944 366.02360071 393.04621322
 330.50151326 369.34582944 391.90463964 183.38167754 359.34646073
 364.46040253 281.96719725 348.11338022 453.58386414 436.25073955
 238.53072649 429.1403353  330.77296613 436.22173428 358.0666836
 425.59291616 283.61457836 363.03785086 341.39052967 417.59006228
 163.78488854 293.70927966 431.01301392  71.10585416  68.90976154
  34.54585356 314.20312385 329.36838735 430.80675995 332.4280971
 410.94386996 363.9475773  426.71052053 329.58364312  80.08321518
 461.46466757 379.224077   404.02994612 402.0736712  244.49800633
 253.74099441  94.48919031 346.09589418 398.36486896 119.99199551
  77.66101419 353.51934354  75.96882725 376.47722536 161.29259827
 206.1524062   72.5755018   55.19967264 195.42928673  89.62401547
 295.1802734  205.91762371 223.82162375 357.00551794 255.06451637
 349.2630473  352.60477374 423.30546802 281.96719725 341.2043169
 422.55964555 184.58794108  86.74030374 434.82135681 150.58357534
 341.73718824 406.06240108 382.34110207 429.8085466  440.29084409
 284.58573887 309.86044021 341.39052967 369.34582944 359.34646073
 412.19066051 427.54729931 238.53072649 174.25063949 341.2043169
  68.42676828 305.76833477 264.16001292  66.68936537 440.41151578
 413.54257395 359.34646073  91.26112787 435.76589552 328.48902876]"
PS2C_NEW	17.24±5.50%	76.86±7.93%	94.10±5.52%	5.90±5.52%	1.86±2.76%	53.33±12.35	0	936.83±68.46	302.91±120.32	287.55±112.14	649.28±120.04	95.66±3.32%	30.70±11.88%	19.94±1.35	40.32±2.73%	78.74±1.71%	22.73±5.03	4260.17±414.61	"[4336.70415694 4522.73697844 4201.87608788 4112.45613378 3829.92549727
 3240.87877829 4110.11148324 4305.11554302 4730.31984773 5051.62492186
 5060.23216827 4133.74261895 4115.91044748 4323.3074653  4552.1229989
 4140.28810514 3156.82873084 4350.19207333 3593.62957562 4331.31071288
 3900.42668673 3804.25287137 4645.60936    4607.86258121 4012.25473132
 4588.53525464 4609.7214328  4237.99099271 4045.67655564 5345.67416894
 3774.40096893 4331.96890059 4749.4244569  4260.93445091 4023.31653739
 4539.52329436 4316.51089555 4448.00080424 4016.34729529 4730.60518852
 4440.12511751 3793.84102444 3989.14449646 4649.42328344 4533.6989437
 4214.71117403 4818.96108079 3350.64521925 3842.59935613 3895.93039875
 4710.14110142 4201.95447902 4492.50145921 4317.36156445 3788.13073192
 4834.15684398 2917.85137276 4521.61181002 4534.36324994 4213.11147568
 4740.2482982  4352.96925227 4836.48939977 4545.44198574 4041.6002056
 4591.3000229  4196.19979074 3996.18132921 4344.38870083 4441.42065771
 3793.62169355 4517.13966049 4438.62499665 4340.53392814 3875.00546031
 3783.84873556 4632.56820505 3900.85910491 4539.25657634 4316.74858587
 3786.48685673 4391.51854365 4357.34317983 4628.22902007 4516.5293471
 4140.10479887 4335.11808668 4085.83342133 4435.32852887 4040.0109561
 4420.01001175 4009.83467084 4026.15463939 3798.50012534 4721.0690182
 4813.24470205 3814.57806293 3468.95785732 3907.62971627 4847.94181743]"	"[434.44435635 258.00054653 330.67544311 356.07062802 378.3413202
 312.47501001 350.30693645 369.59607365 181.54847729 343.07500045
 352.40139935 271.45644951 328.16547205 412.73537181 418.90062458
 224.55746648 339.44931263 310.77463152 413.28024198 345.69009345
 374.34418121 260.32205545 360.84359996 335.93859917 390.5342967
 162.28713017 281.16432799 414.81812281  70.94024144  68.90976154
  34.54585356 295.8094875  318.08771974 404.93847178 319.66580645
 387.20882556 346.6457234  402.90804245 301.32281648  80.08321518
 440.15650172 365.999575   377.11871204 387.0975733  244.49800633
 239.70138218  94.48919031 328.70219253 377.76435448 115.41125876
  77.66101419 339.23892794  75.9645921  353.81564452 159.90444448
 201.19457081  71.73992798  55.19967264 190.29142049  89.62401547
 289.895668   202.64678947 216.32901855 346.04113329 243.42086133
 340.44458667 335.57737621 407.05122398 266.11476653 336.99521826
 406.50120202 172.91950897  86.74030374 422.4923067  143.72749891
 308.78842769 375.99478357 352.62699933 416.01576343 422.59235793
 278.99726612 300.3354365  330.6910736  347.76573141 332.3789761
 394.33986334 411.04234118 227.06130386 167.19821128 316.03847606
  68.4210153  285.73376464 251.16465793  66.64793605 425.90691763
 391.6546282  325.81414993  91.26112787 401.51511199 318.80429117]"	"[ 967.40278692  830.63076211  882.14845882  987.25       1012.51456399
  876.7         832.52661382  925.1         878.35        912.45
  837.65        958.65        966.68902461  980.22751747  868.40549451
  895.4         892.65        973.59764465  976.98448575  939.95
  849.06972027  845.9         904.75        976.25        967.98698347
  899.25        983.95       1046.65        916.85        872.85
  897.05        891.55        941.6         795.59396267  898.7
  933.88475329  972.4         922.9         814.          926.75
 1073.83915877  927.5893306   766.7        1048.85        915.75
  823.00279431 1026.85        822.25        923.60004388  910.86194455
  976.25        948.75        950.95       1080.2        1016.4
  970.75        794.75        939.95        906.95        947.65
  982.85        990.55        986.7         999.35        879.45
  905.3         988.00993949  945.23793187  853.6         937.2
 1015.38244821  939.4        1011.45       1076.35        898.7
  869.55081108  952.91098067  949.01063565  923.45        966.82542664
  937.75       1085.15       1017.75473144  965.47553073  967.08550514
 1042.29926562 1005.89615785  845.9         965.8         944.35
 1003.75        910.30688918 1039.71635934  910.25       1015.21673562
  959.20760766  878.35        773.3         950.12268033  968.55      ]"	"[468.17156405 305.32599717 369.34582944 366.02360071 393.04621322
 330.50151326 369.34582944 391.90463964 183.38167754 359.34646073
 364.46040253 281.96719725 348.11338022 453.58386414 436.25073955
 238.53072649 429.1403353  330.77296613 436.22173428 358.0666836
 425.59291616 283.61457836 363.03785086 341.39052967 417.59006228
 163.78488854 293.70927966 431.01301392  71.10585416  68.90976154
  34.54585356 314.20312385 329.36838735 430.80675995 332.4280971
 410.94386996 363.9475773  426.71052053 329.58364312  80.08321518
 461.46466757 379.224077   404.02994612 402.0736712  244.49800633
 253.74099441  94.48919031 346.09589418 398.36486896 119.99199551
  77.66101419 353.51934354  75.96882725 376.47722536 161.29259827
 206.1524062   72.5755018   55.19967264 195.42928673  89.62401547
 295.1802734  205.91762371 223.82162375 357.00551794 255.06451637
 349.2630473  352.60477374 423.30546802 281.96719725 341.2043169
 422.55964555 184.58794108  86.74030374 434.82135681 150.58357534
 341.73718824 406.06240108 382.34110207 429.8085466  440.29084409
 284.58573887 309.86044021 341.39052967 369.34582944 359.34646073
 412.19066051 427.54729931 238.53072649 174.25063949 341.2043169
  68.42676828 305.76833477 264.16001292  66.68936537 440.41151578
 413.54257395 359.34646073  91.26112787 435.76589552 328.48902876]"
BASELINE	29.26±7.73%	64.84±9.45%	94.10±5.52%	5.90±5.52%	1.86±2.76%	66.71±14.18	0	1081.49±81.85	302.91±120.32	284.26±112.79	797.22±126.12	94.72±7.23%	26.27±10.30%	22.99±1.29	46.50±2.60%	84.91±4.09%	22.73±5.03	3645.79±485.07	"[3926.81800919 4097.92612144 3681.47199069 3503.10308847 3323.99359832
 2631.37055347 3597.18121945 3294.50510652 4301.15944075 4530.66485529
 4633.53734523 3321.84907946 3500.8406797  3811.74841074 4337.91349528
 3622.37702711 2446.22284621 3939.48936056 3190.6701624  3912.66217691
 3681.37111042 3299.6862289  4225.99169426 3888.77902494 3506.3448889
 3868.69945802 4188.4532431  3627.84645928 3136.88596249 4825.69788663
 2963.15064346 3718.50302823 4027.69392961 3935.47063566 3611.35651932
 4024.24411611 3505.84043086 3733.3601617  3689.44704772 4110.83012717
 3930.72213233 3187.18595293 3474.31879262 3637.16777297 4215.46897499
 3401.67899716 3905.05724606 2538.64111865 3431.27116002 2987.32645771
 3595.35699791 3490.5346217  3873.52519502 3611.58635867 2784.51194049
 4110.84226521 2321.43279375 3606.79239524 4014.11789095 3497.95590844
 4023.05653538 3543.8749796  3920.23219666 4327.51231965 3531.86586461
 4366.96079485 3585.08512254 3089.44048102 3934.28777787 4120.10805733
 2794.57275737 3899.5565982  3431.08593291 3530.5245767  2959.74695397
 3471.95882616 4114.41338284 3090.67794409 4218.82377831 3809.14861393
 3175.04304772 3287.41455368 3749.84997761 4311.86183382 3810.0345945
 3735.10212538 3921.72372572 3669.24150913 3919.91585183 3637.13410849
 3307.86915992 3301.19565077 2925.70511384 2993.22234583 4204.79247859
 4488.58954896 3200.58519198 2957.62075392 3303.23496011 4125.61245493]"	"[433.59681864 248.86017673 305.00400414 345.6785366  392.6164787
 230.15757227 355.7542036  358.09089956 183.34590767 359.22395054
 359.52270969 215.81894664 263.49837693 390.6145159  432.37055218
 217.83150192 280.03142821 288.76183001 432.81996598 358.0666836
 329.79084084 255.80913943 360.68578583 337.81459    378.98501414
 158.4533649  293.70927966 402.52391041  71.10585416  68.90976154
  34.54585356 303.82685455 311.35366766 414.43463743 330.32034155
 405.29240279 357.12307857 409.99467652 270.25961381  80.08321518
 450.0934163  350.95787614 373.44873087 402.0736712  244.49800633
 240.04933841  94.48919031 313.72152525 366.77472571 119.99199551
  77.61982183 352.63927353  75.96882725 375.91414844 161.29259827
 206.1524062   69.91853853  55.19967264 195.42928673  89.62401547
 293.56489686 205.91762371 223.82162375 356.93566757 230.66593067
 349.2630473  321.51697736 413.70043297 263.99477579 340.07198556
 362.67446834 173.92796028  86.74030374 431.30749543 150.58357534
 279.04514667 374.60840379 296.33781875 399.70298468 418.89754376
 283.62364935 309.75169841 339.77129038 354.80768691 348.21157181
 390.66785788 415.6325     201.15343819 171.30279995 320.46280912
  68.39942621 290.99850244 261.06574757  66.64793605 439.0417361
 409.78680161 348.74148552  83.79837365 378.02204163 328.48902876]"	"[1065.41672671 1069.59896237 1069.65304565 1045.61489927 1106.16247979
  898.80602125 1012.73711069 1026.9202052  1171.75150016 1138.9085039
 1161.90854542 1035.73276531 1082.77106841 1071.77255881 1119.4375216
 1057.75225902  947.57770514 1095.87399564 1026.11834198 1105.94287837
  999.05033984  961.13013327 1100.76884319 1196.52014537 1015.53612516
 1099.12482975 1209.1768487  1133.72783158 1028.71381889 1179.80916458
 1004.90024855 1042.77142454 1144.07619638 1059.72828085 1044.45590011
 1129.55166225 1109.23577828 1076.39305948 1052.49663781 1114.28697999
 1161.75973908  979.09834684  978.20309752 1176.00952518 1202.49689317
  954.17831251 1150.64533741  927.31033879 1042.08450279  995.55638534
 1124.0498427  1121.85547779 1140.71687705 1160.05056174 1051.95527916
 1222.91290443  787.78511552 1070.42295625 1161.09398991 1112.49402499
 1173.54819375 1102.15346775 1169.10747059 1217.24340367 1035.59451637
 1201.78134672 1063.3226309  1019.29562277 1022.12165799 1210.22190223
 1002.40317488 1143.64730392 1105.80767959 1148.51840373 1049.5028432
  989.39843389 1146.13139932  992.82851223 1111.46520154 1057.2235122
 1030.93615827 1135.60616159 1123.46742313 1136.1893487  1047.86562682
 1150.4503532  1128.1610863   976.40538317 1170.92620286 1051.16602358
 1102.41291894 1010.51773855 1038.87557809  968.81992804 1191.11695023
 1223.89131204 1030.86732037  893.75498955 1034.79990882 1208.5526319 ]"	"[468.17156405 305.32599717 369.34582944 366.02360071 393.04621322
 330.50151326 369.34582944 391.90463964 183.38167754 359.34646073
 364.46040253 281.96719725 348.11338022 453.58386414 436.25073955
 238.53072649 429.1403353  330.77296613 436.22173428 358.0666836
 425.59291616 283.61457836 363.03785086 341.39052967 417.59006228
 163.78488854 293.70927966 431.01301392  71.10585416  68.90976154
  34.54585356 314.20312385 329.36838735 430.80675995 332.4280971
 410.94386996 363.9475773  426.71052053 329.58364312  80.08321518
 461.46466757 379.224077   404.02994612 402.0736712  244.49800633
 253.74099441  94.48919031 346.09589418 398.36486896 119.99199551
  77.66101419 353.51934354  75.96882725 376.47722536 161.29259827
 206.1524062   72.5755018   55.19967264 195.42928673  89.62401547
 295.1802734  205.91762371 223.82162375 357.00551794 255.06451637
 349.2630473  352.60477374 423.30546802 281.96719725 341.2043169
 422.55964555 184.58794108  86.74030374 434.82135681 150.58357534
 341.73718824 406.06240108 382.34110207 429.8085466  440.29084409
 284.58573887 309.86044021 341.39052967 369.34582944 359.34646073
 412.19066051 427.54729931 238.53072649 174.25063949 341.2043169
  68.42676828 305.76833477 264.16001292  66.68936537 440.41151578
 413.54257395 359.34646073  91.26112787 435.76589552 328.48902876]"
