time,P,G(i),H_sun,T2m,WS10m,Int
20150105:0410,0.0,0.0,0.0,-1.87,1.93,0.0
20150105:0510,0.0,0.0,0.0,-2.42,1.86,0.0
20150105:0610,0.0,0.0,0.0,-2.76,1.79,0.0
20150105:0710,0.0,0.0,0.0,-2.42,1.66,0.0
20150105:0810,780.25,22.7,2.75,-2.24,1.59,0.0
20150105:0910,6925.88,116.28,9.62,-1.01,1.45,0.0
20150105:1010,6301.22,108.64,14.78,0.88,1.66,0.0
20150105:1110,7365.34,124.96,17.82,2.21,1.52,0.0
20150105:1210,4180.57,78.43,18.44,3.25,1.38,0.0
20150105:1310,3396.52,66.57,16.58,3.97,1.31,0.0
20150105:1410,2695.21,55.63,12.43,4.27,1.24,0.0
20150105:1510,1877.01,42.33,6.35,3.99,1.31,0.0
20150105:1610,0.0,0.0,0.0,3.03,1.66,0.0
20150105:1710,0.0,0.0,0.0,1.57,2.0,0.0
20150105:1810,0.0,0.0,0.0,0.42,2.21,0.0
20150105:1910,0.0,0.0,0.0,0.22,1.59,0.0
20150105:2010,0.0,0.0,0.0,-0.26,1.45,0.0
20150105:2110,0.0,0.0,0.0,-1.0,1.52,0.0
20150105:2210,0.0,0.0,0.0,-2.09,1.66,0.0
20150105:2310,0.0,0.0,0.0,-2.77,1.66,0.0
20150106:0010,0.0,0.0,0.0,-3.13,1.66,0.0
20150106:0110,0.0,0.0,0.0,-3.29,1.59,0.0
20150106:0210,0.0,0.0,0.0,-3.39,1.52,0.0
20150106:0310,0.0,0.0,0.0,-3.3,1.38,0.0
20150106:0410,0.0,0.0,0.0,-3.47,1.45,0.0
20150106:0510,0.0,0.0,0.0,-3.59,1.52,0.0
20150106:0610,0.0,0.0,0.0,-3.66,1.66,0.0
20150106:0710,0.0,0.0,0.0,-3.55,1.93,0.0
20150106:0810,670.2,20.58,2.79,-3.1,2.21,0.0
20150106:0910,14323.09,219.57,9.68,-1.7,2.14,0.0
20150106:1010,6705.76,114.08,14.86,0.31,2.34,0.0
20150106:1110,8518.26,141.31,17.92,2.25,2.48,0.0
20150106:1210,9719.0,159.33,18.56,3.52,2.62,0.0
20150106:1310,2586.67,53.8,16.72,4.09,2.55,0.0
