time,P,G(i),H_sun,T2m,WS10m,Int
20150223:2210,0.0,0.0,0.0,3.73,4.34,0.0
20150223:2310,0.0,0.0,0.0,3.32,4.41,0.0
20150224:0010,0.0,0.0,0.0,2.96,4.41,0.0
20150224:0110,0.0,0.0,0.0,2.62,4.48,0.0
20150224:0210,0.0,0.0,0.0,2.33,4.48,0.0
20150224:0310,0.0,0.0,0.0,2.06,4.55,0.0
20150224:0410,0.0,0.0,0.0,1.89,4.55,0.0
20150224:0510,0.0,0.0,0.0,1.74,4.55,0.0
20150224:0610,0.0,0.0,0.0,1.79,4.62,0.0
20150224:0710,389.37,15.31,3.54,1.82,4.48,0.0
20150224:0810,18535.54,285.37,12.49,2.65,4.62,0.0
20150224:0910,8197.96,137.87,20.35,4.4,4.69,0.0
20150224:1010,5644.68,101.22,26.56,6.07,5.45,0.0
20150224:1110,31361.12,476.5,30.5,6.93,6.07,0.0
20150224:1210,7430.61,128.58,31.66,7.55,5.52,0.0
20150224:1310,57485.14,890.32,29.87,8.13,5.38,0.0
20150224:1410,29888.66,458.18,25.4,8.33,5.24,0.0
20150224:1510,36324.98,556.39,18.78,7.56,5.24,0.0
20150224:1610,10520.5,179.05,10.65,7.35,4.48,0.0
20150224:1710,0.0,0.0,0.0,6.63,4.41,0.0
20150224:1810,0.0,0.0,0.0,5.48,4.28,0.0
20150224:1910,0.0,0.0,0.0,4.6,3.86,0.0
20150224:2010,0.0,0.0,0.0,3.89,3.45,0.0
20150224:2110,0.0,0.0,0.0,3.32,3.24,0.0
20150224:2210,0.0,0.0,0.0,2.68,2.97,0.0
20150224:2310,0.0,0.0,0.0,2.15,2.97,0.0
20150225:0010,0.0,0.0,0.0,1.62,2.9,0.0
20150225:0110,0.0,0.0,0.0,1.28,2.9,0.0
20150225:0210,0.0,0.0,0.0,1.21,2.83,0.0
20150225:0310,0.0,0.0,0.0,1.34,2.97,0.0
20150225:0410,0.0,0.0,0.0,1.65,2.9,0.0
20150225:0510,0.0,0.0,0.0,1.94,2.9,0.0
20150225:0610,0.0,0.0,0.0,2.35,3.03,0.0
20150225:0710,346.86,14.46,3.85,2.89,2.97,0.0
20150225:0810,1165.06,30.09,12.82,3.38,2.97,0.0
20150225:0910,7580.13,129.11,20.69,4.09,2.69,0.0
20150225:1010,10002.86,164.85,26.92,5.02,4.41,0.0
20150225:1110,7245.41,124.93,30.87,5.46,3.93,0.0
20150225:1210,8832.48,148.64,32.03,5.94,4.0,0.0
20150225:1310,9617.29,160.71,30.23,6.69,3.72,0.0
20150225:1410,5127.8,93.93,25.73,6.85,2.9,0.0
20150225:1510,6124.37,109.08,19.09,7.05,2.48,0.0
20150225:1610,3567.3,70.4,10.93,7.03,2.0,0.0
20150225:1710,0.0,0.0,0.0,7.03,1.72,0.0
20150225:1810,0.0,0.0,0.0,6.64,1.72,0.0
20150225:1910,0.0,0.0,0.0,6.98,1.66,0.0
20150225:2010,0.0,0.0,0.0,7.06,1.93,0.0
20150225:2110,0.0,0.0,0.0,7.01,1.93,0.0
20150225:2210,0.0,0.0,0.0,7.08,1.66,0.0
20150225:2310,0.0,0.0,0.0,6.75,1.52,0.0
20150226:0010,0.0,0.0,0.0,6.36,1.66,0.0
20150226:0110,0.0,0.0,0.0,6.11,1.59,0.0
20150226:0210,0.0,0.0,0.0,5.67,1.72,0.0
20150226:0310,0.0,0.0,0.0,5.85,1.79,0.0
20150226:0410,0.0,0.0,0.0,6.13,1.93,0.0
20150226:0510,0.0,0.0,0.0,6.42,2.07,0.0
20150226:0610,0.0,0.0,0.0,6.64,2.21,0.0
20150226:0710,541.17,18.71,4.16,6.52,2.0,0.0
20150226:0810,6171.43,109.62,13.14,6.93,2.21,0.0
20150226:0910,11536.04,189.02,21.04,7.36,2.28,0.0
20150226:1010,14400.51,231.82,27.28,8.07,3.03,0.0
20150226:1110,15126.11,243.39,31.24,8.75,3.38,0.0
20150226:1210,4357.42,82.99,32.4,9.52,3.59,0.0
20150226:1310,4640.53,87.54,30.58,10.05,3.86,0.0
20150226:1410,10424.11,174.9,26.06,10.2,3.52,0.0
20150226:1510,4690.62,88.46,19.39,10.34,3.45,0.0
20150226:1610,8193.41,144.68,11.21,10.17,3.1,0.0
20150226:1710,0.0,0.0,0.0,9.84,3.24,0.0
20150226:1810,0.0,0.0,0.0,9.6,3.38,0.0
20150226:1910,0.0,0.0,0.0,10.19,3.66,0.0
20150226:2010,0.0,0.0,0.0,10.15,4.34,0.0
20150226:2110,0.0,0.0,0.0,9.46,4.69,0.0
20150226:2210,0.0,0.0,0.0,8.66,5.1,0.0
20150226:2310,0.0,0.0,0.0,7.91,5.79,0.0
20150227:0010,0.0,0.0,0.0,7.03,5.72,0.0
20150227:0110,0.0,0.0,0.0,6.26,5.45,0.0
20150227:0210,0.0,0.0,0.0,5.55,5.38,0.0
20150227:0310,0.0,0.0,0.0,4.67,5.1,0.0
20150227:0410,0.0,0.0,0.0,3.76,5.1,0.0
20150227:0510,0.0,0.0,0.0,3.33,5.24,0.0
20150227:0610,0.0,0.0,0.0,2.78,4.83,0.0
20150227:0710,6807.47,126.23,4.47,2.83,4.14,0.0
20150227:0810,29330.8,446.95,13.47,3.38,3.45,0.0
20150227:0910,44724.08,676.92,21.39,4.51,4.21,0.0
20150227:1010,54637.37,837.61,27.65,5.76,4.69,0.0
20150227:1110,59419.83,923.19,31.62,6.77,4.62,0.0
20150227:1210,45782.88,702.43,32.78,7.64,5.1,0.0
20150227:1310,39616.01,607.29,30.94,8.05,4.9,0.0
20150227:1410,34202.06,524.03,26.39,7.99,4.62,0.0
20150227:1510,26748.68,414.04,19.69,7.99,4.07,0.0
20150227:1610,10292.04,175.6,11.49,7.78,3.52,0.0
20150227:1710,0.0,0.0,0.0,6.82,2.41,0.0
20150227:1810,0.0,0.0,0.0,5.21,2.28,0.0
20150227:1910,0.0,0.0,0.0,3.98,2.28,0.0
20150227:2010,0.0,0.0,0.0,2.64,2.14,0.0
20150227:2110,0.0,0.0,0.0,1.31,1.72,0.0
20150227:2210,0.0,0.0,0.0,3.0,0.62,0.0
20150227:2310,0.0,0.0,0.0,0.66,1.45,0.0
20150228:0010,0.0,0.0,0.0,-1.2,1.86,0.0
20150228:0110,0.0,0.0,0.0,-1.74,2.14,0.0
20150228:0210,0.0,0.0,0.0,-1.85,2.28,0.0
20150228:0310,0.0,0.0,0.0,-1.7,2.55,0.0
20150228:0410,0.0,0.0,0.0,-1.37,2.69,0.0
20150228:0510,0.0,0.0,0.0,-1.15,2.76,0.0
20150228:0610,0.0,0.0,0.0,-1.03,2.83,0.0
20150228:0710,3149.85,64.83,4.79,0.02,2.9,0.0
20150228:0810,9730.38,158.66,13.8,1.67,3.03,0.0
20150228:0910,21822.77,332.89,21.74,3.58,3.59,0.0
20150228:1010,33317.06,504.98,28.01,5.44,4.41,0.0
20150228:1110,53962.62,830.73,32.0,6.94,5.1,0.0
20150228:1210,36995.94,563.56,33.16,8.46,7.03,0.0
20150228:1310,19684.67,307.7,31.3,8.42,6.62,0.0
20150228:1410,16609.2,262.45,26.72,8.0,5.86,0.0
20150228:1510,12659.36,204.95,20.0,7.71,5.45,0.0
20150228:1610,13082.88,217.81,11.77,7.3,5.38,0.0
20150228:1710,35.67,6.8,2.57,7.01,5.59,0.0
20150228:1810,0.0,0.0,0.0,6.85,5.66,0.0
20150228:1910,0.0,0.0,0.0,7.44,5.93,0.0
20150228:2010,0.0,0.0,0.0,7.2,5.93,0.0
20150228:2110,0.0,0.0,0.0,6.91,6.14,0.0
20150228:2210,0.0,0.0,0.0,6.92,6.07,0.0
20150228:2310,0.0,0.0,0.0,7.02,5.72,0.0
20150301:0010,0.0,0.0,0.0,7.1,5.93,0.0
20150301:0110,0.0,0.0,0.0,7.48,6.14,0.0
20150301:0210,0.0,0.0,0.0,8.14,5.86,0.0
20150301:0310,0.0,0.0,0.0,8.95,5.52,0.0
20150301:0410,0.0,0.0,0.0,9.83,5.31,0.0
20150301:0510,0.0,0.0,0.0,10.5,5.24,0.0
20150301:0610,0.0,0.0,0.0,10.53,4.76,0.0
20150301:0710,2484.97,55.6,5.11,10.02,4.0,0.0
20150301:0810,9041.97,153.7,14.14,9.92,4.07,0.0
20150301:0910,10513.67,175.33,22.09,9.92,4.55,0.0
20150301:1010,11362.23,188.36,28.38,9.92,4.55,0.0
20150301:1110,15604.28,250.94,32.38,10.37,5.93,0.0
20150301:1210,0.0,0.0,0.0,10.52,5.45,0.0
20150301:1310,34187.64,529.01,31.66,10.81,5.72,0.0
20150301:1410,21057.7,331.91,27.05,11.38,5.86,0.0
20150301:1510,12246.46,201.92,20.3,11.32,5.79,0.0
20150301:1610,5205.98,97.24,12.05,10.63,5.38,0.0
20150301:1710,186.71,11.06,2.83,10.07,5.17,0.0
20150301:1810,0.0,0.0,0.0,9.72,5.17,0.0
20150301:1910,0.0,0.0,0.0,10.17,5.72,0.0
20150301:2010,0.0,0.0,0.0,10.19,6.34,0.0
20150301:2110,0.0,0.0,0.0,10.34,6.76,0.0
20150301:2210,0.0,0.0,0.0,10.39,7.03,0.0
20150301:2310,0.0,0.0,0.0,9.49,6.69,0.0
20150302:0010,0.0,0.0,0.0,8.95,6.28,0.0
20150302:0110,0.0,0.0,0.0,8.31,5.86,0.0
20150302:0210,0.0,0.0,0.0,7.71,5.72,0.0
20150302:0310,0.0,0.0,0.0,7.0,5.17,0.0
20150302:0410,0.0,0.0,0.0,6.61,4.14,0.0
20150302:0510,0.0,0.0,0.0,6.53,4.28,0.0
20150302:0610,0.0,0.0,0.0,5.99,3.86,0.0
20150302:0710,1806.42,42.62,5.44,6.15,3.93,0.0
20150302:0810,26242.43,404.35,14.48,6.23,4.14,0.0
20150302:0910,41798.13,635.54,22.44,6.8,5.03,0.0
20150302:1010,40627.75,618.0,28.76,8.0,6.34,0.0
20150302:1110,19381.07,303.92,32.76,8.95,7.03,0.0
20150302:1210,0.0,0.0,0.0,9.57,7.38,0.0
20150302:1310,2585.91,54.72,32.02,9.09,9.03,0.0
20150302:1410,45513.44,689.25,27.39,8.41,8.28,0.0
20150302:1510,25870.52,397.48,20.61,8.36,7.66,0.0
20150302:1610,10485.59,177.7,12.33,7.95,6.14,0.0
20150302:1710,226.18,11.91,3.1,7.22,5.17,0.0
20150302:1810,0.0,0.0,0.0,6.41,4.48,0.0
20150302:1910,0.0,0.0,0.0,5.46,3.38,0.0
20150302:2010,0.0,0.0,0.0,4.67,3.24,0.0
20150302:2110,0.0,0.0,0.0,4.05,3.31,0.0
20150302:2210,0.0,0.0,0.0,3.63,3.31,0.0
20150302:2310,0.0,0.0,0.0,3.25,3.24,0.0
20150303:0010,0.0,0.0,0.0,2.92,3.03,0.0
20150303:0110,0.0,0.0,0.0,2.46,2.9,0.0
20150303:0210,0.0,0.0,0.0,2.34,2.76,0.0
20150303:0310,0.0,0.0,0.0,2.24,2.69,0.0
20150303:0410,0.0,0.0,0.0,1.91,2.76,0.0
20150303:0510,0.0,0.0,0.0,1.75,2.97,0.0
20150303:0610,0.0,0.0,0.0,1.5,3.17,0.0
20150303:0710,7821.5,139.7,5.76,2.0,3.45,0.0
20150303:0810,11860.89,190.46,14.82,3.48,3.45,0.0
20150303:0910,43163.57,654.68,22.8,5.63,4.62,0.0
20150303:1010,26299.35,403.42,29.13,7.53,5.45,0.0
20150303:1110,12566.76,205.3,33.15,9.41,7.24,0.0
20150303:1210,0.0,0.0,0.0,10.25,6.69,0.0
20150303:1310,36352.3,557.78,32.39,9.14,5.86,0.0
20150303:1410,29122.07,447.6,27.72,8.48,5.17,0.0
20150303:1510,4031.05,77.51,20.91,8.34,4.07,0.0
20150303:1610,9633.99,165.0,12.61,8.09,3.86,0.0
20150303:1710,337.0,14.46,3.36,7.57,3.52,0.0
20150303:1810,0.0,0.0,0.0,6.59,3.38,0.0
20150303:1910,0.0,0.0,0.0,5.71,3.52,0.0
20150303:2010,0.0,0.0,0.0,4.76,3.31,0.0
20150303:2110,0.0,0.0,0.0,3.85,3.24,0.0
20150303:2210,0.0,0.0,0.0,3.1,3.17,0.0
20150303:2310,0.0,0.0,0.0,2.58,3.03,0.0
20150304:0010,0.0,0.0,0.0,2.14,3.03,0.0
20150304:0110,0.0,0.0,0.0,1.84,2.97,0.0
20150304:0210,0.0,0.0,0.0,1.51,2.9,0.0
20150304:0310,0.0,0.0,0.0,1.13,2.76,0.0
20150304:0410,0.0,0.0,0.0,0.78,2.76,0.0
20150304:0510,0.0,0.0,0.0,0.49,2.76,0.0
20150304:0610,0.0,0.0,0.0,0.33,2.83,0.0
20150304:0710,8719.39,152.86,6.09,0.67,2.76,0.0
20150304:0810,18247.12,282.12,15.16,2.36,2.62,0.0
20150304:0910,43255.41,658.94,23.16,4.72,3.38,0.0
20150304:1010,52884.08,810.84,29.51,6.45,4.97,0.0
20150304:1110,31141.77,476.05,33.54,7.07,4.97,0.0
20150304:1210,23620.84,366.19,34.68,7.78,4.83,0.0
20150304:1310,41612.18,639.81,32.75,8.46,4.97,0.0
20150304:1410,40929.83,627.78,28.05,8.54,5.17,0.0
20150304:1510,24992.35,387.11,21.21,8.56,5.31,0.0
20150304:1610,11571.71,194.51,12.89,8.15,5.59,0.0
20150304:1710,376.46,15.31,3.62,7.23,4.9,0.0
20150304:1810,0.0,0.0,0.0,5.83,4.21,0.0
20150304:1910,0.0,0.0,0.0,4.82,3.86,0.0
20150304:2010,0.0,0.0,0.0,4.09,3.72,0.0
20150304:2110,0.0,0.0,0.0,3.5,3.52,0.0
20150304:2210,0.0,0.0,0.0,2.91,3.1,0.0
20150304:2310,0.0,0.0,0.0,2.33,2.97,0.0
20150305:0010,0.0,0.0,0.0,1.87,2.76,0.0
20150305:0110,0.0,0.0,0.0,1.46,2.62,0.0
20150305:0210,0.0,0.0,0.0,0.99,2.55,0.0
20150305:0310,0.0,0.0,0.0,0.57,2.55,0.0
20150305:0410,0.0,0.0,0.0,0.3,2.62,0.0
20150305:0510,0.0,0.0,0.0,0.04,2.48,0.0
20150305:0610,0.0,0.0,0.0,-0.38,2.28,0.0
20150305:0710,9303.06,160.85,6.43,-0.59,2.07,0.0
20150305:0810,28284.89,431.76,15.51,1.68,1.66,0.0
20150305:0910,44153.31,683.24,23.52,4.53,1.79,0.0
20150305:1010,54042.32,858.15,29.89,6.64,1.93,0.0
20150305:1110,55870.75,895.13,33.93,8.28,2.28,0.0
20150305:1210,46522.91,733.18,35.06,9.28,2.9,0.0
20150305:1310,52972.13,845.03,33.11,9.67,2.69,0.0
20150305:1410,45927.09,725.75,28.39,9.8,2.55,0.0
20150305:1510,35206.22,554.55,21.52,9.95,2.41,0.0
20150305:1610,17829.67,297.19,13.16,9.64,2.28,0.0
20150305:1710,491.83,17.86,3.89,9.02,1.72,0.0
20150305:1810,0.0,0.0,0.0,7.63,1.93,0.0
20150305:1910,0.0,0.0,0.0,6.18,2.28,0.0
20150305:2010,0.0,0.0,0.0,5.13,2.41,0.0
20150305:2110,0.0,0.0,0.0,4.09,2.34,0.0
20150305:2210,0.0,0.0,0.0,2.91,2.14,0.0
20150305:2310,0.0,0.0,0.0,1.65,1.93,0.0
20150306:0010,0.0,0.0,0.0,0.63,1.86,0.0
20150306:0110,0.0,0.0,0.0,0.03,1.59,0.0
20150306:0210,0.0,0.0,0.0,-0.29,1.52,0.0
20150306:0310,0.0,0.0,0.0,-0.7,1.45,0.0
20150306:0410,0.0,0.0,0.0,-0.73,1.24,0.0
20150306:0510,0.0,0.0,0.0,-1.03,1.24,0.0
20150306:0610,0.0,0.0,0.0,-1.05,1.1,0.0
20150306:0710,10001.34,172.16,6.76,-0.29,0.9,0.0
20150306:0810,22058.06,339.7,15.85,0.73,0.41,0.0
20150306:0910,41300.98,651.55,23.89,4.37,0.21,0.0
20150306:1010,49290.98,796.64,30.27,6.6,0.48,0.0
20150306:1110,54550.09,890.83,34.32,8.12,1.03,0.0
20150306:1210,48083.41,777.96,35.45,9.18,1.1,0.0
20150306:1310,52434.0,856.32,33.48,9.97,1.24,0.0
20150306:1410,41754.87,667.64,28.72,10.49,1.45,0.0
20150306:1510,22459.57,358.13,21.82,10.7,1.66,0.0
20150306:1610,16777.7,281.66,13.44,10.57,1.72,0.0
20150306:1710,571.53,19.56,4.15,9.94,0.97,0.0
20150306:1810,0.0,0.0,0.0,9.11,0.55,0.0
20150306:1910,0.0,0.0,0.0,5.04,2.14,0.0
20150306:2010,0.0,0.0,0.0,3.21,2.14,0.0
20150306:2110,0.0,0.0,0.0,2.35,1.93,0.0
20150306:2210,0.0,0.0,0.0,1.78,1.79,0.0
20150306:2310,0.0,0.0,0.0,0.69,2.0,0.0
20150307:0010,0.0,0.0,0.0,0.18,2.34,0.0
20150307:0110,0.0,0.0,0.0,0.08,2.48,0.0
20150307:0210,0.0,0.0,0.0,0.01,2.48,0.0
20150307:0310,0.0,0.0,0.0,-0.23,2.41,0.0
20150307:0410,0.0,0.0,0.0,-0.69,2.21,0.0
20150307:0510,0.0,0.0,0.0,-1.12,2.21,0.0
20150307:0610,0.0,0.0,0.0,-1.3,2.21,0.0
20150307:0710,5150.57,94.91,7.1,-0.75,2.28,0.0
20150307:0810,16197.06,252.83,16.2,2.2,1.86,0.0
20150307:0910,31250.31,480.91,24.26,5.89,2.14,0.0
20150307:1010,45900.52,722.98,30.65,8.52,2.34,0.0
20150307:1110,49133.11,784.32,34.71,10.71,2.69,0.0
20150307:1210,32325.81,512.65,35.84,12.33,2.76,0.0
20150307:1310,35300.33,564.31,33.84,13.68,2.55,0.0
20150307:1410,30177.08,483.55,29.06,14.46,2.41,0.0
20150307:1510,9024.51,157.34,22.12,14.69,2.21,0.0
20150307:1610,9690.15,170.78,13.72,14.36,1.72,0.0
20150307:1710,480.45,17.86,4.41,12.95,2.28,0.0
20150307:1810,0.0,0.0,0.0,10.4,2.69,0.0
20150307:1910,0.0,0.0,0.0,8.72,2.48,0.0
20150307:2010,0.0,0.0,0.0,7.48,2.55,0.0
20150307:2110,0.0,0.0,0.0,6.21,2.55,0.0
20150307:2210,0.0,0.0,0.0,5.19,2.48,0.0
20150307:2310,0.0,0.0,0.0,4.16,2.41,0.0
20150308:0010,0.0,0.0,0.0,3.35,2.34,0.0
20150308:0110,0.0,0.0,0.0,2.55,2.28,0.0
20150308:0210,0.0,0.0,0.0,1.76,2.28,0.0
20150308:0310,0.0,0.0,0.0,1.03,2.21,0.0
20150308:0410,0.0,0.0,0.0,0.39,2.14,0.0
20150308:0510,0.0,0.0,0.0,-0.19,2.0,0.0
20150308:0610,0.0,0.0,0.0,-0.66,1.93,0.0
20150308:0710,10159.97,173.6,7.44,0.0,1.59,0.0
20150308:0810,28525.5,440.38,16.56,2.88,0.9,0.0
20150308:0910,40574.62,642.53,24.62,7.19,0.76,0.0
20150308:1010,51341.04,843.19,31.04,10.06,0.83,0.0
20150308:1110,54566.79,916.98,35.1,12.36,0.83,0.0
20150308:1210,45842.08,761.97,36.22,14.09,0.83,0.0
20150308:1310,46639.79,775.73,34.21,15.3,1.17,0.0
20150308:1410,37711.67,617.1,29.39,16.02,1.45,0.0
20150308:1510,27947.14,454.64,22.43,16.19,1.93,0.0
20150308:1610,14163.7,244.56,14.0,15.65,1.79,0.0
20150308:1710,727.12,22.96,4.67,13.97,2.34,0.0
20150308:1810,0.0,0.0,0.0,11.14,3.03,0.0
20150308:1910,0.0,0.0,0.0,10.44,3.31,0.0
20150308:2010,0.0,0.0,0.0,8.96,3.38,0.0
20150308:2110,0.0,0.0,0.0,7.42,2.97,0.0
20150308:2210,0.0,0.0,0.0,6.18,2.69,0.0
20150308:2310,0.0,0.0,0.0,5.32,2.48,0.0
20150309:0010,0.0,0.0,0.0,4.68,2.21,0.0
20150309:0110,0.0,0.0,0.0,4.23,2.07,0.0
20150309:0210,0.0,0.0,0.0,4.62,1.93,0.0
20150309:0310,0.0,0.0,0.0,5.64,1.72,0.0
20150309:0410,0.0,0.0,0.0,5.92,1.59,0.0
20150309:0510,0.0,0.0,0.0,6.28,1.31,0.0
20150309:0610,0.0,0.0,0.0,6.08,1.1,0.0
20150309:0710,1503.58,36.61,7.78,6.68,0.69,0.0
20150309:0810,2648.15,55.63,16.91,7.78,1.17,0.0
20150309:0910,5788.13,104.87,24.99,8.63,1.59,0.0
20150309:1010,9323.56,158.8,31.43,9.65,2.07,0.0
20150309:1110,30445.77,481.32,35.5,10.53,2.0,0.0
20150309:1210,16134.82,263.91,36.61,11.69,1.52,0.0
20150309:1310,7434.41,132.23,34.57,12.55,0.9,0.0
20150309:1410,21675.52,351.49,29.72,13.17,0.9,0.0
20150309:1510,20084.66,327.22,22.73,13.48,0.97,0.0
20150309:1610,7637.82,137.24,14.27,13.4,1.31,0.0
20150309:1710,731.68,22.96,4.93,12.75,1.03,0.0
20150309:1810,0.0,0.0,0.0,11.62,0.48,0.0
20150309:1910,0.0,0.0,0.0,10.45,0.83,0.0
20150309:2010,0.0,0.0,0.0,7.57,1.59,0.0
20150309:2110,0.0,0.0,0.0,6.06,1.79,0.0
20150309:2210,0.0,0.0,0.0,5.92,1.45,0.0
20150309:2310,0.0,0.0,0.0,4.93,1.72,0.0
20150310:0010,0.0,0.0,0.0,4.11,1.93,0.0
20150310:0110,0.0,0.0,0.0,4.17,1.86,0.0
20150310:0210,0.0,0.0,0.0,3.96,1.93,0.0
20150310:0310,0.0,0.0,0.0,4.19,1.79,0.0
20150310:0410,0.0,0.0,0.0,4.44,1.72,0.0
20150310:0510,0.0,0.0,0.0,5.06,1.59,0.0
20150310:0610,0.0,0.0,0.0,5.97,1.38,0.0
20150310:0710,7556.6,135.97,8.12,6.58,1.31,0.0
20150310:0810,7888.29,136.3,17.26,8.29,1.31,0.0
20150310:0910,4826.48,90.28,25.37,9.04,1.52,0.0
20150310:1010,9330.39,158.78,31.81,9.43,2.0,0.0
20150310:1110,7681.84,134.05,35.9,9.78,2.41,0.0
20150310:1210,3410.95,68.39,37.0,10.23,2.48,0.0
20150310:1310,6517.53,116.73,34.94,10.5,2.41,0.0
20150310:1410,6147.9,111.25,30.06,10.9,2.41,0.0
20150310:1510,4145.66,80.25,23.03,10.82,1.72,0.0
20150310:1610,3059.53,62.92,14.55,10.63,1.45,0.0
20150310:1710,919.91,26.37,5.19,10.34,1.52,0.0
20150310:1810,0.0,0.0,0.0,9.92,1.59,0.0
20150310:1910,0.0,0.0,0.0,9.63,1.86,0.0
20150310:2010,0.0,0.0,0.0,9.55,2.21,0.0
20150310:2110,0.0,0.0,0.0,9.17,2.55,0.0
20150310:2210,0.0,0.0,0.0,8.54,2.76,0.0
20150310:2310,0.0,0.0,0.0,7.62,2.9,0.0
20150311:0010,0.0,0.0,0.0,7.06,2.9,0.0
20150311:0110,0.0,0.0,0.0,6.41,2.76,0.0
20150311:0210,0.0,0.0,0.0,5.92,2.76,0.0
20150311:0310,0.0,0.0,0.0,5.43,2.76,0.0
20150311:0410,0.0,0.0,0.0,5.06,2.69,0.0
20150311:0510,0.0,0.0,0.0,4.8,2.41,0.0
20150311:0610,0.0,0.0,0.0,4.73,2.21,0.0
20150311:0710,2106.98,46.44,8.47,4.23,2.28,0.0
20150311:0810,18688.86,293.05,17.62,5.78,2.34,0.0
20150311:0910,43855.78,681.8,25.74,7.55,2.76,0.0
20150311:1010,30240.84,472.02,32.2,9.42,2.9,0.0
20150311:1110,51218.84,817.84,36.29,10.99,3.1,0.0
20150311:1210,37839.19,598.59,37.39,12.06,3.24,0.0
20150311:1310,18094.56,293.02,35.3,12.61,2.97,0.0
20150311:1410,45680.42,732.64,30.39,12.97,2.69,0.0
20150311:1510,34395.6,549.93,23.33,12.97,2.34,0.0
20150311:1610,17394.76,293.77,14.82,12.71,1.86,0.0
20150311:1710,1002.64,28.07,5.45,11.86,1.59,0.0
20150311:1810,0.0,0.0,0.0,10.08,2.21,0.0
20150311:1910,0.0,0.0,0.0,8.63,2.21,0.0
20150311:2010,0.0,0.0,0.0,7.37,2.21,0.0
20150311:2110,0.0,0.0,0.0,6.51,2.41,0.0
20150311:2210,0.0,0.0,0.0,5.94,2.48,0.0
20150311:2310,0.0,0.0,0.0,5.06,2.48,0.0
20150312:0010,0.0,0.0,0.0,4.35,2.55,0.0
20150312:0110,0.0,0.0,0.0,3.8,2.62,0.0
20150312:0210,0.0,0.0,0.0,3.38,2.69,0.0
20150312:0310,0.0,0.0,0.0,2.95,2.76,0.0
20150312:0410,0.0,0.0,0.0,2.45,2.76,0.0
20150312:0510,0.0,0.0,0.0,1.87,2.62,0.0
20150312:0610,0.0,0.0,0.0,1.25,2.55,0.0
20150312:0710,12618.38,211.09,8.81,1.51,2.76,0.0
20150312:0810,30072.34,458.21,17.98,3.39,2.9,0.0
20150312:0910,45567.32,699.12,26.11,5.68,3.38,0.0
20150312:1010,54422.58,854.94,32.59,7.92,3.38,0.0
20150312:1110,58420.23,932.69,36.69,9.96,3.59,0.0
20150312:1210,51392.65,816.95,37.78,11.49,3.86,0.0
20150312:1310,53499.63,854.34,35.67,12.39,4.0,0.0
20150312:1410,47518.71,754.4,30.72,12.78,3.86,0.0
20150312:1510,34470.74,544.82,23.63,12.75,3.86,0.0
20150312:1610,18563.62,310.34,15.1,12.3,3.59,0.0
20150312:1710,916.87,26.37,5.7,11.03,3.1,0.0
20150312:1810,0.0,0.0,0.0,9.03,3.1,0.0
20150312:1910,0.0,0.0,0.0,8.36,3.24,0.0
20150312:2010,0.0,0.0,0.0,7.66,3.59,0.0
20150312:2110,0.0,0.0,0.0,7.11,3.72,0.0
20150312:2210,0.0,0.0,0.0,6.33,3.38,0.0
20150312:2310,0.0,0.0,0.0,5.34,2.83,0.0
20150313:0010,0.0,0.0,0.0,4.48,2.83,0.0
20150313:0110,0.0,0.0,0.0,4.0,2.97,0.0
20150313:0210,0.0,0.0,0.0,3.58,2.9,0.0
20150313:0310,0.0,0.0,0.0,3.1,2.48,0.0
20150313:0410,0.0,0.0,0.0,2.41,2.28,0.0
20150313:0510,0.0,0.0,0.0,1.9,2.21,0.0
20150313:0610,0.0,0.0,0.0,1.65,2.28,0.0
20150313:0710,2664.09,55.06,9.16,2.04,2.34,0.0
20150313:0810,18673.68,289.86,18.34,3.54,2.41,0.0
20150313:0910,37109.79,568.88,26.49,5.4,2.62,0.0
20150313:1010,44683.09,696.63,32.99,7.06,2.55,0.0
20150313:1110,48535.01,767.8,37.09,8.79,2.62,0.0
20150313:1210,47623.46,755.9,38.18,9.91,2.76,0.0
20150313:1310,36279.44,571.64,36.04,10.63,2.69,0.0
20150313:1410,24186.29,383.05,31.05,11.05,2.62,0.0
20150313:1510,12727.67,210.27,23.93,10.82,2.41,0.0
20150313:1610,6664.02,119.8,15.37,10.61,2.34,0.0
20150313:1710,1154.44,30.62,5.96,9.73,2.07,0.0
20150313:1810,0.0,0.0,0.0,8.46,2.34,0.0
20150313:1910,0.0,0.0,0.0,7.38,2.34,0.0
20150313:2010,0.0,0.0,0.0,6.57,2.48,0.0
20150313:2110,0.0,0.0,0.0,5.98,2.69,0.0
20150313:2210,0.0,0.0,0.0,5.46,2.76,0.0
20150313:2310,0.0,0.0,0.0,4.81,2.9,0.0
20150314:0010,0.0,0.0,0.0,4.21,2.9,0.0
20150314:0110,0.0,0.0,0.0,3.75,2.83,0.0
20150314:0210,0.0,0.0,0.0,3.46,2.62,0.0
20150314:0310,0.0,0.0,0.0,3.28,2.62,0.0
20150314:0410,0.0,0.0,0.0,3.27,2.76,0.0
20150314:0510,0.0,0.0,0.0,2.91,2.97,0.0
20150314:0610,0.0,0.0,0.0,2.56,3.1,0.0
20150314:0710,4002.21,76.68,9.51,3.22,3.38,0.0
20150314:0810,7232.51,123.91,18.7,4.0,3.31,0.0
20150314:0910,13174.72,210.81,26.87,5.25,4.28,0.0
